route_id,route_path_template,route_label,route_kind,route_category_id,route_source,source_component,route_source_status,mapped_fs_ids,mapped_mbp_ids,implementation_state,verification_state,last_reviewed_at_utc,reviewed_by,key_subfeatures,gap_notes,evidence_links
"RTC-0001","/billing","Billing","redirect","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","Navigate(to=/billing/customers)","router_only","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Billing; Role-scoped access flow; State transition controls","Route exists in router modules without a dedicated page file; behavior is redirect/catch-all managed.","src/router/routeModules/protectedAppRoutes.tsx"
"RTC-0002","/billing/analytics","Billing Analytics","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","BillingAnalyticsPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Billing Analytics; Monthly Revenue — Last 6 Months; Revenue by Month; AR Aging; Top Customers by Collected Revenue","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/analytics/page.tsx"
"RTC-0003","/billing/ar-dashboard","AR Dashboard","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","ArDashboardPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","AR Dashboard; Customer Balances; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/ar-dashboard/page.tsx"
"RTC-0004","/billing/credit-memos","Credit Memos","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","BillingCreditMemosPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Credit Memos; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/credit-memos/page.tsx"
"RTC-0005","/billing/customers","Customers","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","CustomersPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Customers; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/customers/page.tsx"
"RTC-0006","/billing/customers/:id","Billing Customers Detail","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","CustomerDetailPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","customer?.name; Customer Information; Quotes; Invoices; Payment History","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/customers/[id]/page.tsx"
"RTC-0007","/billing/deposits","Deposits","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","BillingDepositsPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Deposits; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/deposits/page.tsx"
"RTC-0008","/billing/invoices","Invoices","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","InvoicesPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Invoices; Cash; Check; Credit Card; Wire Transfer","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/invoices/page.tsx"
"RTC-0009","/billing/invoices/:id","Billing Invoices Detail","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","InvoiceDetailPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","invoice.invoiceNumber; Invoice invoice.invoiceNumber; Invoice Summary; Line Items; Payment History","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/invoices/[id]/page.tsx"
"RTC-0010","/billing/invoices/new","Billing Invoices New","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","NewInvoicePage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","New Invoice; Invoice Source; Invoice Details; Tax Rate","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/invoices/new/page.tsx"
"RTC-0011","/billing/labor-kits","Labor Kits","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","LaborKitsPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Labor Kits; Role-scoped action controls; Validation and error-state handling","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/labor-kits/page.tsx"
"RTC-0012","/billing/otc","OTC Sales","page","CAT-BILLING","src/router/routeModules/protectedAppRoutes.tsx","OTCSalesPage","routed","FS-0007, FS-0008, FS-0032, FS-0062, FS-0063, FS-0064, FS-0065, FS-0066","MBP-0024, MBP-0119, MBP-0146, MBP-0147, MBP-0148, MBP-0149, MBP-0150","partially_implemented","doc_reviewed","2026-03-04T00:00:00Z","master-spec-expansion-agent","Counter Sales; Add Items; Cart (cart.length itemcart.length !== 1 ? ""s"" : """"); Payment; Sales History","—","src/router/routeModules/protectedAppRoutes.tsx; app/(app)/billing/otc/page.tsx"
