cert_no,company_name,dba_name,city,state,website_url,shop_size_class,profile_archetype,aircraft_worked_on,website_quality,corridor_ebis_evidence,notes
9VNR950B,APEX AVIATION INC,,Henderson,NV,https://apexaviationlv.com,medium,full-service-mro,"Turbine, piston, turboprop, rotorcraft (King Air to Gulfstream)",high,EBIS - CONFIRMED (active case study on ebiscloud.com 2025),"25,000 sq ft facility at KHND; founded 2014 started with 3 employees. Also has CA location (KUDD cert 9VND950B). Key EBIS reference customer – DOM Jaime featured in case study. Corp/charter/GA. Good ERP upsell or cross-sell target."
unknown,SIERRA WEST AIRLINES,,Reno,NV,unknown,unknown,airline-with-maintenance,Unknown – likely commuter/regional turboprop,none,none found,"No Part 145 cert found in NV raw FAA data under this name. May operate as small regional carrier with in-house maintenance under a different cert entity. Very limited web presence. Needs manual FAA ASIAS lookup."
unknown,WORLDWIDE JET CHARTER,,Henderson,NV,unknown,small,charter-with-incidental-mro,Business jets (implied),none,none found,"No Part 145 cert found in NV FAA data under this name. Primarily a charter operator; Part 145 cert may be held under a related legal entity. No discoverable web presence for maintenance arm."
unknown,AIR FLIGHT INC,,Las Vegas,NV,unknown,small,unknown,Unknown,none,none found,"No Part 145 cert found in NV FAA data under this name. No web presence discovered. Possibly defunct or operating under DBA. Manual FAA registry search recommended."
unknown,ALLIANCE AVIATION,,Las Vegas,NV,unknown,small,unknown,Unknown,none,none found,"No Part 145 cert found in NV FAA data under this name. Note: allianceaviation.aero is a different Irish/Middle East company. No web presence for a NV entity. Manual verification needed."
unknown,KG AVIATION,,Las Vegas,NV,unknown,small,unknown,Unknown,none,none found,"No Part 145 cert found in NV FAA data under this name. No web presence discovered. Small operator, possibly out of business or very limited operation."
unknown,PACIFIC JET,,Las Vegas,NV,unknown,small,charter-with-incidental-mro,Business jets (implied),none,none found,"No Part 145 cert found in NV FAA data under this name. No web presence discovered. May be a charter operator with maintenance rating."
unknown,SOLAIRUS AVIATION MAINTENANCE,,Henderson,NV,https://www.solairus.aero,large,aircraft-management-mro,"Light jets, turboprops, mid-size business jets",high,none found,"Part 145 maintenance arm of Solairus Aviation (aircraft management/charter). Part of large national operation (likely 200+ staff). Website is polished/corporate. No ERP evidence found. Henderson NV is one of their maintenance bases. HQ in Petaluma CA."
unknown,LAS VEGAS JET CENTER,,Las Vegas,NV,unknown,small,unknown,Business jets (implied),none,none found,"No Part 145 cert found in NV FAA data under this name. No web presence discovered. May be a DBA or small FBO-attached maintenance shop."
unknown,HELINET AVIATION SERVICES,,Las Vegas,NV,https://helinet.com,medium,helicopter-mro,"Helicopters – multi-model (commercial, ENG, medical, utility)",high,none found,"Primary base at Van Nuys Airport (VNY), CA. Listed in task as Las Vegas NV – may have NV Part 145 cert for Las Vegas operations or the listing may reflect CA cert. FAA Part 145 repair station confirmed on helinet.com. Factory-trained technicians, 24/7. LinkedIn: 2,400+ followers."
