entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated,is_enterprise,multi_location_group,domain_normalized
PAZ3068H,"PREMIER AIR CENTER, LLC",DBA WEST STAR AVIATION,ENGLEWOOD,CO,80112,7204867140,,https://www.weststaraviation.com/denver/,PAZ3068H,large,business_jets;airframe;engines;avionics;modifications,full_service_mro,KAPA,on-airport,0.98,A,yes,no,yes,55,strong site (+5); size=large (+20); full_service (+15); reachable (+10); on-airport (+5),90,size=large (+25); full_service (+25); high-value aircraft (+15); reachable (+10); high confidence (+10); on-airport (+5),likely,72.5,colorado-part145-round3,2026-03-09,,,
H51R588Y,AIRCRAFT MAINTENANCE AND MANAGEMENT COMPANY,DBA HAGGAN AVIATION,ENGLEWOOD,CO,80112,,,,H51R588Y,medium,business_aircraft;maintenance;avionics;engine;structural;ndt;paint;interior,full_service_mro,KAPA,on-airport,0.98,C,no,no,no,80,no website (+40); size=medium (+20); full_service (+15); on-airport (+5),80,size=medium (+25); full_service (+25); high-value aircraft (+15); high confidence (+10); on-airport (+5),possible,80.0,colorado-part145-round3,2026-03-09,,,
GO2R846D,"GOGO BUSINESS AVIATION, LLC",DBA GOGO FLIGHT SERVICES,BROOMFIELD,CO,80021,3033013441,,https://www.gogoair.com,GO2R846D,medium,avionics;inflight_connectivity;business_aviation,specialty,KBJC,near-airport,0.9,A,yes,no,yes,45,strong site (+5); size=medium (+20); specialty (+10); reachable (+10),75,size=medium (+25); specialty (+15); high-value aircraft (+15); reachable (+10); high confidence (+10),unknown,60.0,colorado-part145-round3,2026-03-09,,,
WTXR173J,"WEST STAR AVIATION, LLC",DBA WEST STAR AVIATION,GRAND JUNCTION,CO,81506,,,,WTXR173J,large,business_jets;turboprop;airframe;engines;avionics;interior;paint,full_service_mro,KGJT,near-airport,0.99,C,no,no,no,75,no website (+40); size=large (+20); full_service (+15),75,size=large (+25); full_service (+25); high-value aircraft (+15); high confidence (+10),likely,75.0,colorado-part145-round3,2026-03-09,,,
35974BC9,SALTY PELICAN AVIATION LLC,,NEW BRAUNFELS,TX,,,,,,small,cirrus_specialist,general-mro,,,0.6,B,no,no,no,55,manual EBIS customer entry,75,EBIS confirmed (+25); small shop; reachable,confirmed_ebis,65.0,manual-ebis-evidence,2026-03-09,no,,
C9510C14,PLATINUM SKY MAINTENANCE LLC,,FORT LAUDERDALE,FL,,,,,,small,business_jet_aog,general-mro,,,0.6,B,no,no,no,60,manual EBIS customer entry,75,EBIS confirmed (+25); small shop; reachable,confirmed_ebis,67.5,manual-ebis-evidence,2026-03-09,no,,
78B72789,BASIN AVIATION INC,,MIDLAND,TX,,,,,,small,piston_turboprop,general-mro,,,0.6,B,no,no,no,48,no website (+40); metro city (+8),70,EBIS confirmed (+25); small shop; reachable,confirmed_ebis,59.0,manual-ebis-evidence,2026-03-09,no,,
EF21D66C,MY JET DOM LLC,,MCDONOUGH,GA,,,,,,small,business_jet,general-mro,,,0.6,B,no,no,no,55,manual EBIS customer entry,70,EBIS confirmed (+25); small shop; reachable,confirmed_ebis,62.5,manual-ebis-evidence,2026-03-09,no,,
199E45FD,MIDWEST CORPORATE AIR INC,,BELLEFONTAINE,OH,,,,,,small,corporate_turboprop,general-mro,,,0.6,B,no,no,no,40,no website (+40),70,EBIS confirmed (+25); small shop; reachable,confirmed_ebis,55.0,manual-ebis-evidence,2026-03-09,no,,
PN5R125N,CENTURY HELICOPTERS INC,,FORT COLLINS,CO,80524,9704846804,philip.glasgow@centuryhelicopters.com,https://centuryhelicopters.com,PN5R125N,medium,rotorcraft;helicopter_mro;completions;isr_mods,specialty,KFNL,on-airport,0.93,A,yes,yes,yes,50,strong site (+5); size=medium (+20); specialty (+10); reachable (+10); on-airport (+5),65,size=medium (+25); specialty (+15); reachable (+10); high confidence (+10); on-airport (+5),unknown,57.5,colorado-part145-round3,2026-03-09,,,
CUTR877D,CUTTER AVIATION DENVER CO-APA,,ENGLEWOOD,CO,80112,3037999999,,https://cutteraviation.com,CUTR877D,medium,pilatus_pc12;pilatus_pc24;airframe;avionics;interior_refurbishment,specialty,KAPA,on-airport,0.95,A,yes,no,yes,50,strong site (+5); size=medium (+20); specialty (+10); reachable (+10); on-airport (+5),65,size=medium (+25); specialty (+15); reachable (+10); high confidence (+10); on-airport (+5),unknown,57.5,colorado-part145-round3,2026-03-09,,,
C9BB4DC7,SKYVIEW AVIATION LLC,,TRACY,CA,,,,,,small,piston_aircraft,general-mro,,,0.6,B,no,no,no,40,no website (+40),65,EBIS confirmed (+25); small shop; reachable,confirmed_ebis,52.5,manual-ebis-evidence,2026-03-09,no,,
