metro,total_shops,with_website,no_website,tier_a,avg_website_fit,avg_erp_fit,ebis_confirmed,corridor_confirmed,priority_rank,notes
South Florida,328,4,324,291,49.7,19.7,0,0,1,90%+ no-website — mass outreach opportunity
Los Angeles Basin,155,1,154,135,49.7,19.7,1,1,2,1 EBIS churn targets; 1 Corridor users (enterprise); 90%+ no-website — mass outreach opportunity
DFW Metroplex,134,9,125,125,49.9,19.9,1,1,3,1 EBIS churn targets; 1 Corridor users (enterprise); 90%+ no-website — mass outreach opportunity
Phoenix Metro,101,0,101,90,49.8,19.8,0,1,4,1 Corridor users (enterprise); 90%+ no-website — mass outreach opportunity
Wichita,57,1,56,56,50.0,20.0,1,0,5,1 EBIS churn targets; 90%+ no-website — mass outreach opportunity
Seattle / Puget Sound,49,0,49,40,50.0,20.0,0,0,6,90%+ no-website — mass outreach opportunity
Houston,43,0,43,40,49.8,19.8,0,0,7,90%+ no-website — mass outreach opportunity
Denver Front Range,42,2,40,40,50.0,20.0,0,1,8,1 Corridor users (enterprise); 90%+ no-website — mass outreach opportunity
Atlanta Metro,41,0,41,37,49.8,19.8,0,0,9,90%+ no-website — mass outreach opportunity
San Antonio / Austin,41,1,40,41,50.0,20.0,0,1,10,1 Corridor users (enterprise); 90%+ no-website — mass outreach opportunity
Orlando,37,0,37,35,49.7,19.7,0,0,11,90%+ no-website — mass outreach opportunity
Tampa Bay,35,0,35,31,50.0,20.0,0,0,12,90%+ no-website — mass outreach opportunity
San Diego,29,1,28,26,50.0,20.0,0,0,13,90%+ no-website — mass outreach opportunity
SF Bay Area,28,3,25,27,50.0,20.0,0,0,14,
Hartford / CT Corridor,23,0,23,22,50.0,20.0,0,1,15,1 Corridor users (enterprise); 90%+ no-website — mass outreach opportunity
Tucson,20,0,20,20,50.0,20.0,0,0,16,90%+ no-website — mass outreach opportunity
Columbus / Dayton OH,17,2,15,17,50.0,20.0,0,0,17,
Cleveland / Akron,17,0,17,16,50.0,20.0,0,0,18,90%+ no-website — mass outreach opportunity
Nashville,17,0,17,15,50.0,20.0,0,0,19,90%+ no-website — mass outreach opportunity
Las Vegas,13,0,13,12,49.2,19.2,1,0,20,1 EBIS churn targets; 90%+ no-website — mass outreach opportunity
