entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,website_fit_score,erp_fit_score,cross_sell_score,corridor_ebis_likelihood,outreach_tier
2EOR249C,ENVIROTAINER INC,,ATLANTA,GA,30354,4043611295,robert.armor@envirotainer.com,,2EOR249C,unknown,50,20,35.0,unknown,A
YGWR282L,GM DIECRON LLC,,GRIFFIN,GA,30224,7702286200,,,YGWR282L,unknown,50,20,35.0,unknown,B
PAOR392K,PRECISION AVIONICS SPECIALISTS INC,,GRIFFIN,GA,30224,7709468555,scotty@precision-avionics.com,,PAOR392K,unknown,50,20,35.0,unknown,A
P44R444I,PRESTIGE HELICOPTERS INC,,ATLANTA,GA,30336,6786125100,rellison@prestigehelicopters.com,,P44R444I,unknown,50,20,35.0,unknown,A
ETER699D,"LOWE AVIATION SERVICES, LLC","GARDNER LOWE AVIATION
   AVIATION SERVICES",PEACHTREE CITY,GA,30269,7706310650,kgardner@gardneravs.com,,ETER699D,unknown,50,20,35.0,unknown,A
1THR297B,THE HOME DEPOT USA,,ATLANTA,GA,30336,7703843800,marty_grier@homedepot.com,,1THR297B,unknown,50,20,35.0,unknown,A
VJYR666L,"AIRCRAFT ACCESSORIES INTERNATIONAL, LLC",,PEACHTREE CITY,GA,30269,7707034316,mike@aaiair.com,,VJYR666L,unknown,50,20,35.0,unknown,A
311R988B,AIRCRAFT COMPONENT RECOVERY LLC,,PEACHTREE CITY,GA,30269,4045439950,,,311R988B,unknown,50,20,35.0,unknown,B
2C8R529C,CLAYTON INTERNATIONAL INC,,PEACHTREE CITY,GA,30269,7704863609,djames@claytonintl.com,,2C8R529C,unknown,50,20,35.0,unknown,A
PRZR073K,"BARFIELD PRECISION ELECTRONICS, LLC",PRECISION ELECTRONICS,ATLANTA,GA,30349,4047674667,bryan.king@barfield.com,,PRZR073K,unknown,50,20,35.0,unknown,A
DK7R442E,"AVIAS, LLC",,KENNESAW,GA,30144,7704274954,mac@dlkaviation.com,,DK7R442E,unknown,50,20,35.0,unknown,A
1GWR012C,EQUIN0XX AVIATION SERVICES LLC,,LAWRENCEVILLE,GA,30046,7709629092,spm@equinoxxaviation.com,,1GWR012C,unknown,50,20,35.0,unknown,A
Q4AR782J,AEROQUEST INC,,LAWRENCEVILLE,GA,30045,7702378110,quality@aeroquest.com,,Q4AR782J,unknown,50,20,35.0,unknown,A
O4QR130B,TURBINE SOLUTIONS LLC,,GRIFFIN,GA,30224,4048194949,michelle.turbinesolutions@gmail.com,,O4QR130B,unknown,50,20,35.0,unknown,A
XNDR054L,AERO SUPPORT ENGINEERING,"ASEI, INC.",KENNESAW,GA,30144,4045591946,info@spinner-repairs.com,,XNDR054L,unknown,50,20,35.0,unknown,A
XLRR976K,L3 AVIATION PRODUCTS INC,,ALPHARETTA,GA,30004,7703468123,scott.parker@l3harris.com,,XLRR976K,unknown,50,20,35.0,unknown,A
HC4R227M,"APPLIED TECHNICAL SERVICES, INC",,MARIETTA,GA,30062,7704231400,bpatience@atslab.com,,HC4R227M,unknown,50,20,35.0,unknown,A
G3SR222J,GARDNER AVIATION SPECIALIST INC,PRECISION AIRCRAFT SERVICES,PEACHTREE CITY,GA,30269,7704866061,arucker@pas-svc.com,,G3SR222J,unknown,50,20,35.0,unknown,A
G4ZR155X,AEROREPAIR SOUTH LLC,,GRIFFIN,GA,30224,6786922001,ssmith@aerorepaircorp.com,,G4ZR155X,unknown,50,20,35.0,unknown,A
ESPR691D,PHOENIX AIR GROUP INC,,CARTERSVILLE,GA,30120,7703872000,,,ESPR691D,unknown,50,20,35.0,unknown,B
E8SR081N,ECONOSTRIP INC,ATLANTA AVIATION INTERNATIONAL,ATLANTA,GA,30354,6789041110,mthatch@atlantaaviation.com,,E8SR081N,unknown,50,20,35.0,unknown,A
DALR026A,DELTA AIR LINES INC,"DTO
DBA DELTA TECHOPS",ATLANTA,GA,30354,4047734571,al.harmon@delta.com,,DALR026A,unknown,50,20,35.0,unknown,A
ZV4R714M,PRECISION AVIATION GROUP INC,"PRECISION ACCESSORIES &
   & INSTRUMENTS",ATLANTA,GA,30349,4047675800,dscarbrough@precisionaccessories.com,,ZV4R714M,unknown,50,20,35.0,unknown,A
UA23206L,FLIGHT PROGRAM MAINTENANCE SERVICES KENNESAW,,KENNESAW,GA,30144,7706356103,jeb.f.lynch@faa.gov,,UA23206L,unknown,50,20,35.0,unknown,A
VIB2368K,STEVENS AEROSPACE AND DEFENSE SYSTEMS LLC,,ATLANTA,GA,30336,4073330485,msimpson@stevensaerospace.com,,VIB2368K,unknown,50,20,35.0,unknown,A
Q5ER195Y,EMS DEFENSE TECHNOLOGIES INC,,NORCROSS,GA,30092,4704224465 EXT. 4465,jeffrey.gardner@honeywell.com,,Q5ER195Y,unknown,50,20,35.0,unknown,A
VGOR728L,THE AVIATION GROUP INC,,PEACHTREE CITY,GA,30269,7704861666,larry@theaviationgroup.com,,VGOR728L,unknown,50,20,35.0,unknown,A
W86R867N,WORLD CLASS ACCESSORY INC,,PEACHTREE CITY,GA,30269,7706312470,rod@worldclassaccessory.com,,W86R867N,unknown,50,20,35.0,unknown,A
OYUR681Y,AERO HYDRAULICS INC,,PEACHTREE CITY,GA,30269,4049067764,jcsmallwood@aero-hydraulics.com,,OYUR681Y,unknown,50,20,35.0,unknown,A
GT4R218M,"AVGROUP, INC",,NORCROSS,GA,30093,7704547500 EXT. 326,anthony@avgroup.net,,GT4R218M,unknown,50,20,35.0,unknown,A
7D3R670D,DELTA FLIGHT PRODUCTS LLC,,ATLANTA,GA,30354,4047149631,mark.peterman@dfp.delta.com,,7D3R670D,unknown,50,20,35.0,unknown,A
