entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,website_fit_score,erp_fit_score,cross_sell_score,corridor_ebis_likelihood,outreach_tier
27OD157C,ADVANCED AEROTECHNOLOGIES GROUP LLC,,GREELEY,CO,80631,9705900906,info@advancedaerotech.com,https://www.advancedaerotech.com/,27OD157C,small,50,20,35.0,unknown,A
F42R979Y,FRONT RANGE TRANSPONDER SERVICE,MOUNTAIN AIR AVIATION,BROOMFIELD,CO,80021,3034691380,gb3maa@gmail.com,,F42R979Y,unknown,50,20,35.0,unknown,A
CUTR877D,CUTTER AVIATION DENVER CO-APA,,ENGLEWOOD,CO,80112,3037999999,jgolabi@cutteraviation.com,,CUTR877D,unknown,50,20,35.0,corridor-verified,A
H51R588Y,AIRCRAFT MAINTENANCE AND MANAGEMENT COMPANY,HAGGAN AVIATION,ENGLEWOOD,CO,80112,3037920688,chaight@hagganaviation.com,,H51R588Y,unknown,50,20,35.0,unknown,A
76YR726D,LEGACY AIR,,BROOMFIELD,CO,80021,3034040277,rick@legacy-air.com,,76YR726D,unknown,50,20,35.0,unknown,A
X8CR828N,"GOGO BUSINESS AVIATION, LLC.",,BROOMFIELD,CO,80021,3033013200,connect@gogoair.com,,X8CR828N,unknown,50,20,35.0,unknown,A
PAZ3068H,"PREMIER AIR CENTER, LLC",WEST STAR AVIATION,ENGLEWOOD,CO,80112,7204867140,trasch@wsa.aero,,PAZ3068H,unknown,50,20,35.0,unknown,A
KP7R699J,"AIR COMM CORPORATION, LLC",,THORNTON,CO,80023,2047287618,mason.reichert@acethermalsystems.com,,KP7R699J,small,50,20,35.0,unknown,A
DYHR613K,CENTENNIAL AIRCRAFT INTERIORS CORPORATION,,ENGLEWOOD,CO,80112,3036499296,cenaircraft@aol.com,,DYHR613K,unknown,50,20,35.0,unknown,A
VIB4368K,STEVENS AEROSPACE AND DEFENSE SYSTEMS LLC,,ENGLEWOOD,CO,80112,8646786026,msimpson@stevensaerospace.com,,VIB4368K,unknown,50,20,35.0,unknown,A
RYHR519X,ROCKY MOUNTAIN HOT AIR LLC,,DENVER,CO,80219,3039360292,,,RYHR519X,unknown,50,20,35.0,unknown,B
3SDR529B,"SIERRA NEVADA COMPANY, LLC",,ENGLEWOOD,CO,80112,3037950604,phil.baker@sncorp.com,,3SDR529B,unknown,50,20,35.0,unknown,A
GO2R846D,"GOGO BUSINESS AVIATION, LLC",GOGO FLIGHT SERVICES,BROOMFIELD,CO,80021,3033013441,jbyrne@gogoair.com,,GO2R846D,unknown,50,20,35.0,unknown,A
KY7R882H,KEY LIME AIR CORPORATION,DENVER AIR CONNECTION,ENGLEWOOD,CO,80112,3037689626,bkilburn@keylimeair.com,,KY7R882H,unknown,50,20,35.0,unknown,A
VX3R935L,HELIARC WELDING SERVICE,,DENVER,CO,80207,3033552080,heliarcwelding@hotmail.com,,VX3R935L,unknown,50,20,35.0,unknown,A
VW6R328Y,AVIATION WINDOW SERVICES,,BOULDER,CO,80301,3034442171,tim@aviationwindows.com,,VW6R328Y,unknown,50,20,35.0,unknown,A
IG0R976N,"INTERNATIONAL GOVERNOR SERVICES, LLC",STANDARDAERO COMPONENT SERVICES,BROOMFIELD,CO,80020,3034640043,maintenance@securityaviation.biz,,IG0R976N,unknown,50,20,35.0,unknown,A
FDBR221K,FREEDOM AVIONICS,"AERO PROP USA
DBA FREEDOM AIR AVIONICS",BROOMFIELD,CO,80021,3034695633,james@freedomavionics.com,,FDBR221K,unknown,50,20,35.0,unknown,A
FS6R104E,"INTERMOUNTAIN TESTING COMPANY, LLC",,ENGLEWOOD,CO,80110,3037610650,joe@intermountaintesting.com,,FS6R104E,unknown,50,20,35.0,unknown,A
OMKR399L,STRAIGHT FLIGHT LLC,,ENGLEWOOD,CO,80112,3037998906,msinger@straightflight.com,,OMKR399L,unknown,50,20,35.0,unknown,A
FMSR378E,DIRECT MX AVIATION LLC,,ENGLEWOOD,CO,80112,5206094087,mtaylor@directmxaviation.com,,FMSR378E,unknown,50,20,35.0,unknown,A
W8VR768Y,"UNILODE AVIATION SOLUTIONS US, INC",UNILODE AVIATION SOLUTIONS,DENVER,CO,80249,3033171260,bert.reyes@unilode.com,,W8VR768Y,unknown,50,20,35.0,unknown,A
5LBR346D,CENTRI-LUBE TECHNOLOGIES LLC,,LOVELAND,CO,80538,9702183758,jcrisman@thenewfirewallforward.com,,5LBR346D,unknown,50,20,35.0,unknown,A
BX4R092M,BEEGLES AIRCRAFT SERVICE LLC,,GREELEY,CO,80631,9703539200,info@beeglesair.com,,BX4R092M,unknown,50,20,35.0,unknown,A
122R933C,WESTERN PLAINS AVIATION LLC,,GREELEY,CO,80631,9703734550,steve@westernplainsaviation.com,,122R933C,unknown,50,20,35.0,unknown,A
7F6R102D,PRO POLISH LLC,,ENGLEWOOD,CO,80110,3038030002,chris@propolish100.com,,7F6R102D,unknown,50,20,35.0,unknown,A
X1IR595Y,"AVEX AVIATION, LLC",,BROOMFIELD,CO,80021,7203998008,bjhallinan@newavex.com,,X1IR595Y,unknown,50,20,35.0,unknown,A
VMIR360T,AIRCAM NATIONAL HELICOPTER SERVICES INC,,ENGLEWOOD,CO,80112,3037990079,draymond@aircamhelicopters.com,,VMIR360T,unknown,50,20,35.0,unknown,A
QMLR253U,AIR METHODS LLC,UNITED ROTORCRAFT,ENGLEWOOD,CO,80112,8176924415,jeremy.bryck@airmethods.com,,QMLR253U,unknown,50,20,35.0,unknown,A
J7BD555Y,BODE AVIATION INC,,ENGLEWOOD,CO,80112,7209513953,jesus.torres@flybode.com,,J7BD555Y,unknown,50,20,35.0,unknown,A
PE5R116N,PRECISION AIRCRAFT & ENGINE SERVICES INC,MAYO AVIATION LLC,ENGLEWOOD,CO,80112,3037924022,marc.cooley@gjpaviation.com,,PE5R116N,unknown,50,20,35.0,unknown,A
VW0R441Y,TRANS AERO LLC,"TRANS AERO LTD
DBA TRANS AERO LIMITED",LOVELAND,CO,80538,3077785777,bjoyner@transaeroheli.com,,VW0R441Y,unknown,50,20,35.0,unknown,A
ZP8R849Y,PILATUS AIRCRAFT USA LTD.,,BROOMFIELD,CO,80021,3034659099,mrector@pilbal.com,,ZP8R849Y,unknown,50,20,35.0,unknown,A
PN5R125N,CENTURY HELICOPTERS INC,,FORT COLLINS,CO,80524,9704846804,philip.glasgow@centuryhelicopters.com,,PN5R125N,unknown,50,20,35.0,unknown,A
N3KR215O,"PHOENIX TURBINE OVERHAUL AND REPAIR, LLC.",NONE,FORT COLLINS,CO,80524,9704950295,phoenixturbine@aol.com,,N3KR215O,unknown,50,20,35.0,unknown,A
3FOR298C,AEROFIELD SERVICES LLC,,AURORA,CO,80011,7205423173,philwilson@aerofieldservices.com,https://www.aerofieldservices.com/,3FOR298C,small,50,20,35.0,unknown,A
FR6R545N,ROCKY MOUNTAIN PROPELLERS INC,,ERIE,CO,80516,3036657905,rocky.prop@rockyprop.com,,FR6R545N,unknown,50,20,35.0,unknown,A
ZYJR157B,JETTECH LLC,,BROOMFIELD,CO,80021,3036974262,rob@jettechllc.net,,ZYJR157B,unknown,50,20,35.0,unknown,A
9HQR621C,HQ HELIWORKS LLC,,BROOMFIELD,CO,80021,4065701918,ryanb@heliqwest.com,,9HQR621C,unknown,50,20,35.0,unknown,A
ZL6R006Y,ARAPAHOE AERO AVIONICS,,ENGLEWOOD,CO,80112,3037998386,scott@arapahoeaero.com,,ZL6R006Y,unknown,50,20,35.0,unknown,A
7GSR084O,"GLOBAL SUPERTANKER AVIATION, LLC.",,DENVER,CO,80237,,scott@globalsupertanker.com,,7GSR084O,unknown,50,20,35.0,unknown,B
W33R587X,WESTERN AERO REPAIR INC,,DENVER,CO,80216,3033433223 EXT. 113,pswart@westernaero.com,,W33R587X,unknown,50,20,35.0,unknown,A
