entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,website_fit_score,erp_fit_score,cross_sell_score,corridor_ebis_likelihood,outreach_tier
ARAR126E,ARCUS AERO LLC,,BRIDGEPORT,TX,76426,3073882288,aciego@gmail.com,https://arcusaero.com/,ARAR126E,small,50,20,35.0,unknown,A
RW1R467K,SIKORSKY AIRCRAFT CORPORATION,NONE,DALLAS,TX,75261,9724566900,tim.b.adanti@lmco.com,,RW1R467K,unknown,50,20,35.0,unknown,A
Q6TR841X,AIRLINE TECH REPS LLC,STS LINE MAINTENANCE,IRVING,TX,75063,8179942191,williams.ahern@stslm.com,https://www.stsaviationgroup.com/,Q6TR841X,large,50,20,35.0,unknown,A
G5KR574Y,GLOBAL AIRCRAFT SERVICE INC,,ADDISON,TX,75001,9722676650,leakfixers@aol.com,https://globalaircraftservice.com/,G5KR574Y,small,50,20,35.0,unknown,A
U9FR750K,US AVIATION GROUP LLC,US AVIONICS,DENTON,TX,76207,9403832484 EXT. 450,danderson@usaviation.aero,https://www.usjetcenter.com,U9FR750K,large,50,20,35.0,unknown,A
5GXR127C,"GALAXY AVIATION, INC",,FRISCO,TX,75035,4697660420,bryan.archer@galaxymro.com,,5GXR127C,small,50,20,35.0,unknown,A
ANAR333E,ARISPE AVIATION LLC,AIRSPEED & ATTITUDE,MCKINNEY,TX,75071,4694816501,anthony@airspeedattitude.com,https://airspeedattitude.com/,ANAR333E,small,50,20,35.0,unknown,A
TRFR933D,THRUST AVIONICS LLC,,ADDISON,TX,75001,9727359099,info@thrustavioics.com,,TRFR933D,small,50,20,35.0,unknown,A
1E4R827B,EXP AIRCRAFT SERVICES,,ROANOKE,TX,76262,9727465154,walt@expaircraft.com,https://www.expaircraft.com/,1E4R827B,small,50,20,35.0,unknown,A
9LUR472C,LUMINATOR HOLDING L.P.,LUMINATOR,PLANO,TX,75074,9724246511,melvin.barker@luminator.com,,9LUR472C,unknown,50,20,35.0,unknown,A
VE1R555K,AIR DALLAS INSTRUMENTS INC,,LEWISVILLE,TX,75057,9722217414,info@airdallasinstruments.com,https://airdallas.com/,VE1R555K,small,50,20,35.0,unknown,A
7AJ3299N,GUARDIAN FLIGHT LLC,"GMR CERTIFIED REPAIR
   REPAIR STATION",DALLAS,TX,75237,4358304578,sean.erhardt@guardianflight.com,,7AJ3299N,unknown,50,20,35.0,unknown,A
SWZR311E,"SCHWEIZER RSG, LLC.",,FORT WORTH,TX,76106,8174052100,mcraft@schweizerrsg.com,https://schweizerrsg.com/,SWZR311E,small,50,20,35.0,unknown,A
1YJR859C,AEROBRIGHAM LLC,,DECATUR,TX,76234,9406264849,david@aerobrigham.com,https://aerobrigham.com/,1YJR859C,large,50,20,35.0,unknown,A
X6SR982J,"AERO SYSTEMS, LLC",,GRAPEVINE,TX,76051,8174160000,abrookins@aerosystemsllc.com,,X6SR982J,unknown,50,20,35.0,unknown,A
Y2XR337B,"ALLIANT TECHSYSTEMS OPERATIONS, LLC.",,IRVING,TX,75063,8179163314,ronald.brown@ngc.com,,Y2XR337B,unknown,50,20,35.0,unknown,A
I05R809Y,AIRFLITE INCORPORATED,,MCKINNEY,TX,75069,2145854460,patrick.darling@toyota.com,,I05R809Y,unknown,50,20,35.0,unknown,A
WN1R590K,BYAM PROPELLER SERVICE INC,,FORT WORTH,TX,76106,8176250161,byamprop@flash.net,,WN1R590K,unknown,50,20,35.0,unknown,A
B3ZR504N,"BENZ COMPANIES, LTD.",BENZ AIRBORNE SYSTEMS,FORT WORTH,TX,76118,8172800000,jerry@benzairborne.com,,B3ZR504N,unknown,50,20,35.0,unknown,A
FBQR568Y,"FLITE COMPOSITES, LLC","FLITE COMPONENTS, LLC",DALLAS,TX,75247,9727233164,scrain@dasvcs.com,,FBQR568Y,unknown,50,20,35.0,unknown,A
VF1R556K,METAL IMPROVEMENT COMPANY INC,"METAL IMPROVEMENT COMPANY,
   COMPANY, INC. - DALLAS",GRAND PRAIRIE,TX,75050,9726418011,jose.cruz@cwst.com,,VF1R556K,unknown,50,20,35.0,unknown,A
8LER920B,INTERNATIONAL AEROSPACE COATINGS INC,,FORT WORTH,TX,76106,2143975331,carl.farris@iac.aero,,8LER920B,unknown,50,20,35.0,unknown,A
1J9R551D,JUST PLANE MAINTENANCE LLC,,DALLAS,TX,75237,9402975071,walter.darrach@justplanemx.com,,1J9R551D,unknown,50,20,35.0,unknown,A
IPTR140L,"HERITAGE AVIATION, LTD.",,GRAND PRAIRIE,TX,75050,9729888000 EXT. 3663,rhulsey@heritageaviationltd.com,,IPTR140L,unknown,50,20,35.0,unknown,A
IN2R904K,HELICOPTER STRUCTURES INC,,DENTON,TX,76208,9189682157,mccarthyair@hotmail.com,,IN2R904K,unknown,50,20,35.0,unknown,A
XMXD954Y,EXECUTIVE AIRSHARE LLC,,FORT WORTH,TX,76106,3168663017,cduvail@flyairshare.com,,XMXD954Y,unknown,50,20,35.0,unknown,A
J8QR089X,PRATT AND WHITNEY LINE MAINTENANCE SERVICES INC,,DALLAS,TX,75261,9725123703,ali.hasan@pw.utc.com,,J8QR089X,unknown,50,20,35.0,unknown,A
FD2R816K,CENTURY FLIGHT SYSTEMS INC,,MINERAL WELLS,TX,76067,,lottieeubanks43@gmail.com,,FD2R816K,unknown,50,20,35.0,unknown,B
R8BR630Y,BRAVO AVIATION MAINTENANCE LLC.,,DALLAS,TX,75235,2143516604,,,R8BR630Y,unknown,50,20,35.0,unknown,B
41FR543D,AIRFRAME SYSTEMS LLC,,ADDISON,TX,75001,6318358922,rickfarmer1@yahoo.com,,41FR543D,unknown,50,20,35.0,unknown,A
F91R602X,"FERRER AVIATION SERVICES, LLC",NORTH TEXAS AVIONICS,FORT WORTH,TX,76179,8174222714,mike@northtexasavionics.com,,F91R602X,unknown,50,20,35.0,unknown,A
G49R038Y,"GARDNER, PAUL",PDG SERVICES,LANCASTER,TX,75146,2148865894,cbriske@sermedinc.com,,G49R038Y,unknown,50,20,35.0,unknown,A
SN1R486K,UNDERWOOD INSTRUMENT SERVICES INC,,ADDISON,TX,75001,9729318525,greg@underwoodinstrument.com,,SN1R486K,unknown,50,20,35.0,unknown,A
