entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,website_fit_score,erp_fit_score,cross_sell_score,corridor_ebis_likelihood,outreach_tier
1F0R606D,GULF COAST AVIATION SERVICES LLC,,CONROE,TX,77304,,tcofer72@yahoo.com,,1F0R606D,unknown,50,20,35.0,unknown,B
HLXR728E,HELICOPTER SERVICES INC,,SPRING,TX,77379,2813704354,mcrossland@heliserv.com,,HLXR728E,unknown,50,20,35.0,unknown,A
8AQR081C,AV8 MRO LLC,,HOUSTON,TX,77040,7135892668,russell@av8mro.com,,8AQR081C,unknown,50,20,35.0,unknown,A
7RDR559C,"TEXAS AIRCRAFT PROPELLER & ACCESSORIES, LLC",,PEARLAND,TX,77581,2814854400,jfalzon@txairprop.com,,7RDR559C,unknown,50,20,35.0,unknown,A
GP2R854K,FALCON CREST ACCESSORIES INC,,HOUSTON,TX,77061,7136442290,jhightower@falconcrestaviation.com,,GP2R854K,unknown,50,20,35.0,unknown,A
XS1R623K,BRAZOS AVIONICS INC,,HOUSTON,TX,77034,2817886972,brazosavionics@aol.com,,XS1R623K,unknown,50,20,35.0,unknown,A
F8VR234O,AERO STRUCTURAL SERVICES LLC,,PEARLAND,TX,77584,2819741712,aero8310@aol.com,,F8VR234O,unknown,50,20,35.0,unknown,A
98TR084D,CHALLENGER AVIATION SERVICES INC,,HOUSTON,TX,77061,2817027478,mike.c@challengeraviation.net,,98TR084D,unknown,50,20,35.0,unknown,A
WAIR890I,"WESTERN AIRWAYS, LLC",,SUGAR LAND,TX,77498,2815659700 EXT. 5412,tim.rester@westernairways.com,,WAIR890I,unknown,50,20,35.0,unknown,A
TBTR544K,"COASTAL SKIES MAINTENANCE, LLC",,PEARLAND,TX,77581,2819931150,kirk@coastalskies.com,,TBTR544K,unknown,50,20,35.0,unknown,A
LSIR173E,LSA AVIATION SERVICES LLC,,HOUSTON,TX,77061,8327921020,john@lonestaraviators.com,,LSIR173E,unknown,50,20,35.0,unknown,A
NQ9R840Y,APPLIED TECHNOLOGIES INSPECTION SERVICES,,SPRING,TX,77379,2817940947,f82fan@gmail.com,,NQ9R840Y,unknown,50,20,35.0,unknown,A
YWYR832L,AEROHP MAINTENANCE LLC,RITE-WAY AVIATION,SPRING,TX,77379,2813764011,pwhite@flyaerohp.com,,YWYR832L,unknown,50,20,35.0,unknown,A
Y4XR461Y,GENERAL AVIONICS INC,,HOUSTON,TX,77084,2816479600,outlawav@aol.com,,Y4XR461Y,unknown,50,20,35.0,unknown,A
UPOR577L,AEROPLUS INTERIORS INC,,HOUSTON,TX,77061,2814310007,infoaeroplus@aol.com,,UPOR577L,unknown,50,20,35.0,unknown,A
SOXD680K,SIFCO APPLIED SURFACE CONCEPTS LLC,,HOUSTON,TX,77086,2814446500,info@sifcoasc.com,,SOXD680K,unknown,50,20,35.0,unknown,A
UZGR810K,ANSON AIR LLC,ANSON AVIATION,SUGAR LAND,TX,77498,2812422555,ggarris@boggspaving.com,,UZGR810K,unknown,50,20,35.0,unknown,A
G5LR643X,GLOBAL AVIATION SERVICES INC,,TOMBALL,TX,77375,2814433533,dray5@global-aviation.net,,G5LR643X,unknown,50,20,35.0,unknown,A
R9WR052O,RSW PRODUCTS INC,,HOUSTON,TX,77093,2815906428,tora@rswproducts.com,,R9WR052O,unknown,50,20,35.0,unknown,A
XR1R622K,SOUTH AIR HELICOPTERS INC,,PEARLAND,TX,77581,8328856090,mpikesahinc@att.net,,XR1R622K,unknown,50,20,35.0,unknown,A
CONR602K,CONOCOPHILLIPS CO.,,HOUSTON,TX,77032,2814435000,john.r.degaynor@conocophillips.com,,CONR602K,unknown,50,20,35.0,unknown,A
9VAR151C,VON'S AVIONICS INC,,PEARLAND,TX,77581,4097716109,vonsavionics@gmail.com,,9VAR151C,unknown,50,20,35.0,unknown,A
PAZ4068H,PREMIER AIR CENTER LLC,WEST STAR AVIATION,CONROE,TX,77303,2819286320,rbass@wsa.aero,,PAZ4068H,unknown,50,20,35.0,unknown,A
HLIR055E,HIGGINS LEASING INC,,SPRING,TX,77386,7135400161,rob@higginsleasing.com,,HLIR055E,unknown,50,20,35.0,unknown,A
URNR644X,AIRCRAFT CUSTOM INTERIORS,,HOUSTON,TX,77061,7136402525,,,URNR644X,unknown,50,20,35.0,unknown,B
9HCR378B,HARCO AVIATION LLC,,HOUSTON,TX,77034,7136411869,sharrison@harcoaviation.com,,9HCR378B,unknown,50,20,35.0,unknown,A
XW1R627K,SYNGINEERINGNDT LLC,,HUMBLE,TX,77338,7037858579,bill.flynn@syngineeringndt.com,,XW1R627K,unknown,50,20,35.0,unknown,A
U9BR618Y,UNITED BATTERIES AND ACCESSORIES INC,,HOUSTON,TX,77061,7139919111,mail@unitedbatteries.com,,U9BR618Y,unknown,50,20,35.0,unknown,A
GK2R118E,"VAAYU AERO MAINTENANCE, LLC",,HOUSTON,TX,77084,3465942015,david.boss@hondoaerospace.com,,GK2R118E,unknown,50,20,35.0,unknown,A
BZLR064E,BZ LOGISTICS LLC,SEMPER FLI BATTERY SHOP,HOUSTON,TX,77060,8323280631,bzlogistics20@gmail.com,,BZLR064E,unknown,50,20,35.0,unknown,A
9FAR796B,FRIEDKIN AVIATION SERVICES,,HOUSTON,TX,77061,8323446504,satterwhite.rob@att.net,,9FAR796B,unknown,50,20,35.0,unknown,A
MTFR532X,MW AIRCRAFT SERVICES INC,,CONROE,TX,77303,9364412900,mwaircraft@consolidated.net,,MTFR532X,unknown,50,20,35.0,unknown,A
VUER010Y,AVIONICS UNLIMITED,,CONROE,TX,77303,9367887333,blaingd@aol.com,,VUER010Y,unknown,50,20,35.0,unknown,A
9HXR946B,AIRCRAFT STRUCTURES,,SPRING,TX,77379,2812218200,aircraftsheetmetal@yahoo.com,,9HXR946B,unknown,50,20,35.0,unknown,A
D6IR008N,UNILODE AVIATION SOLUTIONS US INC,UNILODE AVIATION SOLUTIONS,HOUSTON,TX,77032,2818092111,april.northern@unilode.com,,D6IR008N,unknown,50,20,35.0,unknown,A
LJCR092G,"HOUSTON AVIATION PARTNERS, LLC.","M.A.A.T.S. MILLION AIR
   AIR AIRCRAFT TECHNICAL
   VICES",HOUSTON,TX,77061,7863165615,njaffery@millionair.com,,LJCR092G,unknown,50,20,35.0,unknown,A
WV1R599K,"SAFETECH USA, INC",,HUMBLE,TX,77396,2814461777,hh@safetech-usa.com,,WV1R599K,unknown,50,20,35.0,unknown,A
1JYR059C,"SHARP DETAILS, LLC D/B/A PRIME APPEARANCE",,SUGAR LAND,TX,77478,3165593827,hvonfeldt@primeappearance.com,,1JYR059C,unknown,50,20,35.0,unknown,A
YVJR478Y,"JONES AIRCRAFT SERVICES, LLC.",JONES AVIONICS,SPRING,TX,77379,2814336077,jac4673@gmail.com,,YVJR478Y,unknown,50,20,35.0,unknown,A
XF1R610K,HOUSTON AIRCRAFT INSTRUMENTS INC,,PEARLAND,TX,77581,2814125757,peskine@houstonaircraft.com,,XF1R610K,unknown,50,20,35.0,unknown,A
TECR629E,AMTECH SOLUTIONS GROUP LLC,"AMTECH AIRCRAFT SERVICES
DBA AMTECH AIRCRAFT SERVICES",HOUSTON,TX,77032,7142605179,sazavala@amtechsolutions.org,,TECR629E,unknown,50,20,35.0,unknown,A
I7ER029Y,"INTECH AEROSPACE, LLC",,HOUSTON,TX,77032,2818104416,steve.knight@intechaero.com,,I7ER029Y,unknown,50,20,35.0,unknown,A
Q9HR088B,HIGH TECH FINISHING,,HOUSTON,TX,77086,,,,Q9HR088B,unknown,40,10,25.0,unknown,C
