entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,website_fit_score,erp_fit_score,cross_sell_score,corridor_ebis_likelihood,outreach_tier
SFER859D,SHAFI ENTERPRISES LLC,ANODE AVIONICS,OXNARD,CA,93030,6147389312,aj@anodeavionics.com,,SFER859D,unknown,50,20,35.0,unknown,A
OH9R298H,"ORBIC HELICOPTERS SALES AND SERVICE AT CAMARILLO,",,CAMARILLO,CA,93010,8053891070,orbicmx@gmail.com,,OH9R298H,unknown,50,20,35.0,unknown,A
ABFR012C,JET AVIATION FLIGHT SERVICES INC,,BURBANK,CA,91505,7472911500,syed.ali@jetaviation.com,,ABFR012C,unknown,50,20,35.0,unknown,A
PQ8R252Y,PARKER HANNIFIN CORPORATION STRATOFLEX PRODUCTS DI,,CAMARILLO,CA,93012,8054848533,dlyden@parker.com,,PQ8R252Y,unknown,50,20,35.0,unknown,A
TF3R865L,AERO-CRAFT HYDRAULICS INC,,CORONA,CA,92878,,ramitoelau@aero-craft.com,,TF3R865L,unknown,50,20,35.0,unknown,B
TEUR916K,THERMAL STRUCTURES INC,,CORONA,CA,92878,9517369911,dandraso@thermalstructures.com,,TEUR916K,unknown,50,20,35.0,unknown,A
A23R362J,ADAMS RITE AEROSPACE INC,,FULLERTON,CA,92835,7142786500,sgonzalez@araero.com,,A23R362J,unknown,50,20,35.0,unknown,A
5PHR421B,PARKER HANNIFIN CORPORATION,,IRVINE,CA,92606,9498513500,fernanda.dacruz@parker.co,,5PHR421B,unknown,50,20,35.0,unknown,A
8EJR734C,EXECUTIVE JET MAINTENANCE INC,,SAN BERNARDINO,CA,92408,9492659590,jesse.mcbrayer@ejmmx.com,,8EJR734C,unknown,50,20,35.0,unknown,A
XHER514L,CHROMAL PLATING CO.,,LOS ANGELES,CA,90031,3232256121,ray@chromal.com,,XHER514L,unknown,50,20,35.0,unknown,A
S6NR042K,SUN AIR JETS LLC,,CAMARILLO,CA,93010,8053899308,mbooterbaugh@sunairjets.com,,S6NR042K,unknown,50,20,35.0,unknown,A
IEDR824K,E D N AVIATION INC,,VAN NUYS,CA,91406,8189888826,nbostanian@velocityaerospace.com,,IEDR824K,unknown,50,20,35.0,unknown,A
VZKR147E,LEADING EDGE AVIONICS INC,,CHINO,CA,91710,8559556151,kathryn.brewer@leavionics.com,,VZKR147E,unknown,50,20,35.0,unknown,A
AJ4R052M,FOOTHILL AIRCRAFT SALES AND SERVICE INC,,UPLAND,CA,91786,9099851977,,,AJ4R052M,unknown,50,20,35.0,unknown,B
ULXR905L,CITY OF LOS ANGELES-GENERAL SERVICES,,VAN NUYS,CA,91406,8187569828,matthew.dickinson@lacity.org,,ULXR905L,unknown,50,20,35.0,unknown,A
IO0R819Y,FAAPMAPARTS.COM INC,C.I. COMPOSITES,OXNARD,CA,93030,8054841616,cicomposites@dslextreme.com,,IO0R819Y,unknown,50,20,35.0,unknown,A
C23R526J,CHAUHAN INDUSTRIES INC,C.I. INC.,CAMARILLO,CA,93010,8054841616,rajchauhan@dslextreme.com,,C23R526J,unknown,50,20,35.0,unknown,A
1EER640B,REINHOLD INDUSTRIES INC,,OXNARD,CA,93033,8053415956,bclough@reinhold-ind.com,,1EER640B,unknown,50,20,35.0,unknown,A
FUSR966D,FUSE AVIATION LLC,,VAN NUYS,CA,91406,3104564754,alfredo.campos@fuseaviation.com,,FUSR966D,unknown,50,20,35.0,unknown,A
VTMR569K,OCR AVIATION,,LONG BEACH,CA,90806,5624265331,bobby@ocraviation.com,,VTMR569K,unknown,50,20,35.0,confirmed_ebis,A
SEAR303E,SEAVIEW AVIATION LLC,,CAMARILLO,CA,93010,4357725579,aaron@svaviation.com,,SEAR303E,unknown,50,20,35.0,unknown,A
VACR249E,"PSC AERO, LLC.",,IRVINE,CA,92614,9498994974,enriquecurioso@gmail.com,,VACR249E,unknown,50,20,35.0,unknown,A
AB3R365L,"GE AVIATION, FLIGHT TEST OPERATION",,VICTORVILLE,CA,92394,7605305303,michaelhardell@ge.com,,AB3R365L,unknown,50,20,35.0,unknown,A
QFRR548K,AVIATION FUEL SYSTEMS REPAIR INC,,SAN BERNARDINO,CA,92408,2103754171,admin@afsrinc.com,,QFRR548K,unknown,50,20,35.0,unknown,A
9C1R145C,MOMENTUM FPD SERVICES CORPORATION,"PRECISION DISPLAY REPAIRS
DBA PDR",CAMARILLO,CA,93012,8053841900,jon.defina@momentum-fpd.com,,9C1R145C,unknown,50,20,35.0,unknown,A
8AAR592Y,"AFFORDABLE AVIONICS, INC",ARAINA AVIATION,CHINO,CA,91710,9096069876,asosa@arainaaviation.com,,8AAR592Y,unknown,50,20,35.0,unknown,A
VUXR007X,AVIATION MAINTENANCE GROUP INC,,CHINO,CA,91708,9516061666,,,VUXR007X,unknown,50,20,35.0,unknown,B
U74R497B,UNITED SERVICE APPLICATIONS INC,,SANTA ANA,CA,92705,7149541192,ptdolan@unitedserviceapps.com,,U74R497B,unknown,50,20,35.0,unknown,A
AR4R175E,ARA AVIATION INC,,EL MONTE,CA,91731,9099574685,ryan@araaviation.com,,AR4R175E,unknown,50,20,35.0,unknown,A
8NMR309D,GLOBAL AVIATION SERVICES LLC,PRIMEFLIGHT GSE MAINTENANCE,ONTARIO,CA,91761,,aevans@primeflight.com,,8NMR309D,unknown,50,20,35.0,unknown,B
9F4R775C,SOCAL MRO LLC.,,CHINO,CA,91710,9544457357,helicopt2@lanset.com,,9F4R775C,unknown,50,20,35.0,unknown,A
GI3R528L,RO WING AVIATION INC,,CAMARILLO,CA,93012,8054840556,rrowing@aol.com,,GI3R528L,unknown,50,20,35.0,unknown,A
OOCR964K,CORPORATE AIR PARTS INC,CAPS AVIATION,VAN NUYS,CA,91406,8189970512 EXT. 102,tteutsch@capsaviation.com,,OOCR964K,unknown,50,20,35.0,unknown,A
9BDR738C,AERO PERFORMANCE SPECIALTIES,,CHINO,CA,91710,9099274600,s.glover@aero-performance.com,,9BDR738C,unknown,50,20,35.0,unknown,A
H0CR401I,HELINET AVIATION SERVICES LLC,,VAN NUYS,CA,91406,8187803401,jpage@helinet.com,,H0CR401I,unknown,50,20,35.0,unknown,A
S7GR035N,SKURKA AEROSPACE INC,,CAMARILLO,CA,93012,8054848884,sales@skurka-aero.com,,S7GR035N,unknown,50,20,35.0,unknown,A
2HZR740D,HORIZON AVIATION LLC,,UPLAND,CA,91786,,caleb@horizonaviationllc.com,,2HZR740D,unknown,50,20,35.0,unknown,B
5ZSR310D,ZEPHYR SERVICES LLC,,LONG BEACH,CA,90806,5624248477,guyjeff@zephyrservices.net,,5ZSR310D,unknown,50,20,35.0,unknown,A
MHAR094E,MH AVIATION INC,,LANCASTER,CA,93536,8053412025,mhaviationinc@sbcglobal.net,,MHAR094E,unknown,50,20,35.0,unknown,A
