entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,website_fit_score,erp_fit_score,cross_sell_score,corridor_ebis_likelihood,outreach_tier
YXCR399X,"TUCSON AEROSERVICE CENTER, INC",,MARANA,AZ,85653,5206822999,ron.anders@tucsonaero.com,,YXCR399X,unknown,50,20,35.0,unknown,A
G0XR924Y,GALAXY INTERNATIONAL INC,,GOODYEAR,AZ,85338,6026269518,clearfortakeoff@aol.com,,G0XR924Y,unknown,50,20,35.0,unknown,A
7AKR665D,"5280 AVIATION SALES, LLC",STELLA AIR,GOODYEAR,AZ,85338,7207397246,ja@galaxyinternational.com,,7AKR665D,unknown,50,20,35.0,unknown,A
XHCR780K,HELIPONENTS INC,,MESA,AZ,85215,4809818300,chad@heliponentsinc.com,,XHCR780K,unknown,50,20,35.0,unknown,A
1D2R884C,CORE PARTS  LLC,,MESA,AZ,85205,4802929399,cghassemi@coreparts.com,,1D2R884C,unknown,50,20,35.0,unknown,A
JETR229E,JETMX INC,,GOODYEAR,AZ,85338,8668249394,ashley@myjetmx.com,,JETR229E,unknown,50,20,35.0,unknown,A
LG3R656L,ARIZONA AIRCRAFT INTERIOR DESIGN INC,,MESA,AZ,85215,4808321330,mike@azaircraftinteriors.com,,LG3R656L,unknown,50,20,35.0,unknown,A
Z8VR017B,AVSETS ENGINE SERVICES INC,,TEMPE,AZ,85283,4803613505,joseb@avsetsengines.com,,Z8VR017B,unknown,50,20,35.0,unknown,A
9IRR566C,"IAR TECHNICAL SERVICES, LLC",,MESA,AZ,85212,4808409860,bgrantham@internationalairresponse.com,,9IRR566C,unknown,50,20,35.0,unknown,A
7QAR515C,JET YARD SOLUTIONS LLC,,MARANA,AZ,85653,9287577744 EXT. 1003,cburjakowsky@jetyard.com,,7QAR515C,unknown,50,20,35.0,unknown,A
8SUR207E,E&E AVIATION,CHANDLER AVIONICS,CHANDLER,AZ,85286,4803099683,eric.d@chandleravionics.com,,8SUR207E,unknown,50,20,35.0,unknown,A
HI3D554L,CANYON STATE INSPECTION INC,,CHANDLER,AZ,85226,4807837100,csiphx@hotmail.com,,HI3D554L,unknown,50,20,35.0,unknown,A
7VDR117C,ADVANCED MATERIALS TECHNOLOGIES LLC,,CHANDLER,AZ,85226,6024431403,scottg@amt-america.com,,7VDR117C,unknown,50,20,35.0,unknown,A
M82R545Y,"MD HELICOPTERS, LLC",,MESA,AZ,85215,2063000515,christen.grazulis@mdhelicopters.com,,M82R545Y,unknown,50,20,35.0,unknown,A
VIJR367K,TURBINEAERO INC,TURBINEAERO REPAIR,CHANDLER,AZ,85226,4808242751,rocky.eller@turbineaero.com,,VIJR367K,unknown,50,20,35.0,unknown,A
UWZR525X,ACCUWRIGHT INDUSTRIES INC,,GILBERT,AZ,85233,4808929595,dave@accuwright.com,,UWZR525X,unknown,50,20,35.0,unknown,A
N18R007Y,NATIONAL AVIATION PRODUCTS INC,NMG AEROSPACE,TEMPE,AZ,85282,4809661097,vfallon@nmgaerospace.com,,N18R007Y,unknown,50,20,35.0,unknown,A
N4ER838N,NELSON ENGINEERING CO. INC,,PHOENIX,AZ,85034,6022737114 EXT. 25,prodarte@nelsonengineering.com,,N4ER838N,unknown,50,20,35.0,unknown,A
E27R173O,COPPER STATE TURBINE ENGINE COMPANY,"TAE AEROSPACE, INC.",SCOTTSDALE,AZ,85260,4805006677,scott.pitts@taeaerospace.com,,E27R173O,unknown,50,20,35.0,unknown,A
B6BR276J,MIDWEST AEROSPACE LTD AZ,,GILBERT,AZ,85297,4808335812,jlgiannini@midwestaeroltd.com,,B6BR276J,unknown,50,20,35.0,unknown,A
JW23941K,HAMILTON SUNDSTRAND CORPORATION,"HAMILTON SUNDSTRAND CORPORATION
DBA D/B/A HAMILTON SUNDSTRAND",PHOENIX,AZ,85034,4805945457,,,JW23941K,unknown,50,20,35.0,unknown,B
9DNR990C,PRECISION HELI-SUPPORT LLC,,MESA,AZ,85215,4809857994,heather.lawson@precisionhelisupport.com,,9DNR990C,unknown,50,20,35.0,unknown,A
6AZR629B,ARIZONA AEROSYSTEMS LLC,FALCON AERO,MESA,AZ,85207,4803658713,falconaero@cox.net,,6AZR629B,unknown,50,20,35.0,unknown,A
7XMR178C,"AIRCRAFT MAINTENANCE PARTNERS, LLC",,MESA,AZ,85212,8174037083,james.hicks@aerocheckmro.com,,7XMR178C,unknown,50,20,35.0,unknown,A
OG5D092N,UND AEROSPACE,"UND AEROSPACE FOUNDATION
DBA UNIVERISTY OF NORTH
   NORTH DAKOTA
DBA JOHN D ODEGARD
   ODEGARD SCHOOL OF AEROSPACE
   S
DBA UND",MESA,AZ,85212,,daniel.kasowski@und.edu,,OG5D092N,unknown,50,20,35.0,unknown,B
Q5KR301B,MESQUITE AVIONICS LLC,,MESA,AZ,85207,,basir.khalil@yahoo.com,,Q5KR301B,unknown,50,20,35.0,unknown,B
6FIR926C,"KHALIL AVIONICS, LLC","FLITE INSTRUMENTS AND
   AND AVIONICS",MESA,AZ,85207,4805160308,bashir.khalil@yahoo.com,,6FIR926C,unknown,50,20,35.0,unknown,A
TT0R129Y,"TURBO TECHNOLOGIES, LLC",,MESA,AZ,85215,6022325219,tleonard@turbotech.aero,,TT0R129Y,unknown,50,20,35.0,unknown,A
A8ZR580Y,AERSALE INC,,GOODYEAR,AZ,85338,6237929861,michael.block@aersale.com,,A8ZR580Y,unknown,50,20,35.0,unknown,A
YZ6R162C,ANSWERS AEROSPACE ENGINEERING LLC,,PHOENIX,AZ,85027,6233743395,gmathias@answersaerospace.com,,YZ6R162C,unknown,50,20,35.0,unknown,A
Q0FR371Y,FIRE-TEC AERO SYSTEMS LLC,,PHOENIX,AZ,85027,6235808880,christian@fire-tecaero.com,,Q0FR371Y,unknown,50,20,35.0,unknown,A
