entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,website_fit_score,erp_fit_score,cross_sell_score,corridor_ebis_likelihood,outreach_tier
85NR497D,BISON AVIATION LLC,,BOERNE,TX,78006,2108760000,john@bisonaviation.com,https://www.bisonaviation.com/,85NR497D,small,50,20,35.0,unknown,A
Z8SR724Y,SAN ANTONIO AVIATION INC,SAN ANTONIO AVIONICS,SAN ANTONIO,TX,78214,2109221230,sanantonioavionics@gmail.com,,Z8SR724Y,small,50,20,35.0,unknown,A
IUVR771L,AIRCRAFT INSTRUMENT SUPPORT SERVICES INC,NOT AUTHORIZED,GEORGETOWN,TX,78626,5128091326,aissinc2022@gmail.com,,IUVR771L,unknown,50,20,35.0,unknown,A
5RLR435D,"BRL NDT CONSULTANTS, LLC",BRL NDT SERVICES,SAN ANTONIO,TX,78216,2108766741,virgil@brlndtservices.com,,5RLR435D,unknown,50,20,35.0,unknown,A
CJRR377E,"CORPJET AVIATION, LLC",,SAN ANTONIO,TX,78216,8305917963,rmoreno@corpjetmro.com,,CJRR377E,unknown,50,20,35.0,unknown,A
VAVR372E,VETERANS AVIATION LLC,,NEW BRAUNFELS,TX,78130,2109046481,michael.sanders@veteransaviation.com,,VAVR372E,unknown,50,20,35.0,unknown,A
DM2R773K,SAN ANTONIO PROPELLER SERVICE INC,,SAN ANTONIO,TX,78216,2103424452,sa-propeller@sbcglobal.net,,DM2R773K,unknown,50,20,35.0,unknown,A
C84R586N,CENTRAL TEXAS AVIONICS INC,,GEORGETOWN,TX,78628,5128688484,bobby@ctavionics.com,,C84R586N,unknown,50,20,35.0,unknown,A
JSLD861D,JET SET INC,JET SET FBO,SAN ANTONIO,TX,78216,4055046922,pjets.dcraddock@gmail.com,,JSLD861D,unknown,50,20,35.0,unknown,A
J7OR164Y,JEFF BONNER R & D INC,,SAN ANTONIO,TX,78217,2105903133,jbonner@jbrnd.com,,J7OR164Y,unknown,50,20,35.0,unknown,A
8DVR209D,DAVCOR AVIATION SERVICES INC,,SAN ANTONIO,TX,78233,2103754171,mdavis@davcoraviation.com,,8DVR209D,unknown,50,20,35.0,unknown,A
EA2R787K,THE ZEE COMPANY INC,,SAN ANTONIO,TX,78216,2103429479,repairs@zeecompanyinc.com,,EA2R787K,unknown,50,20,35.0,unknown,A
U7TR491Y,CUTTER AVIATION SAN ANTONIO INC,,SAN ANTONIO,TX,78216,2103406780,kreedy@cutteraviation.com,,U7TR491Y,unknown,50,20,35.0,corridor-verified,A
7WLR971B,WELLSPRING AERO TECH LLC,,SAN ANTONIO,TX,78214,2108548105,ed.onwe@wellspringaero.com,,7WLR971B,unknown,50,20,35.0,unknown,A
1A7R319B,AUSTIN AEROTECH REPAIR SERVICES INC,,CEDAR PARK,TX,78613,5123356000,mcmillan@austinaerotech.com,,1A7R319B,unknown,50,20,35.0,unknown,A
V79R964K,VERACITY AVIATION LLC,,SEGUIN,TX,78155,8303799800,derrick@veracityaviation.com,,V79R964K,unknown,50,20,35.0,unknown,A
SRXR430X,STE SAN ANTONIO AEROSPACE INC,,SAN ANTONIO,TX,78216,8178058180,ken.bristol@stengg.us,,SRXR430X,unknown,50,20,35.0,unknown,A
6ONR698D,DIAMOND AEROSPACE LLC,,SAN ANTONIO,TX,78210,2103258238,benji@diamondaerospace.aero,,6ONR698D,unknown,50,20,35.0,unknown,A
7PLR591B,PREMIER METAL PLATING LLC,,SAN ANTONIO,TX,78212,2107363400,chris2@premiermetalplating.com,,7PLR591B,unknown,50,20,35.0,unknown,A
EK2R797K,JORDAN PROPELLER SERVICE INC,,SAN ANTONIO,TX,78216,2103443064,jordprop@netxpress.com,,EK2R797K,unknown,50,20,35.0,unknown,A
HKGR701E,BERRY AVIATION INC,,SAN MARCOS,TX,78666,5123532379,gmccracken@berryaviation.com,,HKGR701E,unknown,50,20,35.0,unknown,A
YCGR152L,CARGO SYSTEMS INC,,AUSTIN,TX,78758,5128371300,hmcelfish@cargosystems.com,,YCGR152L,unknown,50,20,35.0,unknown,A
X1DR610Y,STANDARD AERO (SAN ANTONIO) INC,STANDARDAERO,SAN ANTONIO,TX,78226,2108429168,robert.luebke@standardaero.com,,X1DR610Y,unknown,50,20,35.0,unknown,A
8MTR913B,"ISSO, LLC",SYBERJET AIRCRAFT,SAN ANTONIO,TX,78216,2107643500,jeff.rempel@syberjet.com,,8MTR913B,unknown,50,20,35.0,unknown,A
CMSR063E,CABIN MANAGEMENT SOLUTIONS LLC,,SAN ANTONIO,TX,78217,3462240397,jmccormick@cmsaero.com,,CMSR063E,unknown,50,20,35.0,unknown,A
8EFR480B,ENFLITE LLC,ENFLITE,GEORGETOWN,TX,78626,5128683399,jnabe@enflite.com,,8EFR480B,unknown,50,20,35.0,unknown,A
JF0R772N,AERO COMFORT,,SAN ANTONIO,TX,78216,2103400177,juanp@aerocomfort.com,,JF0R772N,unknown,50,20,35.0,unknown,A
RU7R547N,"CARDINAL NDT, LLC",,SAN ANTONIO,TX,78216,2105249208,kaela@cardinalndt.com,,RU7R547N,unknown,50,20,35.0,unknown,A
5WOR562D,SOUTHWEST AEROSPACE TECHNOLOGIES LLC,,GEORGETOWN,TX,78626,5058500554,kurt.encinias@southwestaerospace.com,,5WOR562D,unknown,50,20,35.0,unknown,A
UP3R901L,"NAV-COM SERVICES, LLC","NAV-COM SERVICES, LLC",AUSTIN,TX,78758,5124396988,lbeamon@relianceaircraft.com,,UP3R901L,unknown,50,20,35.0,unknown,A
