entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,website_fit_score,erp_fit_score,cross_sell_score,corridor_ebis_likelihood,outreach_tier
1BSR390B,BUCHER AEROSPACE CORPORATION,,EVERETT,WA,98203,,ach@bucheraero.com,,1BSR390B,unknown,50,20,35.0,unknown,B
LYWR551K,"CORPORATE AIR CENTER, LLC","CORPORATE AIR CENTER
   CENTER AVIONICS",BURLINGTON,WA,98233,3607577757,rbecker@corporateaircenter.com,,LYWR551K,unknown,50,20,35.0,unknown,A
8RNR750C,RENTON COIL SPRING CO. INC,,RENTON,WA,98057,4252551453 EXT. 227,chris.b@rentoncoilspring.com,,8RNR750C,unknown,50,20,35.0,unknown,A
I4CR304N,CANNON AIRCRAFT INTERIORS-CAI AVIONICS,,EVERETT,WA,98204,4253486924,,,I4CR304N,unknown,50,20,35.0,unknown,B
4DS7637B,AMENTUM SERVICES INC,,BELLINGHAM,WA,98226,3607346089,ryan.f.clark@associates.cbp.dhs.gov.,,4DS7637B,unknown,50,20,35.0,unknown,A
A1MR123N,AEROMECH INCORPORATED,,MUKILTEO,WA,98275,4252523236,craig.cheatle@aeromechinc.com,,A1MR123N,unknown,50,20,35.0,unknown,A
E57R057Y,EXOTIC METALS FORMING CO. LLC,,KENT,WA,98032,2533953710,cameron.fromong@parker.com,,E57R057Y,unknown,50,20,35.0,unknown,A
NX0R661Y,NORTHWEST AEROSPACE TECHNOLOGIES INC,,EVERETT,WA,98201,4252572044,andrew.davis2@safrangroup.com,,NX0R661Y,unknown,50,20,35.0,unknown,A
1LMR778B,LUMA TECHNOLOGIES,,BELLEVUE,WA,98005,4256434000,weverett@lumatech.com,,1LMR778B,unknown,50,20,35.0,unknown,A
NQ3R719L,"PACIFIC PROPELLER INTERNATIONAL, LLC",,KENT,WA,98032,2539816027,scalson@pacprop.com,,NQ3R719L,unknown,50,20,35.0,unknown,A
N9TR276Y,NORTH STAR AEROSPACE INC,,AUBURN,WA,98001,2538761604,sgensmantel@northstaraero.com,,N9TR276Y,unknown,50,20,35.0,unknown,A
MJKR015B,MAJESTIC AEROTECH INC,,TACOMA,WA,98402,3605284142,steveg@majesticaerotech.com,,MJKR015B,unknown,50,20,35.0,unknown,A
YGIR141Y,"BELLINGHAM AVIATION SERVICES, LLC",BELLINGHAM JET CENTER,BELLINGHAM,WA,98226,3607521252,,,YGIR141Y,unknown,50,20,35.0,unknown,B
