entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,website_fit_score,erp_fit_score,cross_sell_score,corridor_ebis_likelihood,outreach_tier
CRAR287E,AIRCRAFT COMPONENT REPAIR SERVICES CORP,,PEMBROKE PINES,FL,33028,9542576151,felipegarcia340@aol.com,none,CRAR287E,small,50,20,35.0,unknown,A
19WR307D,POWER AVIATION SOLUTIONS LLC,,MIAMI,FL,33182,7862471063,poweraviationsolutions@gmail.com,https://pasllc4u.com/,19WR307D,small,50,20,35.0,unknown,A
92AR300C,AVI NDT INC,,MIAMI,FL,33186,7864789901,admin@avindt.com,https://www.avindt.com/,92AR300C,small,50,20,35.0,unknown,A
4BIR824C,BIG SKY AVIATION INC,,WEST PALM BEACH,FL,33406,5616154033,asa@agnortac.com,http://www.bigskyaviation.org/,4BIR824C,small,50,20,35.0,unknown,A
RA1R822D,RAPHAEL AVIATION SERVICES LLC,,MELBOURNE,FL,32935,3216146972,asa@agnortac.com,,RA1R822D,unknown,50,20,35.0,unknown,A
XB4R642M,AOG TECHNICK LLC,AOG ACCESSORIES,MIAMI,FL,33122,3055911899,aojeda@aogaccessories.com,,XB4R642M,unknown,50,20,35.0,unknown,A
RZ4R510M,TROPIC RADIO INC,,FORT LAUDERDALE,FL,33309,,sales@tropicradio.com,,RZ4R510M,unknown,50,20,35.0,unknown,B
J82R320Y,TIGHT FLIGHT INC,,FORT LAUDERDALE,FL,33309,7862811107,tightflight24@gmail.com,,J82R320Y,unknown,50,20,35.0,unknown,A
WD4R618M,BANYAN AIR SERVICES INC,,FORT LAUDERDALE,FL,33309,9543835171,rtuttle@banyanair.com,,WD4R618M,unknown,50,20,35.0,unknown,A
ACIR962D,"HUGHES NETWORK SYSTEMS, L.L.C.",,MELBOURNE,FL,32904,3217759260,brian@andersonconnectivity.com,,ACIR962D,unknown,50,20,35.0,unknown,A
9PVR416M,PRESIDENTIAL AVIATION INC,,FORT LAUDERDALE,FL,33309,9546498341,aboodhai@presidential-aviation.com,,9PVR416M,unknown,50,20,35.0,unknown,A
5A6R618B,AERO TRIM LLC,,VERO BEACH,FL,32960,7725326612,aerotrim@yahoo.com,,5A6R618B,unknown,50,20,35.0,unknown,A
KG4R309M,CERTIFIED ENGINES UNLIMITED INC,,PEMBROKE PINES,FL,33023,3056858331,dave@ceu.aero,,KG4R309M,unknown,50,20,35.0,unknown,A
1L9R030C,LIVE AEROSPACE INC,,MIAMI,FL,33166,3055277198,janetayo@liveaerospace.com,,1L9R030C,unknown,50,20,35.0,unknown,A
KF4R308M,ACTION PLATING CORP.,,OPA LOCKA,FL,33054,3056856313,,,KF4R308M,unknown,50,20,35.0,unknown,B
54RR449D,SUNSHINE AIR REPAIRS LLC,,PLANTATION,FL,33317,9543170086,shah@sunshineairrepairs.com,,54RR449D,unknown,50,20,35.0,unknown,A
E0TR292I,PACIFIC SCIENTIFIC COMPANY,"MEGGITT CUSTOMER SERVICES
   SERVICES & SUPPORT",MIAMI,FL,33178,3054774711 EXT. 332,juan.f.hernandez@parker.com,,E0TR292I,unknown,50,20,35.0,unknown,A
LA4R329M,J & L AIRCRAFT ENGINE SERVICES INC,J & R ENGINE SERVICE,OPA LOCKA,FL,33054,3059534418,jrengine@att.net,,LA4R329M,unknown,50,20,35.0,unknown,A
Q6GR293Y,TURBINE ENGINE SOLUTIONS INC,POWERHOUSE ENGINES,MIAMI,FL,33186,3052540034,nbazain@turbineenginesolutions.com,,Q6GR293Y,unknown,50,20,35.0,unknown,A
4NOR965C,"NORTHSTAR AVIATION USA, LLC",,MELBOURNE,FL,32940,3216004558,lbecka@usanstar.com,,4NOR965C,unknown,50,20,35.0,unknown,A
JEXR426E,JETSTREAM EQUIPMENT INC,,POMPANO BEACH,FL,33069,,paul@jetstream-equipment.com,,JEXR426E,unknown,50,20,35.0,unknown,B
AYVR607K,ADVANCED AIR OF WEST PALM BEACH INC,,JUPITER,FL,33478,5618458289,m.hatcher@aawpb-bushings.com,,AYVR607K,unknown,50,20,35.0,unknown,A
3R2R675D,AEROSPACE TECHNICAL SERVICES INC,,CORAL SPRINGS,FL,33065,,francis.s.fernandez@gmail.com,,3R2R675D,unknown,50,20,35.0,unknown,B
8XAR912B,AAXICO TECHNICAL SERVICES INC,PROPONENT TECHNICAL SERVICES,TAMARAC,FL,33321,9542472851,fbeyersbergen@proponent.com,,8XAR912B,unknown,50,20,35.0,unknown,A
AFRR953D,FAS AIRFLIGHT AEROSPACE LLC,AIRFLIGHT AEROSPACE,WESTON,FL,33331,9548332211,rbial@airflightmro.com,,AFRR953D,unknown,50,20,35.0,unknown,A
5TUR149C,TURBOCOMBUSTOR TECHNOLOGY INC,,STUART,FL,34997,7722877770,cbledsoe@pursuitaero.com,,5TUR149C,unknown,50,20,35.0,unknown,A
1E9R960Y,BELL TEXTRON INC,,FORT LAUDERDALE,FL,33315,9544915071,jtullier@bellflight.com,,1E9R960Y,unknown,50,20,35.0,unknown,A
PBSR070E,PALM BEACH COUNTY SHERIFF'S OFFICE-AVIATION UNIT,,WEST PALM BEACH,FL,33406,5616883660,callanderm@pbso.org,,PBSR070E,unknown,50,20,35.0,unknown,A
K93R093Y,NAS MRO SERVICES LLC.,,HIALEAH,FL,33016,7865285900,ncamacho@nasmro.com,,K93R093Y,unknown,50,20,35.0,unknown,A
XPZR185L,PAZ AVIATION INC,,HIALEAH,FL,33014,3058254828 EXT. 215,pazquality@pazaviztion.com,,XPZR185L,unknown,50,20,35.0,unknown,A
L3CR595J,ALCA AVIONICS INC,,MIAMI,FL,33186,3056871799,qc@alcaavionics.com____________________,,L3CR595J,unknown,50,20,35.0,unknown,A
S2UR808J,BRADDOCK METALLURGICAL AEROSPACE SERVICES INC,,BOYNTON BEACH,FL,33426,5616222200,pcaprio@braddockmt.com,,S2UR808J,unknown,50,20,35.0,unknown,A
P96R536N,PREFERRED COMPOSITE SERVICES INC,,DORAL,FL,33172,8004206195,rylander@westair.net,,P96R536N,unknown,50,20,35.0,unknown,A
2SVR294B,SWIFT AVIONICS SERVICES INC,AERONATE,PEMBROKE PINES,FL,33029,9543587145,aeronateinc@gmail.com,,2SVR294B,unknown,50,20,35.0,unknown,A
5M2R132D,MD TURBINES REPAIRS INC,,HIALEAH,FL,33018,3053622111,tim@mdturbinerepairs.com,,5M2R132D,unknown,50,20,35.0,unknown,A
SC1R837D,SC ACCESSORIES LLC,,FORT LAUDERDALE,FL,33309,3054901975,94thaeroclaimsgroup@gmail.com,,SC1R837D,unknown,50,20,35.0,unknown,A
CC4R097M,AIRCRAFT ARMATURE INC,,HIALEAH,FL,33014,3056812030,mcean@tsainc.ca,,CC4R097M,unknown,50,20,35.0,unknown,A
4QAR899C,QUALITY AIR CONTRACTORS INC,,MIAMI,FL,33172,3054702239,dsmith@qac.aero,,4QAR899C,unknown,50,20,35.0,unknown,A
Q6SR742J,PLANEXHAUST CORPORATION,,TAMARAC,FL,33309,9547354412,sales@planexhaust.net,,Q6SR742J,unknown,50,20,35.0,unknown,A
P39R561I,PARIS AIR INC,,VERO BEACH,FL,32960,7727702708,paris@parisair.com,,P39R561I,unknown,50,20,35.0,unknown,A
O8CR046Y,CLERO ENTERPRISES INC,,OPA LOCKA,FL,33054,3056814877,jclero@cleroaviation.com,,O8CR046Y,unknown,50,20,35.0,unknown,A
6RLR164C,REAL-TIME LABORATORIES LLC,,BOCA RATON,FL,33487,5613501699,bobc@real-timelabs.com,,6RLR164C,unknown,50,20,35.0,unknown,A
LACR008E,LANES AERO CORP,,HIALEAH,FL,33014,7864438183,martinc@lanesaero.com,,LACR008E,unknown,50,20,35.0,unknown,A
2TJD420B,TOLEDO JET CENTER LLC,,FORT LAUDERDALE,FL,33309,4198669050,ericzientek@toledojet.com,,2TJD420B,unknown,50,20,35.0,unknown,A
X2ZD927X,TURBINE STANDARD LTD,,TAMARAC,FL,33309,4198650355,davecorwin@turbinestandard.com,,X2ZD927X,unknown,50,20,35.0,unknown,A
4XMR492D,IMX AEROSPACE,,FORT LAUDERDALE,FL,33315,9545301278,dcuesta@imxaerospace.com,,4XMR492D,unknown,50,20,35.0,unknown,A
YCVR496X,ORBIT COMMUNICATION SYSTEMS INC,,DEERFIELD BEACH,FL,33442,9547423831,steven.refsnider@orbit-cs-usa.com,,YCVR496X,unknown,50,20,35.0,unknown,A
77AR783B,AERO ACCESSORIES & REPAIR LLC.,,MIRAMAR,FL,33027,9542661300,cdiaz@aeroaccessories.us,,77AR783B,unknown,50,20,35.0,unknown,A
