entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,website_fit_score,erp_fit_score,cross_sell_score,corridor_ebis_likelihood,outreach_tier
7AJ6299N,GUARDIAN FLIGHT LLC,"GMR CERTIFIED REPAIR
   REPAIR STATION",WICHITA,KS,67209,8016194900,ryan.bender@gmr.net,,7AJ6299N,unknown,50,20,35.0,unknown,A
7MCR619B,MILLENNIUM CONCEPTS INC,,WICHITA,KS,67209,3168219300,jalldritt@millennium.aero,,7MCR619B,unknown,50,20,35.0,unknown,A
OQ2R066L,TECH AIRE INSTRUMENTS INC,,WICHITA,KS,67213,3162624020,techqc@tech-aire.com,,OQ2R066L,unknown,50,20,35.0,unknown,A
ZG9R933X,B & C SPECIALTY PRODUCTS INC,,NEWTON,KS,67114,3162838000,nathan@bandc.aero,,ZG9R933X,unknown,50,20,35.0,unknown,A
7AIR653Y,AIR CAPITOL JET LLC,,WICHITA,KS,67211,3162601031,aircapitoljetllc@gmail.com,,7AIR653Y,unknown,50,20,35.0,unknown,A
TO2R194L,NU TEK AIRCRAFT INSTRUMENTS,,AUGUSTA,KS,67010,3167751144,steve@nu.tekinc.com,,TO2R194L,unknown,50,20,35.0,unknown,A
7OKR809N,CLEMENS AVIATION LLC,,WICHITA,KS,67226,3166480132,alex@clemensaviation.com,,7OKR809N,unknown,50,20,35.0,confirmed_ebis,A
2CKR608C,AIR CAPITAL INTERIORS INC,,WICHITA,KS,67226,3166334790,tcrumrine@aircapitalinteriors.com,https://aircapitalinteriors.com,2CKR608C,small,50,20,35.0,unknown,A
WAJR363E,WICHITA AEROSPACE LLC,,WICHITA,KS,67226,3168443400,,,WAJR363E,unknown,50,20,35.0,unknown,B
XMXR954Y,"EXECUTIVE AIRSHARE, LLC","EXECUTIVE AIRSHARE
DBA AIRSHARE",WICHITA,KS,67226,3169464900,cduvail@flyairshare.com,,XMXR954Y,unknown,50,20,35.0,unknown,A
NZ2R049L,ROCKWELL COLLINS INC,,WICHITA,KS,67209,3166774812,carl.zimmerman@collins.com,,NZ2R049L,unknown,50,20,35.0,unknown,A
7GER014N,"VSE AVIATION SERVICES, CO.",,AUGUSTA,KS,67010,3162475456,william.sutton@vseaviation.com,,7GER014N,unknown,50,20,35.0,unknown,A
AWBR328X,ADVANCED WELDING TECHNOLOGIES LLC,,WICHITA,KS,67203,3162623490,mack@awtkansas.com,,AWBR328X,unknown,50,20,35.0,unknown,A
TK2R190L,LEE AIR INC,,WICHITA,KS,67216,3165244622 EXT. 108,josh@leeair.com,,TK2R190L,unknown,50,20,35.0,unknown,A
OI2R058L,AEROSPACE SYSTEMS AND COMPONENTS INC,,WICHITA,KS,67220,3167798476,smitchell@gplains.com,,OI2R058L,unknown,50,20,35.0,unknown,A
Q6OR090B,ROTOR QUALITY LLC,,WICHITA,KS,67207,3164250418,traudien4951@yahoo.com,,Q6OR090B,unknown,50,20,35.0,unknown,A
PT2R095L,UNITED INSTRUMENTS INC,,WICHITA,KS,67226,3166361641 EXT. 1641,neale@unitedinst.com,,PT2R095L,unknown,50,20,35.0,unknown,A
KG2R951K,BEVAN AVIATION INC,,WICHITA,KS,67209,3169464870,russ@bevanaviation.com,,KG2R951K,unknown,50,20,35.0,unknown,A
172R877C,PARAGON NDT LLC,,WICHITA,KS,67213,3169274285,jeremy.pemrick@paragonndt.com,,172R877C,unknown,50,20,35.0,unknown,A
LK2R981K,LEARJET INC,BOMBARDIER AEROSPACE SERVICES,WICHITA,KS,67209,3169467243,atleedodge@acsalaska.net,,LK2R981K,unknown,50,20,35.0,unknown,A
YLIR863L,LEE AEROSPACE INC,,WICHITA,KS,67226,3166369200,gpiland@leeaerospace.com,,YLIR863L,unknown,50,20,35.0,unknown,A
PJ2R085L,PWI INC,PWI,WICHITA,KS,67213,3169422811,ahorvath@pwi-e.com,,PJ2R085L,unknown,50,20,35.0,unknown,A
PX2R099L,"ELECTROMECH TECHNOLOGIES, LLC",,WICHITA,KS,67217,3169410446,jhallberg@electromech.com,,PX2R099L,unknown,50,20,35.0,unknown,A
OH2R057L,SMITH AND SMITH AIRCRAFT INTERNATIONAL LTD,,WICHITA,KS,67217,3169450204,ssacft@sbcglobal.net,,OH2R057L,unknown,50,20,35.0,unknown,A
NU2R044L,AERO MACH LABS INC,,WICHITA,KS,67207,3166827707,mthompson@aeromach.com,,NU2R044L,unknown,50,20,35.0,unknown,A
7ANR504B,AIR CAPITAL NDI LLC,,WICHITA,KS,67209,3163054178,derik@aircapitalndi.com,,7ANR504B,unknown,50,20,35.0,unknown,A
NE2R028L,"AMETEK AIRCRAFT PARTS & ACCESSORIES INC, AMETEK","AMETEK B&S AIRCRAFT
   AIRCRAFT PARTS & ACCESSORIES",WICHITA,KS,67211,3162199155,bj.pascual@ametek.com,,NE2R028L,unknown,50,20,35.0,unknown,A
QS6R396J,THE METAL FINISHING COMPANY INC,,WICHITA,KS,67214,3162637190,jlentz@metalfinishingco.com,,QS6R396J,unknown,50,20,35.0,unknown,A
WRXR027E,WICHITA STATE UNIVERSITY,,WICHITA,KS,67210,3166173177,rhowe@niar.wichita.edu,,WRXR027E,unknown,50,20,35.0,unknown,A
O6HR808Y,HARLOW AEROSTRUCTURES LLC,,WICHITA,KS,67213,3162655268,bking@harlowair.com,,O6HR808Y,unknown,50,20,35.0,unknown,A
TJ2R189L,CENTURY INSTRUMENT CORPORATION,,WICHITA,KS,67210,3166837571,centuryinstruments@gmail.com,,TJ2R189L,unknown,50,20,35.0,unknown,A
LN2R984K,INSTRUMENT AND FLIGHT RESEARCH INC,,WICHITA,KS,67210,3166845177,jamesfgarufo@msn.com,,LN2R984K,unknown,50,20,35.0,unknown,A
GRSR964D,GETI AVIATION INTERIORS LC,,WICHITA,KS,67209,3167299232 EXT. 3103,ksmith@gogeti.com,,GRSR964D,unknown,50,20,35.0,unknown,A
OS2R068L,SIGMA TEK INC,,AUGUSTA,KS,67010,3167756373,david@sigmatek.com,,OS2R068L,unknown,50,20,35.0,unknown,A
7AUR454B,AIRCRAFT COVERS UNLIMITED INC,,WICHITA,KS,67216,3167771394,steve@aircraftcoversunlimited.com,,7AUR454B,unknown,50,20,35.0,unknown,A
A2QR419J,AIRCRAFT QUALITY INSTRUMENTS INC,,WICHITA,KS,67217,3169429933,pnguyen34@cox.net,,A2QR419J,unknown,50,20,35.0,unknown,A
NV2R045L,AEROSPACE TURBINE ROTABLES INC,"KELLY AEROSPACE TURBINE
   TURBINE ROTABLES, INC.
DBA AERO ELECTRIC, INC
DBA AVCELLS, INC.",WICHITA,KS,67216,3169436100,rstark@turbinerotables.com,,NV2R045L,unknown,50,20,35.0,unknown,A
LEJR910X,LEARJET INC REPAIR STATION,LEARJET INC.,WICHITA,KS,67209,3169462000,john.morris@aero.bombardier.com,,LEJR910X,unknown,50,20,35.0,unknown,A
FSOR210X,FACC SOLUTIONS INC,,WICHITA,KS,67219,3164254040,a.balestracci@facc.com,,FSOR210X,unknown,50,20,35.0,unknown,A
TCRR413E,"GLOBAL AVIATION TECH, LLC",,WICHITA,KS,67209,3164250999,cbradley@gatict.com,,TCRR413E,unknown,50,20,35.0,unknown,A
