entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated
YXCR399X,"TUCSON AEROSERVICE CENTER, INC",,MARANA,AZ,85653,5206822999,ron.anders@tucsonaero.com,,YXCR399X,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
G0XR924Y,GALAXY INTERNATIONAL INC,,GOODYEAR,AZ,85338,6026269518,clearfortakeoff@aol.com,,G0XR924Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
7AKR665D,"5280 AVIATION SALES, LLC",STELLA AIR,GOODYEAR,AZ,85338,7207397246,ja@galaxyinternational.com,,7AKR665D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
835R048D,CAPPSCO INTERNATIONAL CORPORATION A MIDWEST COMPAN,,TUCSON,AZ,85745,5209030822,qc@cappsco.com,,835R048D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
XHCR780K,HELIPONENTS INC,,MESA,AZ,85215,4809818300,chad@heliponentsinc.com,,XHCR780K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
1D2R884C,CORE PARTS  LLC,,MESA,AZ,85205,4802929399,cghassemi@coreparts.com,,1D2R884C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
XQOR098Y,"CRAVENS, LARRY LEE",BALLOON RX,COTTONWOOD,AZ,86326,9282020323,balloonrx@gmail.com,,XQOR098Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
JETR229E,JETMX INC,,GOODYEAR,AZ,85338,8668249394,ashley@myjetmx.com,,JETR229E,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
3HBR485C,HAVASU BALLOON HOSPITAL,,LAKE HAVASU CITY,AZ,86403,9283029013,morganbraden1@hotmail.com,,3HBR485C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
LG3R656L,ARIZONA AIRCRAFT INTERIOR DESIGN INC,,MESA,AZ,85215,4808321330,mike@azaircraftinteriors.com,,LG3R656L,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
Z8VR017B,AVSETS ENGINE SERVICES INC,,TEMPE,AZ,85283,4803613505,joseb@avsetsengines.com,,Z8VR017B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
4DSD637B,AMENTUM SERVICES INC,,YUMA,AZ,85364,3252241342,noe.castro@associates.cbp.dhs.gov,,4DSD637B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
D62R975Y,D AND D BALLOONING,,PRESCOTT,AZ,86301,9513147896,dominicchemello68@yahoo.com,,D62R975Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
9IRR566C,"IAR TECHNICAL SERVICES, LLC",,MESA,AZ,85212,4808409860,bgrantham@internationalairresponse.com,,9IRR566C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
7QAR515C,JET YARD SOLUTIONS LLC,,MARANA,AZ,85653,9287577744 EXT. 1003,cburjakowsky@jetyard.com,,7QAR515C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
D5VR189N,"TAIGLOBAL GROUP, LLC",,TUCSON,AZ,85735,5202947294,dangle.pe@taiglobalgroup.com,,D5VR189N,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
8SUR207E,E&E AVIATION,CHANDLER AVIONICS,CHANDLER,AZ,85286,4803099683,eric.d@chandleravionics.com,,8SUR207E,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
DEIR439E,"SOFTWARE DEVELOPMENT ALTERNATIVES, INC",,MAYER,AZ,86333,,dave.dodson@s-d-a-inc.com,,DEIR439E,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
HI3D554L,CANYON STATE INSPECTION INC,,CHANDLER,AZ,85226,4807837100,csiphx@hotmail.com,,HI3D554L,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
HI3R554L,CANYON STATE INSPECTION INC,,TUCSON,AZ,85713,5207453672,tucson@csindi.com,,HI3R554L,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
7VDR117C,ADVANCED MATERIALS TECHNOLOGIES LLC,,CHANDLER,AZ,85226,6024431403,scottg@amt-america.com,,7VDR117C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
M82R545Y,"MD HELICOPTERS, LLC",,MESA,AZ,85215,2063000515,christen.grazulis@mdhelicopters.com,,M82R545Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-az,2026-03-09
