entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated
VDDR067B,VINTAGE RADIALS INC,,TEHACHAPI,CA,93561,,,,VDDR067B,unknown,unknown,general-mro,,unknown,0.67,C,no,no,no,40,no website (+40),10,general-mro (+10),unknown,25.0,faa-facility-ca,2026-03-09
SFER859D,SHAFI ENTERPRISES LLC,ANODE AVIONICS,OXNARD,CA,93030,6147389312,aj@anodeavionics.com,,SFER859D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ca,2026-03-09
AOOR364E,AVIATION OPTICS INC,,GRANADA HILLS,CA,91344,,zabkarian@hotmail.com,,AOOR364E,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ca,2026-03-09
OH9R298H,"ORBIC HELICOPTERS SALES AND SERVICE AT CAMARILLO,",,CAMARILLO,CA,93010,8053891070,orbicmx@gmail.com,,OH9R298H,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ca,2026-03-09
ZF3R022M,METAL IMPROVEMENT COMPANY,,LYNWOOD,CA,90262,3235631533,omar.aleman@cwst.com,,ZF3R022M,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ca,2026-03-09
ABFR012C,JET AVIATION FLIGHT SERVICES INC,,BURBANK,CA,91505,7472911500,syed.ali@jetaviation.com,,ABFR012C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ca,2026-03-09
PQ8R252Y,PARKER HANNIFIN CORPORATION STRATOFLEX PRODUCTS DI,,CAMARILLO,CA,93012,8054848533,dlyden@parker.com,,PQ8R252Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ca,2026-03-09
TF3R865L,AERO-CRAFT HYDRAULICS INC,,CORONA,CA,92878,,ramitoelau@aero-craft.com,,TF3R865L,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ca,2026-03-09
TEUR916K,THERMAL STRUCTURES INC,,CORONA,CA,92878,9517369911,dandraso@thermalstructures.com,,TEUR916K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ca,2026-03-09
BA3R390L,"CAL PACIFIC AIRMOTIVE, INC",,SALINAS,CA,93905,8314226860,p51parts@calpacificairmotive.com,,BA3R390L,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ca,2026-03-09
AA5R890D,ALLIANCE AEROSPACE GROUP LLC,AIRCRAFT TECHNICAL SERVICES,VALENCIA,CA,91355,6616443800,robert@alliance.aero,,AA5R890D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ca,2026-03-09
U8SR971J,"VSE AVIATION SERVICES, CO.",,MONTEBELLO,CA,90640,3237276000,alec.azarian@desser.com,,U8SR971J,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ca,2026-03-09
V4XR326Y,AVIONICS PLUS INC,,GLENDALE,CA,91207,8183786666,avionics.plus@yahoo.com,,V4XR326Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ca,2026-03-09
COZR942C,KAISERAIR INC,,SANTA ROSA,CA,95403,7075964777,gbarrett@kaiserair.com,,COZR942C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ca,2026-03-09
