entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated,is_enterprise,multi_location_group,domain_normalized
27OD157C,ADVANCED AEROTECHNOLOGIES GROUP LLC,,GREELEY,CO,80631,9705900906,info@advancedaerotech.com,,27OD157C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-co,2026-03-09,no,,
3AXR823B,AVTRONICS INC,,PAGOSA SPRINGS,CO,81147,9707313250,jtskyknight@yahoo.com,,3AXR823B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-co,2026-03-09,no,,
F42R979Y,FRONT RANGE TRANSPONDER SERVICE,MOUNTAIN AIR AVIATION,BROOMFIELD,CO,80021,3034691380,gb3maa@gmail.com,,F42R979Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-co,2026-03-09,no,,
T3RR881N,MEEKER AIRPORT INC,TRISTAR AVIATION,MEEKER,CO,81641,9702551501,lancecoulter@hotmail.com,,T3RR881N,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-co,2026-03-09,no,,
PTIR407E,POSITECH INTERNATIONAL LLC,,DELTA,CO,81416,9704177531,,,PTIR407E,unknown,unknown,general-mro,,unknown,0.83,B,yes,no,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-co,2026-03-09,no,,
1B6R708C,WESTERN SKYWAYS TURBINE INC,"ROCKY MOUNTAIN TURBINE
   TURBINE SERVICES",MONTROSE,CO,81401,9702490232,qa@westernskyways.com,,1B6R708C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-co,2026-03-09,no,,
WS9R575J,WESTERN SKYWAYS INC,WESTERN SKYWAYS,MONTROSE,CO,81401,9702490232,qa@westernskyways.com,,WS9R575J,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-co,2026-03-09,no,,
5SQY701C,SERVICIOS AERONAUTICOS QUINTANA S.A. SAQ MRO,,SALTILLO,CO,25900,,j.flores@saq.mx,,5SQY701C,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-co,2026-03-09,no,,
3DOR530B,CAE USA INC,,PUEBLO,CO,81001,8137260397,lucas.foster@caemilusa.com,,3DOR530B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-co,2026-03-09,no,,
CUTR877D,CUTTER AVIATION DENVER CO-APA,,ENGLEWOOD,CO,80112,3037999999,jgolabi@cutteraviation.com,,CUTR877D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-co,2026-03-09,no,,
