entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated,is_enterprise,multi_location_group,domain_normalized
AA1R001K,SIKORSKY AIRCRAFT CORPORATION OVERHAUL AND REPAIR,,SHELTON,CT,06484,,daniel.e.bartl@lmco.com,,AA1R001K,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ct,2026-03-09,no,,
2HJR950C,"HORIZON AIRCRAFT SERVICES, LLC",,NORTH WINDHAM,CT,06256,,balexander@aquilinedrones.com,,2HJR950C,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ct,2026-03-09,no,,
TB5R217N,HAR-CONN CHROME COMPANY,,WEST HARTFORD,CT,06110,8602366801 EXT. 359,danbackus@har-conn.com,,TB5R217N,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ct,2026-03-09,no,,
LU1R309K,MET-L-TEST LABORATORY,,STRATFORD,CT,06615,2033772429,metltest@aol.com,,LU1R309K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ct,2026-03-09,no,,
TQLR038K,"TYGOR LABORATORIES, INCORPORATED",,MILFORD,CT,06460,2038779390,gregg@tygorlabs.com,,TQLR038K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ct,2026-03-09,no,,
TA5R216N,FLIGHT SUPPORT INCORPORATED,,NORTH HAVEN,CT,06473,2035621415 EXT. 134,john@flightsupport.net,,TA5R216N,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ct,2026-03-09,no,,
L0KR782Y,"AIRLINE ACCESSORY SERVICE COMPANY, LLC",,HAMDEN,CT,06517,2037731808,lance@airlineaccessory.com,,L0KR782Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ct,2026-03-09,no,,
UBVR819K,BEAVER BROOK BALLOON SERVICES,,CHESHIRE,CT,6410,2037153128,,,UBVR819K,unknown,unknown,general-mro,,unknown,0.83,B,yes,no,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ct,2026-03-09,no,,
6TUR715B,TURBINE TECHNOLOGIES INC,,FARMINGTON,CT,06032,8606781642,burket@turbinect.com,,6TUR715B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ct,2026-03-09,no,,
KK1R273K,"METALLIZING SERVICE COMPANY HOLDINGS, LLC",,ELMWOOD,CT,6110,8609531144,kmcmahon@mscplasma.com,,KK1R273K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ct,2026-03-09,no,,
