entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated
CRAR287E,AIRCRAFT COMPONENT REPAIR SERVICES CORP,,PEMBROKE PINES,FL,33028,9542576151,felipegarcia340@aol.com,,CRAR287E,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-fl,2026-03-09
19WR307D,POWER AVIATION SOLUTIONS LLC,,MIAMI,FL,33182,7862471063,poweraviationsolutions@gmail.com,,19WR307D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-fl,2026-03-09
L35R159Y,CAPE AEROSPACE REPAIR SERVICES INC,,CAPE CORAL,FL,33909,2397729372,capeaero@aol.com,,L35R159Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-fl,2026-03-09
92AR300C,AVI NDT INC,,MIAMI,FL,33186,7864789901,admin@avindt.com,,92AR300C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-fl,2026-03-09
4BIR824C,BIG SKY AVIATION INC,,WEST PALM BEACH,FL,33406,5616154033,asa@agnortac.com,,4BIR824C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-fl,2026-03-09
RA1R822D,RAPHAEL AVIATION SERVICES LLC,,MELBOURNE,FL,32935,3216146972,asa@agnortac.com,,RA1R822D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-fl,2026-03-09
F04R885X,FLORIDA FLIGHT INC,,ORLANDO,FL,32827,4074386615,ajaz.a@floridaflightinc.com,,F04R885X,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-fl,2026-03-09
XB4R642M,AOG TECHNICK LLC,AOG ACCESSORIES,MIAMI,FL,33122,3055911899,aojeda@aogaccessories.com,,XB4R642M,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-fl,2026-03-09
RZ4R510M,TROPIC RADIO INC,,FORT LAUDERDALE,FL,33309,,sales@tropicradio.com,,RZ4R510M,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-fl,2026-03-09
J82R320Y,TIGHT FLIGHT INC,,FORT LAUDERDALE,FL,33309,7862811107,tightflight24@gmail.com,,J82R320Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-fl,2026-03-09
KO4R317M,ARIES AVIATION CORP.,,FORT. LAUDERDALE,FL,33309,3055931600 EXT. 305,aalvarez@ariesaviationcorp.com,,KO4R317M,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-fl,2026-03-09
WD4R618M,BANYAN AIR SERVICES INC,,FORT LAUDERDALE,FL,33309,9543835171,rtuttle@banyanair.com,,WD4R618M,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-fl,2026-03-09
ACIR962D,"HUGHES NETWORK SYSTEMS, L.L.C.",,MELBOURNE,FL,32904,3217759260,brian@andersonconnectivity.com,,ACIR962D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-fl,2026-03-09
41CR172D,NEW IMAGE AERO INTERIORS CORP,NIA INTERIORS,EDGEWATER,FL,32141,3864027273,niainteriorscorp@gmail.com,,41CR172D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-fl,2026-03-09
9PVR416M,PRESIDENTIAL AVIATION INC,,FORT LAUDERDALE,FL,33309,9546498341,aboodhai@presidential-aviation.com,,9PVR416M,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-fl,2026-03-09
