entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated
F5FR966J,FELLFAB CORPORATION,,FOREST PARK,GA,30297,4043638905 EXT. 440,sophia.alexander@fellfab.com,,F5FR966J,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
2EOR249C,ENVIROTAINER INC,,ATLANTA,GA,30354,4043611295,robert.armor@envirotainer.com,,2EOR249C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
MAGR152E,MACH 1 AVIATION GROUP,,PEMBROKE,GA,31321,9124294135,mach1avgrp@gmail.com,,MAGR152E,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
Z4AR547Y,AIR SERVICES INC,,CARROLLTON,GA,30117,7708369002,sbereznak.asi@gmail.com,,Z4AR547Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
CASR907D,"COLUMBUS AERO SERVICE, LLC",,COLUMBUS,GA,31909,7065735699,robert@columbusaeroservice.com,,CASR907D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
NAER424X,SEALCO INTERNATIONAL INC,"NORTH AMERICAN AIRFRAME
   AIRFRAME SERVICES",MACON,GA,31216,4787146377,rkearneysealcoint@hotmail.com,,NAER424X,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
G89R878X,PEENING TECHNOLOGIES OF GEORGIA INC,,AUSTELL,GA,30168,7709419573,seannickerson@peentech.com,,G89R878X,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
GX4R222M,GEORGIA AVIONICS INC,,WINDER,GA,30680,7708670002,lillian@abaviation.net,,GX4R222M,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
YGWR282L,GM DIECRON LLC,,GRIFFIN,GA,30224,7702286200,,,YGWR282L,unknown,unknown,general-mro,,unknown,0.83,B,yes,no,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
PAOR392K,PRECISION AVIONICS SPECIALISTS INC,,GRIFFIN,GA,30224,7709468555,scotty@precision-avionics.com,,PAOR392K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
G02R813X,GULFSTREAM AEROSPACE CORPORATION,"GULFSTREAM MANUFACTURERS
   MAINTENANCE FACILITY",SAVANNAH,GA,31047,,frank.defelice@gulfstream.com,,G02R813X,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
DP1R823D,DUNLOP NDT LLC,,BUFORD,GA,30518,6787145750,mgardner@dunlopndt.com,,DP1R823D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
7VOR171D,JET AEROSPACE COATINGS AND LANDING SYSTEMS LLC.,,RINCON,GA,31326,9127541700,christopher@vortexaeronautical.com,,7VOR171D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
TWDR218E,TAILWIND AVIATION SOLUTIONS,,PERRY,GA,31069,4782242262,tailwind.kpxe@gmail.com,,TWDR218E,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
P44R444I,PRESTIGE HELICOPTERS INC,,ATLANTA,GA,30336,6786125100,rellison@prestigehelicopters.com,,P44R444I,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
E1KR915Y,ESTEX MANUFACTURING COMPANY INC,,FAIRBURN,GA,30213,7709643322,jfordham@estexmfg.com,,E1KR915Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
K24R431Y,AIR FRANTZ AVIONICS,,FITZGERALD,GA,31750,2294252977,paulfrantz@windstream.net,,K24R431Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ga,2026-03-09
