entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated,is_enterprise,multi_location_group,domain_normalized
3BNR646B,BOSS AVIATION LLC,,WHEELING,IL,60090,,,,3BNR646B,unknown,unknown,general-mro,,unknown,0.67,C,no,no,no,40,no website (+40),10,general-mro (+10),unknown,25.0,faa-facility-il,2026-03-09,no,,
B3YR387N,BERKLEY INTERNATIONAL INC,,WHEELING,IL,60090,8472159001,lharitigan@berkleyintl.com,,B3YR387N,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
BPPR794K,KANEY AEROSPACE INC,BVR TECHNOLOGIES CO.,ROCKFORD,IL,61109,8159864359,matthew.barbee@kaney.com,,BPPR794K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
3SJR972Y,SUPERIOR JOINING TECHNOLOGIES INC,,MACHESNEY PARK,IL,61115,8152827581,teresa@superiorjt.com,,3SJR972Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
KB2R946K,"BEJNA, ROBERT LADDIE",RLB ACCESSORY SERVICE,ADDISON,IL,60101,6305439213,,,KB2R946K,unknown,unknown,general-mro,,unknown,0.83,B,yes,no,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
DDZR151D,HELICOPTERS INC,,CAHOKIA HEIGHTS,IL,62206,6183372903,sfletcher@heliinc.com,,DDZR151D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
6CER695B,"CEF INDUSTRIES, LLC",,ADDISON,IL,60101,6306283093,c.bartlett@cefindustries.com,,6CER695B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
5C56781B,CSAFE LLC,CSAFE,DES PLAINES,IL,60018,5137567107,kmehta@csafeglobal.com,,5C56781B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
I63R814X,CHEMRING ENERGETIC DEVICES INC,,DOWNERS GROVE,IL,60515,6309690620,kblocker@ced.us.com,,I63R814X,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
JJJR142E,"AIR SPARES UNLIMITED, LLC",,CHICAGO,IL,60632,,royresto@aol.com,,JJJR142E,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
4FDR481O,FREEDOM AIR LLC,FREEDOM AIRCRAFT MAINTENANCE,NORTHBROOK,IL,60062,,kevin.bogner@freedomairllc.com,,4FDR481O,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
SI2R162L,A & S HELICOPTERS INC,,CAHOKIA HEIGHTS,IL,62206,6183372600,,,SI2R162L,unknown,unknown,general-mro,,unknown,0.83,B,yes,no,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
CGFR811C,CARVER AERO LLC,REVV AVIATION,SUGAR GROVE,IL,60554,6304667000,shawn.hull@revvaviation.com,,CGFR811C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
4ADR733B,ADI REPAIRS INC,ADI REPAIRS,EFFINGHAM,IL,62401,,steve@adirepairs.com,,4ADR733B,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
PIWR475K,DARRELL D. DAY,PI-BALL BALLOONS,ROCK ISLAND,IL,61201,3097870107,ddaythunder@mchsi.com,,PIWR475K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
451R352D,AEROMOTIVE SERVICES INC,,DEKALB,IL,60115,2245359220,cdumele@aeromotive.us,,451R352D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
2IFR277D,PANASONIC AVIONICS CORPORATION,,ELK GROVE VILLAGE,IL,60007,9725673587,john.brosnaham@panasonic.aero,,2IFR277D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
OIOR625L,CC INDUSTRIES INC,,WHEELING,IL,60090,8474594665,cfahnstrom@crown-chicago.com,,OIOR625L,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
OGYR627Y,OTTO,,CARPENTERSVILLE,IL,60110,8476548314,tom.fessler@ottoexcellence.com,,OGYR627Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
FQ5R866M,AVIONICS PLACE,,ROCKFORD,IL,61109,8152295360,jfuller@chronos-aero.com,,FQ5R866M,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
JBCR030E,MIDWEST AVIONICS LLC,,DECATUR,IL,62521,,will@gaitrosaviation.com,,JBCR030E,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
9BYR810B,BYERLY AVIATION INC,BYERLY AVIATION,PEORIA,IL,61607,3096976300,rgrenhoff@byerlyaviation.com,,9BYR810B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
MFKR583K,GENERAL AIRCRAFT MAINTENANCE,,HUNTLEY,IL,60142,8473851245,grimon@sbcglobal.ne,,MFKR583K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
JW2R941K,HAMILTON SUNDSTRAND AEROSPACE,"HAMILTON SUNDSTRAND ROCKFORD
   ROCKFORD REPAIR STATION",ROCKFORD,IL,61108,,,,JW2R941K,unknown,unknown,general-mro,,unknown,0.67,C,no,no,no,40,no website (+40),10,general-mro (+10),unknown,25.0,faa-facility-il,2026-03-09,no,,
VR1R265E,VIDEO REFURBISHING SERVICES,,ELGIN,IL,60123,8475613037,rhickey@videorefurbishing.com,,VR1R265E,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-il,2026-03-09,no,,
