entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated
7AJ6299N,GUARDIAN FLIGHT LLC,"GMR CERTIFIED REPAIR
   REPAIR STATION",WICHITA,KS,67209,8016194900,ryan.bender@gmr.net,,7AJ6299N,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ks,2026-03-09
B922922N,AVCON INDUSTRIES INC,,NEW CENTURY,KS,66031,3162842842,,,B922922N,unknown,unknown,general-mro,,unknown,0.83,B,yes,no,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ks,2026-03-09
7MCR619B,MILLENNIUM CONCEPTS INC,,WICHITA,KS,67209,3168219300,jalldritt@millennium.aero,,7MCR619B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ks,2026-03-09
OQ2R066L,TECH AIRE INSTRUMENTS INC,,WICHITA,KS,67213,3162624020,techqc@tech-aire.com,,OQ2R066L,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ks,2026-03-09
ZG9R933X,B & C SPECIALTY PRODUCTS INC,,NEWTON,KS,67114,3162838000,nathan@bandc.aero,,ZG9R933X,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ks,2026-03-09
7AIR653Y,AIR CAPITOL JET LLC,,WICHITA,KS,67211,3162601031,aircapitoljetllc@gmail.com,,7AIR653Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ks,2026-03-09
TO2R194L,NU TEK AIRCRAFT INSTRUMENTS,,AUGUSTA,KS,67010,3167751144,steve@nu.tekinc.com,,TO2R194L,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ks,2026-03-09
7OKR809N,CLEMENS AVIATION LLC,,WICHITA,KS,67226,3166480132,alex@clemensaviation.com,,7OKR809N,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ks,2026-03-09
2CKR608C,AIR CAPITAL INTERIORS INC,,WICHITA,KS,67226,3166334790,tcrumrine@aircapitalinteriors.com,,2CKR608C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ks,2026-03-09
D7ZR200Y,DEASON AIRCRAFT SERVICES INC,,PAOLA,KS,66071,9137554107,,,D7ZR200Y,unknown,unknown,general-mro,,unknown,0.83,B,yes,no,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ks,2026-03-09
