entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated,is_enterprise,multi_location_group,domain_normalized
YZ4R692M,KIDDE AEROSPACE AND DEFENSE,"KIDDE
DBA KIDDE TECHNOLOGIES, INC.
DBA KIDDE AEROSPACE
DBA WALTER KIDDE",WILSON,NC,27896,,keith.daniel@collins.com,,YZ4R692M,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
3PSR595B,"PIEDMONT PROPULSION SYSTEMS, LLC",,WINSTON-SALEM,NC,27105,3367766260,mmcphaul@piedmontpropulsion.com,,3PSR595B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
YL4R678M,BALLOON PORT OF GREENSBORO,,GREENSBORO,NC,27406,,kendraughn@aol.com,,YL4R678M,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
M52R952N,"HAECO AIRFRAME SERVICES, LLC.",HAECO COMPOSITE SERVICES,GREENSBORO,NC,27410,3366684410,bob.mabe@haeco.aero,,M52R952N,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
5R9R534D,TRIANGLE AVIONICS LLC,,LOUISBURG,NC,27549,9193096974,,,5R9R534D,unknown,unknown,general-mro,,unknown,0.83,B,yes,no,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
PAIR208A,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE TECHNICAIR,WINSTON-SALEM,NC,27105,3367766208,james.sweet@signatureflight.com,,PAIR208A,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
EWGR752D,SIGNATURE FLIGHT SUPPORT LLC,SIGNATURE TECHNICAIR,GREENSBORO,NC,27409,3366680411,geoffrey.brashear@technicair.com,,EWGR752D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
SA7R522E,"STANDARDAERO ATLANTIC USA, INC",,NEW LONDON,NC,28127,8174167926,glenn.hawley@standardaero.com,,SA7R522E,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
38SR209C,"SIERRA NEVADA COMPANY, LLC.","SIERRA NEVADA COMPANY
   COMPANY - ISR -
   L COMMUNICATI",FAYETTEVILLE,NC,28306,9103073331,scott.petersen@sncorp.com,,38SR209C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
YB1R632K,AIRCRAFT BELTS INC,,CREEDMOOR,NC,27522,9199564279,rsimmons@firstmarkaerospace.com,,YB1R632K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
7JMR556C,SEATSOURCE LLC,,GREENSBORO,NC,27407,3362984015,mike@seatsource.net,,7JMR556C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
A8XR424J,AERO AVIONICS INC,AEROSERVICES - RDU,SANFORD,NC,27330,9197181715,aeroservices@mindspring.com,,A8XR424J,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
7TUR922C,"TELAIR US, LLC",,GOLDSBORO,NC,27534,9197052556,svaltin@uscargosystems.com,,7TUR922C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
MTNR123B,MOUNTAIN AIR CARGO INC,,KINSTON,NC,28504,2525260103,jcopeland@mtaircargo.com,,MTNR123B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
PS4R451M,H AND H PROPELLER SERVICES INC,,BURLINGTON,NC,27215,3362271467,,,PS4R451M,unknown,unknown,general-mro,,unknown,0.83,B,yes,no,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
PP4R448M,TRIAD AVIATION INC,,BURLINGTON,NC,27215,3362271467,richard@hhtriad.com,,PP4R448M,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
3A9R293B,AEROTEAMS MANAGED AVIATION SOLUTIONS,,GREENSBORO,NC,27410,3368807516,vernonw@aeroteams.com,,3A9R293B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
5Y0R575D,"SKY AIRCRAFT MAINTENANCE, LLC",,LEXINGTON,NC,27292,3363705500,keith@skyaircraftmaintenance.com,,5Y0R575D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
UFHR760L,"TRIUMPH ACTUATION SYSTEMS, LLC",,CLEMMONS,NC,27012,3367141305,,,UFHR760L,unknown,unknown,general-mro,,unknown,0.83,B,yes,no,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
ZD4R696M,STANDARDAERO AVIATION HOLDINGS INC,,CONCORD,NC,28025,7047207480,greg.bove@standardaero.com,,ZD4R696M,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
WI4R623M,VELOCITY AEROSPACE INC,,INDIAN TRAIL,NC,28079,7048214266,nhaugen@velocityaerospace.com,,WI4R623M,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
3CNR350B,CENTURION AVIATION SERVICES,,FAYETTEVILLE,NC,28306,9103079903,mike budreau@centav.com,,3CNR350B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
PQ4R449M,TRIANGLE AVIATION SOLUTIONS CORPORATION,,SMITHFIELD,NC,27577,9199340978,avmgr <avmgr@triangleaviation.com>,,PQ4R449M,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
G84R924X,GOODRICH CORPORATION,GOODRICH CORPORATION,MONROE,NC,28110,7042822628,michele.thompson@collins.com,,G84R924X,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
2UVR395D,UNILODE AVIATION SOLUTIONS US INC,UNILODE AVIATION SOLUTIONS,CHARLOTTE,NC,28208,7045345424,april.northern@unilode.com,,2UVR395D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
1D3R892C,"LATITUDE AERO, LLC",,GREENSBORO,NC,27409,8888822929,barry@latitude-aero.com,,1D3R892C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
3H9R123C,"HONDA AERO, LLC",,BURLINGTON,NC,27215,3362666726,candace_bender@na.honda.com,,3H9R123C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
6VXR839B,VX AEROSPACE CORPORATION,,MORGANTON,NC,28655,8284335353,v.brannigna@vxaerospace.com,,6VXR839B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
3KUR168N,"KOURY AVIATION MAINTENANCE, LLC",,GREENSBORO,NC,27409,3362475219,brad@kouryaviation.com,,3KUR168N,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
QKPR504X,"PIEDMONT AVIATION COMPONENT SERVICES, LLC","TAT PIEDMONT
DBA TAT PIEDMONT POWER
   POWER AND ACTUATION",GREENSBORO,NC,27409,,brian.vivolo@piedmontaviation.com,,QKPR504X,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
FG3R500L,DYNAMIC AIR ENGINEERING INC,,CLAREMONT,NC,28610,7145401000,brian.waldron@daesyst.com,,FG3R500L,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nc,2026-03-09,no,,
