entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated,is_enterprise,multi_location_group,domain_normalized
9VNR950B,APEX AVIATION INC,,HENDERSON,NV,89052,,,,9VNR950B,unknown,unknown,general-mro,,unknown,0.67,C,no,no,no,40,no website (+40),10,general-mro (+10),unknown,25.0,faa-facility-nv,2026-03-09,no,,
NHMR682X,"BLUE RIDGE ENTERPRISES, LLC",HIGHLAND BALLOON REPAIR,DAYTON,NV,89403,7757714175,katiegriggslta@gmail.com,,NHMR682X,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
74CR304D,ACCURATE AERO LLC,,MINDEN,NV,89423,4088354034,accurateaero@gmail.com,,74CR304D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
441R632D,ACES AIRCRAFT MAINTENANCE INC,,MINDEN,NV,89423,,dhoban@acesaircraft.net,,441R632D,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
MQ3R693L,REBUILT AIRCRAFT INC,,MINDEN,NV,89423,7757825282,rbuiltacnv@gmail.com,,MQ3R693L,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
J6DD066Y,JOHNSON AVIONICS NV,,FERNLEY,NV,89408,9072432929,jajohnrod@yahoo.com,,J6DD066Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
VYQ3491Y,JET EAST INC,WEST STAR AVIATION,LAS VEGAS,NV,89119,2165072549,jonathan.kropf@wsa.aero,,VYQ3491Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
9WQR791C,EL AERO SERVICES LLC,,ELKO,NV,89801,7757387123,jairus@elaero.com,,9WQR791C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
L9OR473Y,LONE MOUNTAIN AVIATION INC,"ALL IN AVIATION
   AVIATION MAINTENANCE",LAS VEGAS,NV,89130,7023092200,jamila@allinaviation.com,,L9OR473Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
L9OD473Y,LONE MOUNTAIN AVIATION INC,"ALL IN AVIATION
   AVIATION MAINTENANCE",HENDERSON,NV,89052,7023092200,kenny.scherado@lonemountainaviation.co,,L9OD473Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
NA3R703L,AVIATION CLASSICS LTD,,RENO,NV,89506,7759725540,lynn@aviationclassics.com,,NA3R703L,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
X4GR174Y,"ROSS, GILBERT A",ROSS AVIATION,LAS VEGAS,NV,89129,8185221785,rossaviation@gmail.com,,X4GR174Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
K8UR309Y,PACIFIC AEROSPACE LLC,,SPARKS,NV,89431,7753560700,esantos@pacific.aero,,K8UR309Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
HSLR594E,"HIGH SIERRA PILOTS, LLC",STEW'S AERO SERVICE,CARSON CITY,NV,89706,7757219714,,,HSLR594E,unknown,unknown,general-mro,,unknown,0.83,B,yes,no,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
9HWR278D,TP AEROSPACE TECHNICS NV LLC,TPAEROSPACE TECHNICS LLC,LAS VEGAS,NV,89118,7046506185,raydi@tpaerospace.com,,9HWR278D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
LVBR789X,BLACK MOUNTAIN AVIATION,,BOULDER CITY,NV,89005,7022941044,tom@bmaviation.net,,LVBR789X,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
7HER154C,702 HELICOPTER LLC,,NORTH LAS VEGAS,NV,89032,7023389393,info@702helicopters.com,,7HER154C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
XK8R253Y,CROSS-CHECK AVIATION,,RENO,NV,89521,7758525552,,,XK8R253Y,unknown,unknown,general-mro,,unknown,0.83,B,yes,no,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
9DXR997C,SAFRAN LANDING SYSTEMS WHEEL & BRAKE SERVICES LLC,"SAFRAN LANDING SYSTEMS
   SYSTEMS WHEEL & BRAKE
   S, LLC",LAS VEGAS,NV,89118,6106143137,chris.sutton@wbs.safrangroup.com,,9DXR997C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
N5ER485X,NEVADA AIRCRAFT ENGINE LLC,,HENDERSON,NV,89011,7025655959,dennismalone@cox.net,,N5ER485X,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
YHSR284L,HORTON AVIATION SERVICES LLC,,LAS VEGAS,NV,89032,7027981958,jdh1007@aol.com,,YHSR284L,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
NXVR554L,CHROMALLOY NEVADA,,CARSON CITY,NV,89706,7756878833,jdouglass@chromalloy.com,,NXVR554L,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
9JYR206C,JET LANDING SYSTEMS LLC,,LAS VEGAS,NV,89115,7024107341,jvalencia@jetls.com,,9JYR206C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
1DFR346B,DASSAULT FALCON JET CORP.,,RENO,NV,89502,7753531160,kevin.yahn@dassaultfalconjet.com,,1DFR346B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
5VVR720D,SANDY VALLEY AVIONICS LLC,,SANDY VALLEY,NV,89019,,kuhlenj@yahoo.com,,5VVR720D,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
KBMR477F,HELICOPTER SERVICES OF NEVADA L L C,SALUS AVIATION MRO,BOULDER CITY,NV,89005,7252744415,riki.neff@heli-nv.com,,KBMR477F,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
ZZBR116L,BRUCE AEROSPACE INC,,CARSON CITY,NV,89701,7752460101,rynel@bruce.aero,,ZZBR116L,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
5APD577Y,ATLAS AIRCRAFT CENTER INC,,BOULDER CITY,NV,89005,7255432210,tloop@atlasaircraftcenter.com,,5APD577Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-nv,2026-03-09,no,,
