entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated,is_enterprise,multi_location_group,domain_normalized
Z1TR706Y,AVIATION REPAIR TECHNICAL INC,,SETAUKET,NY,11733,6317514048,jaimea@artechintl.com,,Z1TR706Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ny,2026-03-09,no,,
N6YR422Y,DYNA-EMPIRE INC,,GARDEN CITY,NY,11530-4812,5162222700 EXT. 57,richard.bradley@dyna-empire.com,,N6YR422Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ny,2026-03-09,no,,
6PGR579B,"PG AEROTECH, LLC",PG AEROTECH,HAUPPAUGE,NY,11788,6312080727,dcasale@pgaerotech.com,,6PGR579B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ny,2026-03-09,no,,
BUFR318E,"PJM, PRIVATE JET MAINTENANCE, LLC",HAVEN MRO - BUFFALO,BUFFALO,NY,14225,7862654867,eric.rynerson@atlasair.com,,BUFR318E,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ny,2026-03-09,no,,
HY1R209K,NATIONAL GRID,,SYRACUSE,NY,13211,3159757008,paul.cook@nationalgrid.com,,HY1R209K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ny,2026-03-09,no,,
MW1R337K,BAE SYSTEMS CONTROLS INC,,ENDICOTT,NY,13760,6077702000,henry.j.tokos@baesystems.com,,MW1R337K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ny,2026-03-09,no,,
FE1R136K,COSGROVE AIRCRAFT SERVICES INC,,WHITE PLAINS,NY,10604,9149971482,mvilas@cosgroveaircraft.com,,FE1R136K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ny,2026-03-09,no,,
AYPR340S,ASSOCIATED AIRCRAFT GROUP,,Wappingers Falls,NY,12590,8454636500,duane.dart@flexjet.com,,AYPR340S,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ny,2026-03-09,no,,
D5PR729J,DAVIS AIRCRAFT PRODUCTS COMPANY INC,,BOHEMIA,NY,11716,6315631500 EXT. 145,gsieber@davisaircraft.com,,D5PR729J,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ny,2026-03-09,no,,
8D1R645D,MOBILE NDT SERVICES CORPORATION,,FARMINGVILLE,NY,11738,5165260516,mobilendtservices@gmail.com,,8D1R645D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ny,2026-03-09,no,,
