entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated
6FVR283D,FLIGHT LEVEL COMPONENTS LLC,,SPRINGFIELD,OH,45502,8888566368,abayer@lonemtn.com,,6FVR283D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-oh,2026-03-09
PPJR496E,PREMIER AVIATION SERVICES DAY LLC,PREMIER AVIATION SERVICES,VANDALIA,OH,45377,9374543400,jim.b@premieraviationservices.aero,,PPJR496E,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-oh,2026-03-09
E5ZR316Y,SIGNATURE ENGINES,,CINCINNATI,OH,45226,5138719966,johnb@signatureenginesinc.com,,E5ZR316Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-oh,2026-03-09
O6ER370E,ONFLIGHT INC,,CINCINNATI,OH,45226,5139793720,joe_carr@onflightaviation.com,,O6ER370E,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-oh,2026-03-09
8JIR212D,BUCKEYE AIR,,HEBRON,OH,43205,7407770479,runway119@yahoo.com,,8JIR212D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-oh,2026-03-09
5LMR258B,SURFACE ENHANCEMENT TECHNOLOGIES,,CINCINNATI,OH,45227,5135610883 EXT. 314,jcassidy@lambdatechs.com,,5LMR258B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-oh,2026-03-09
O6WR853K,AVIATORS FLIGHT CENTER LLC,,HAMILTON,OH,45013,5132269226,aviatorsflightcenter@gmail.com,,O6WR853K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-oh,2026-03-09
GA5R876M,"GC AVIATION SERVICES-1, LLC",FIRST FLIGHT AVIATION,MIAMISBURG,OH,45342,9378855580 EXT. 110,dlatta@firstflightaviation.com,,GA5R876M,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-oh,2026-03-09
DYCR407D,LANE AVIATION CORP,,COLUMBUS,OH,43219,6142373747,bcurrier@laneaviation.com,,DYCR407D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-oh,2026-03-09
GH5R883M,"UNISON INDUSTRIES, LLC",,BEAVERCREEK,OH,45430,9374907015,alex.dennny@unisonindustries.com,,GH5R883M,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-oh,2026-03-09
OKQR412Y,AEROSPACE MAINTENANCE SOLUTIONS,,SOLON,OH,44139,4407297703 EXT. 13,corsagos@aerospacellc.com,,OKQR412Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-oh,2026-03-09
CV2R916D,SATCO INC,,LOVELAND,OH,45140,5137076150,gedwards@satco-inc.com,,CV2R916D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-oh,2026-03-09
8NM4309D,GLOBAL AVIATION SERVICES LLC,"DBA PRIMEFLIGHT GSE
   GSE MAINTENANCE",WILMINGTON,OH,45177,2532414328,aevans@primeflight.com,,8NM4309D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-oh,2026-03-09
