entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated,is_enterprise,multi_location_group,domain_normalized
5POR020C,PAS MRO INC,,BRISTOW,OK,74010,9187714361,jima@pasmro.com,,5POR020C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ok,2026-03-09,no,,
FA2R813K,UNITED PLATING  WORKS INC,,TULSA,OK,74116,9188354683,heatherd@upwtulsa.com,,FA2R813K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ok,2026-03-09,no,,
5LAR389M,LOGIC AVIATION SERVICES LLC,,TECUMSEH,OK,74873,4053959697,duane@logicaviation.net,,5LAR389M,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ok,2026-03-09,no,,
X6UR264N,AVIATION SERVICES UNLIMITED INC,AVION AERO,BETHANY,OK,73008,4057878111,jc@avionaero.com,,X6UR264N,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ok,2026-03-09,no,,
EZ22812K,THE NORDAM GROUP LLC,,TULSA,OK,74117,9182742700,shatfield@nordam.com,,EZ22812K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ok,2026-03-09,no,,
Y5ER795X,FIELD AEROSPACE,,OKLAHOMA CITY,OK,73159,4052193457,mmcdonou@fieldaero.com,,Y5ER795X,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ok,2026-03-09,no,,
Q6DR312Y,"DENTON AVIATION CONSULTING, INC",,TULSA,OK,74132,9188095509,cwdenton1@gmail.com,,Q6DR312Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ok,2026-03-09,no,,
IL2R902K,UNICORP SYSTEMS INC,,TULSA,OK,74107,9184460393,jasond@unicorpok.com,,IL2R902K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ok,2026-03-09,no,,
UBCR528X,"DOW AERO, LLC.",,OKLAHOMA CITY,OK,73149,4056706800,bill@dowaero.com,,UBCR528X,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ok,2026-03-09,no,,
L7QR476Y,SMOOTH LANDINGS LLC,,EL RENO,OK,73036,4052340080,smoothlandingsllc@gmail.com,,L7QR476Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ok,2026-03-09,no,,
AR2R700K,"AK-STRUCTURES, LLC",,BETHANY,OK,73008,4057871545,derekherrell@akstructures.com,,AR2R700K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ok,2026-03-09,no,,
HJ2R874K,ETI INC,,TULSA,OK,74145,9186278484,beau.johnson@etitulsa.com,,HJ2R874K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ok,2026-03-09,no,,
NSCR465K,NEOSOURCE INC,,OWASSO,OK,74055,9186224493,repair@neosource.net,,NSCR465K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ok,2026-03-09,no,,
I73R123Y,"INTEGRITY AERO SERVICE, LLC",,EDMOND,OK,73013,4057492444,jmbailey@knots2u.com,,I73R123Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-ok,2026-03-09,no,,
