entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated,is_enterprise,multi_location_group,domain_normalized
8H3R110D,HOLLINGSHEAD AVIATION SERVICES LLC,,SMYRNA,TN,37167,6154593337,jason.baker@hollingsheadaviation.com,,8H3R110D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-tn,2026-03-09,no,,
KNLR562E,AC SERVICES LLC.,,SELMER,TN,38375,7316109265,brentc38@gmail.com,,KNLR562E,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-tn,2026-03-09,no,,
N2RR559Y,"FFC SERVICES, INC",,MEMPHIS,TN,38118,9018427146,kstewart@ffcfuelcells.com,,N2RR559Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-tn,2026-03-09,no,,
AC1R891D,AIRCRAFTSMEN LLC,SMOKY MOUNTAIN AVIATION,GREENEVILLE,TN,37744,,chris@smokymtnaviation.com,,AC1R891D,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-tn,2026-03-09,no,,
7FWR170D,SOBEC AIRCRAFT MAINTENANCE LLC,,NASHVILLE,TN,37217,6154032092,kendall@flysobec.com,,7FWR170D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-tn,2026-03-09,no,,
FSIR095E,FUEL SYSTEMS INTERNATIONAL,"AIRCRAFT STRUCTURES GROUP
   GROUP LLC",BRENTWOOD,TN,37027,,bertrand.carret-troncy@aircraftstructuresgroup.com,,FSIR095E,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-tn,2026-03-09,no,,
PK4R443M,AVIONICS SPECIALIST INC,,MEMPHIS,TN,38118,9013629700,jtippitt@avionics-specialist.com,,PK4R443M,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-tn,2026-03-09,no,,
6A52818B,AMI AVIATION SERVICES LLC,,SMYRNA,TN,37167,6157271782,kevin.vogt@amiaviation.com,,6A52818B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-tn,2026-03-09,no,,
7D8R648D,THOM DUNCAN AVIONICS,,WINCHESTER,TN,37398,8338386226,thom@thomduncanavionics.com,,7D8R648D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-tn,2026-03-09,no,,
SWTR427E,SWAT AVIATION LLC,"SOUTHERN WHEEL &
   & TIRE AVIATION LLC",NASHVILLE,TN,37217,,jellington048@gmail.com,,SWTR427E,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-tn,2026-03-09,no,,
