entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated,is_enterprise,multi_location_group,domain_normalized
1BSR390B,BUCHER AEROSPACE CORPORATION,,EVERETT,WA,98203,,ach@bucheraero.com,,1BSR390B,unknown,unknown,general-mro,,unknown,0.83,B,no,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
KB6R659N,"MCCORMICK AIRCRAFT MAINTENANCE, LLC",,"YAKIMA,",WA,98903,5092491680,avionics@mccormickaircenter.com,,KB6R659N,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
LYWR551K,"CORPORATE AIR CENTER, LLC","CORPORATE AIR CENTER
   CENTER AVIONICS",BURLINGTON,WA,98233,3607577757,rbecker@corporateaircenter.com,,LYWR551K,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
8RNR750C,RENTON COIL SPRING CO. INC,,RENTON,WA,98057,4252551453 EXT. 227,chris.b@rentoncoilspring.com,,8RNR750C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
IO6R620N,SOUTHWEST AERO INC,,TUKWILA,WA,98188,2065758732,swaeroinc@outlook.com,,IO6R620N,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
I4CR304N,CANNON AIRCRAFT INTERIORS-CAI AVIONICS,,EVERETT,WA,98204,4253486924,,,I4CR304N,unknown,unknown,general-mro,,unknown,0.83,B,yes,no,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
4DS7637B,AMENTUM SERVICES INC,,BELLINGHAM,WA,98226,3607346089,ryan.f.clark@associates.cbp.dhs.gov.,,4DS7637B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
1LKR990Y,LKD AEROSPACE INC,LKD AEROSPACE,SNOQUALMIE,WA,98065,4253960829,kevinsherron@lkdaero.com,,1LKR990Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
A1MR123N,AEROMECH INCORPORATED,,MUKILTEO,WA,98275,4252523236,craig.cheatle@aeromechinc.com,,A1MR123N,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
RN0R650X,ROCKET ENGINEERING CORPORATION,,SPOKANE,WA,99212,5095354401,,,RN0R650X,unknown,unknown,general-mro,,unknown,0.83,B,yes,no,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
3FPY528C,AIRFLITE PROPRIETARY LIMITED,AIRFLITE PTY LTD,PERTH,WA,6105,+6189478 9000,gdeal@airflite.com.au,,3FPY528C,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
E57R057Y,EXOTIC METALS FORMING CO. LLC,,KENT,WA,98032,2533953710,cameron.fromong@parker.com,,E57R057Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
NX0R661Y,NORTHWEST AEROSPACE TECHNOLOGIES INC,,EVERETT,WA,98201,4252572044,andrew.davis2@safrangroup.com,,NX0R661Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
HD6R583N,PANASONIC AVIONICS CORPORATION,,BOTHELL,WA,98021,4254159000,vincent.woolfolk@panasonic.aero,,HD6R583N,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
1LMR778B,LUMA TECHNOLOGIES,,BELLEVUE,WA,98005,4256434000,weverett@lumatech.com,,1LMR778B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
S2DR551J,"SOUNDAIR REPAIR GROUP, LLC",SOUNDAIR AVIATION SERVICES,"SNOHOMISH, WA",WA,98290,3604532300,barryf@soundair.com,,S2DR551J,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
NQ3R719L,"PACIFIC PROPELLER INTERNATIONAL, LLC",,KENT,WA,98032,2539816027,scalson@pacprop.com,,NQ3R719L,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
BACR668L,THE BOEING COMPANY,,RENTON,WA,98057,,,,BACR668L,unknown,unknown,general-mro,,unknown,0.67,C,no,no,no,40,no website (+40),10,general-mro (+10),unknown,25.0,faa-facility-wa,2026-03-09,no,,
8ICR371D,NORTHWEST IP PARTNERS,VALLEY AERO SERVICES,MAPLE VALLEY,WA,98038,2063832831,sgalipeau@valley-aero.com,,8ICR371D,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
N9TR276Y,NORTH STAR AEROSPACE INC,,AUBURN,WA,98001,2538761604,sgensmantel@northstaraero.com,,N9TR276Y,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
MJKR015B,MAJESTIC AEROTECH INC,,TACOMA,WA,98402,3605284142,steveg@majesticaerotech.com,,MJKR015B,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
YGIR141Y,"BELLINGHAM AVIATION SERVICES, LLC",BELLINGHAM JET CENTER,BELLINGHAM,WA,98226,3607521252,,,YGIR141Y,unknown,unknown,general-mro,,unknown,0.83,B,yes,no,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
FB6R529N,CANNON AVIONICS INC,"CANNON AVIONICS AND
   AND AIRCRAFT MAINTENANCE",ARLINGTON,WA,98223,3604350900,cannonav@frontier.com,,FB6R529N,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
KE7R393J,KORRY ELECTRONICS COMPANY,,EVERETT,WA,98204,4252979700,michael.anderson@korry.com,,KE7R393J,unknown,unknown,general-mro,,unknown,1.0,A,yes,yes,no,50,no website (+40); reachable (+10),20,general-mro (+10); reachable (+10),unknown,35.0,faa-facility-wa,2026-03-09,no,,
