entity_id,legal_name,dba_name,city,state,zip,phone,email,website,cert_no,shop_size_class,aircraft_worked_on,profile_archetype,airport_icao,airport_distance_band,overall_confidence,outreach_tier,has_phone,has_email,has_website,website_fit_score,website_fit_rationale,erp_fit_score,erp_fit_rationale,corridor_ebis_likelihood,cross_sell_score,data_source,last_updated
H51R588Y,AIRCRAFT MAINTENANCE AND MANAGEMENT COMPANY,DBA HAGGAN AVIATION,ENGLEWOOD,CO,80112,,,,H51R588Y,medium,business_aircraft;maintenance;avionics;engine;structural;ndt;paint;interior,full_service_mro,KAPA,on-airport,0.98,C,no,no,no,80,no website (+40); size=medium (+20); full_service_mro (+15); on-airport (+5),80,size=medium (+25); full_service_mro (+25); high-value aircraft (business) (+15); confidence=0.98>=0.9 (+10); on-airport (+5),possible,80.0,colorado-part145-round3,2026-03-09
PE5R116N,PRECISION AIRCRAFT & ENGINE SERVICES INC,DBA MAYO AVIATION LLC,ENGLEWOOD,CO,80112,3037924022,,,PE5R116N,medium,engine-components,specialty,KAPA,near-airport,0.75,B,yes,no,no,80,no website (+40); size=medium (+20); specialty (+10); reachable (+10),55,size=medium (+25); specialty (+15); reachable (+10); confidence=0.75>=0.75 (+5),unknown,67.5,colorado-part145-round3,2026-03-09
VMIR360T,AIRCAM NATIONAL HELICOPTER SERVICES INC,,ENGLEWOOD,CO,80112,,,,VMIR360T,medium,rotorcraft,specialty,KAPA,on-airport,0.85,C,no,no,no,75,no website (+40); size=medium (+20); specialty (+10); on-airport (+5),50,size=medium (+25); specialty (+15); confidence=0.85>=0.75 (+5); on-airport (+5),unknown,62.5,colorado-part145-round3,2026-03-09
4JDR353D,D & J AVIATION INC,,COLORADO SPRINGS,CO,80916,7196591017,jim.schwab@djaviation.aero,,4JDR353D,medium,unknown,general-mro,KCOS,on-airport,0.75,B,yes,yes,no,75,no website (+40); size=medium (+20); reachable (+10); on-airport (+5),55,size=medium (+25); general-mro (+10); reachable (+10); confidence=0.75>=0.75 (+5); on-airport (+5),possible,65.0,colorado-part145-round3,2026-03-09
F42R979Y,FRONT RANGE TRANSPONDER SERVICE,DBA MOUNTAIN AIR AVIATION,BROOMFIELD,CO,80021,3034691380,gb3maa@gmail.com,,F42R979Y,small,transponder;altimeter;encoder;pitot_static,specialty,KBJC,on-airport,0.82,B,yes,yes,no,75,no website (+40); size=small (+10); specialty (+10); reachable (+10); on-airport (+5),50,size=small (+15); specialty (+15); reachable (+10); confidence=0.82>=0.75 (+5); on-airport (+5),unknown,62.5,colorado-part145-round3,2026-03-09
PMSR554E,PEGASUS AEROSPACE MISSION SYSTEMS,,COLORADO SPRINGS,CO,80916,7196591017,,,PMSR554E,medium,unknown,general-mro,KCOS,on-airport,0.75,B,yes,no,no,75,no website (+40); size=medium (+20); reachable (+10); on-airport (+5),55,size=medium (+25); general-mro (+10); reachable (+10); confidence=0.75>=0.75 (+5); on-airport (+5),possible,65.0,colorado-part145-round3,2026-03-09
WTXR173J,"WEST STAR AVIATION, LLC",DBA WEST STAR AVIATION,GRAND JUNCTION,CO,81506,,,,WTXR173J,large,business_jets;turboprop;airframe;engines;avionics;interior;paint,full_service_mro,KGJT,near-airport,0.99,C,no,no,no,75,no website (+40); size=large (+20); full_service_mro (+15),75,size=large (+25); full_service_mro (+25); high-value aircraft (business) (+15); confidence=0.99>=0.9 (+10),likely,75.0,colorado-part145-round3,2026-03-09
3FOR298C,AEROFIELD SERVICES LLC,,AURORA,CO,80011,7205423173,,,3FOR298C,medium,unknown,general-mro,KDEN,near-airport,0.75,B,yes,no,no,70,no website (+40); size=medium (+20); reachable (+10),50,size=medium (+25); general-mro (+10); reachable (+10); confidence=0.75>=0.75 (+5),possible,60.0,colorado-part145-round3,2026-03-09
X1IR595Y,"AVEX AVIATION, LLC",,BROOMFIELD,CO,80021,7203998008,,,X1IR595Y,medium,unknown,general-mro,KBJC,near-airport,0.75,B,yes,no,no,70,no website (+40); size=medium (+20); reachable (+10),50,size=medium (+25); general-mro (+10); reachable (+10); confidence=0.75>=0.75 (+5),possible,60.0,colorado-part145-round3,2026-03-09
X8CR828N,"GOGO BUSINESS AVIATION, LLC.",,BROOMFIELD,CO,80021,3033013200,connect@gogoair.com,,X8CR828N,medium,unknown,general-mro,KBJC,near-airport,0.75,B,yes,yes,no,70,no website (+40); size=medium (+20); reachable (+10),50,size=medium (+25); general-mro (+10); reachable (+10); confidence=0.75>=0.75 (+5),possible,60.0,colorado-part145-round3,2026-03-09
IG0R976N,"INTERNATIONAL GOVERNOR SERVICES, LLC",DBA STANDARDAERO COMPONENT SERVICES,BROOMFIELD,CO,80020,,maintenance@securityaviation.biz,,IG0R976N,medium,unknown,general-mro,KBJC,near-airport,0.75,B,no,yes,no,70,no website (+40); size=medium (+20); reachable (+10),50,size=medium (+25); general-mro (+10); reachable (+10); confidence=0.75>=0.75 (+5),possible,60.0,colorado-part145-round3,2026-03-09
PTIR407E,POSITECH INTERNATIONAL LLC,,DELTA,CO,81416,9704177531,,,PTIR407E,medium,unknown,general-mro,KAJZ,near-airport,0.75,B,yes,no,no,70,no website (+40); size=medium (+20); reachable (+10),50,size=medium (+25); general-mro (+10); reachable (+10); confidence=0.75>=0.75 (+5),possible,60.0,colorado-part145-round3,2026-03-09
R62R296Y,REDLINE AVIATION,,AKRON,CO,80720,7202724356,dan@redlineaviation.aero,,R62R296Y,medium,unknown,general-mro,KAKO,near-airport,0.75,B,yes,yes,no,70,no website (+40); size=medium (+20); reachable (+10),50,size=medium (+25); general-mro (+10); reachable (+10); confidence=0.75>=0.75 (+5),possible,60.0,colorado-part145-round3,2026-03-09
W8VR768Y,"UNILODE AVIATION SOLUTIONS US, INC",DBA UNILODE AVIATION SOLUTIONS,DENVER,CO,80249,3033171260,,,W8VR768Y,medium,unknown,general-mro,KDEN,near-airport,0.75,B,yes,no,no,70,no website (+40); size=medium (+20); reachable (+10),50,size=medium (+25); general-mro (+10); reachable (+10); confidence=0.75>=0.75 (+5),possible,60.0,colorado-part145-round3,2026-03-09
FMSR378E,DIRECT MX AVIATION LLC,,ENGLEWOOD,CO,80112,,,,FMSR378E,medium,unknown,general-mro,KAPA,on-airport,0.75,C,no,no,no,65,no website (+40); size=medium (+20); on-airport (+5),45,size=medium (+25); general-mro (+10); confidence=0.75>=0.75 (+5); on-airport (+5),possible,55.0,colorado-part145-round3,2026-03-09
TJJR625X,MOBILE TRANSPONDER SERVICES LLC,DBA AVIONICS UPGRADES,PEYTON,CO,80831,,,,TJJR625X,medium,unknown,general-mro,KFLY,on-airport,0.75,C,no,no,no,65,no website (+40); size=medium (+20); on-airport (+5),45,size=medium (+25); general-mro (+10); confidence=0.75>=0.75 (+5); on-airport (+5),possible,55.0,colorado-part145-round3,2026-03-09
3MTR418B,SABER AIRCRAFT SERVICES LLC,,PUEBLO,CO,81001,,,,3MTR418B,medium,unknown,general-mro,KPUB,on-airport,0.75,C,no,no,no,65,no website (+40); size=medium (+20); on-airport (+5),45,size=medium (+25); general-mro (+10); confidence=0.75>=0.75 (+5); on-airport (+5),possible,55.0,colorado-part145-round3,2026-03-09
QMKR800X,"TRINE AEROSPACE, LLC",DBA TRINE AEROSPACE & & DEFENSE DBA TRINE AVIATION SERVICES,COLORADO SPRINGS,CO,80916,,,,QMKR800X,medium,unknown,general-mro,KCOS,on-airport,0.75,C,no,no,no,65,no website (+40); size=medium (+20); on-airport (+5),45,size=medium (+25); general-mro (+10); confidence=0.75>=0.75 (+5); on-airport (+5),possible,55.0,colorado-part145-round3,2026-03-09
SCIR012A,TWIN OTTER INTERNATIONAL LTD,DBA TWIN OTTER AIRBORNE AIRBORNE RESEARCH,GRAND JUNCTION,CO,81506,,,,SCIR012A,medium,unknown,general-mro,KGJT,on-airport,0.75,C,no,no,no,65,no website (+40); size=medium (+20); on-airport (+5),45,size=medium (+25); general-mro (+10); confidence=0.75>=0.75 (+5); on-airport (+5),possible,55.0,colorado-part145-round3,2026-03-09
ZW8R398Y,WESTPAC PROPELLER SERVICES INC,,COLORADO SPRINGS,CO,80916,,,,ZW8R398Y,medium,unknown,general-mro,KCOS,on-airport,0.75,C,no,no,no,65,no website (+40); size=medium (+20); on-airport (+5),45,size=medium (+25); general-mro (+10); confidence=0.75>=0.75 (+5); on-airport (+5),possible,55.0,colorado-part145-round3,2026-03-09
