legal_name,dba_name,street,city,state,zip,certificate_hints,website,phone,email,confidence,source_ref
ADVANCED AEROTECHNOLOGIES GROUP LLC,,631 BUSS AVE.,GREELEY,CO,80631,Cert 27OD157C; Designator 27OD,,9705900906,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
AEROFIELD SERVICES LLC,,19501 E. 23RD AVE,AURORA,CO,80011,Cert 3FOR298C; Designator 3FOR,,7205423173,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
"AIR COMM CORPORATION, LLC",,14903 GRANT STREET SUITE 110,THORNTON,CO,80023,Cert KP7R699J; Designator KP7R,,2047287618,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
AIR METHODS LLC,DBA UNITED ROTORCRAFT,7301 SOUTH PEORIA STREET,ENGLEWOOD,CO,80112,Cert QMLR253U; Designator QMLR,,,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
AIRCAM NATIONAL HELICOPTER SERVICES INC,,12951 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,Cert VMIR360T; Designator VMIR,,,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
AIRCRAFT MAINTENANCE AND MANAGEMENT COMPANY,DBA HAGGAN AVIATION,12420 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,Cert H51R588Y; Designator H51R,,,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
ALLEN AVIATION LLC,,3652 CR GG. 2,LAMAR,CO,81052,Cert AAVR958D; Designator AAVR,,,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
ALLOY METALWORKS LLC,,"1865 W. UNION AVE. UNITS R,S,T",SHERIDAN,CO,80110,Cert ALWR453E; Designator ALWR,,7207440807,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
AOG-ASAP AVIONICS INC,,37451 BEECHCRAFT WAY HANGAR 1,WATKINS,CO,80137,Cert O0AR682Y; Designator O0AR,,3035206988,wheiss@msn.com,high,FAA-AVINFO-DOWNLOAD-2026-03-07
ARAPAHOE AERO AVIONICS,,12780 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,Cert ZL6R006Y; Designator ZL6R,,3037998386,scott@arapahoeaero.com,high,FAA-AVINFO-DOWNLOAD-2026-03-07
"AVEX AVIATION, LLC",,11804 CORPORATE WAY,BROOMFIELD,CO,80021,Cert X1IR595Y; Designator X1IR,,7203998008,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
AVIATION WINDOW SERVICES,,7114 RUSTIC TRAIL,BOULDER,CO,80301,Cert VW6R328Y; Designator VW6R,,3034442171,tim@aviationwindows.com,high,FAA-AVINFO-DOWNLOAD-2026-03-07
AVTRONICS INC,,685 CONDOR DRIVE STEVENS FIELD,PAGOSA SPRINGS,CO,81147,Cert 3AXR823B; Designator 3AXR,,,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
BAE SYSTEMS SPACE & MISSION SYSTEMS INC,,9675 WEST 108TH CIRCLE,WESTMINSTER,CO,80021,Cert B4CR228J; Designator B4CR,,3035337848,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
BEEGLES AIRCRAFT SERVICE LLC,,635 AIRPORT ROAD,GREELEY,CO,80631,Cert BX4R092M; Designator BX4R,,9703539200,info@beeglesair.com,high,FAA-AVINFO-DOWNLOAD-2026-03-07
BODE AVIATION INC,,7935 S. PEORIA ST.,ENGLEWOOD,CO,80112,Cert J7BD555Y; Designator J7BD,,,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
"C7 AEROWERKS, LLC",,1727 AVIATION WAY,COLORADO SPRINGS,CO,80916,Cert NW6R094J; Designator NW6R,,7193090430,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
CAE USA INC,,1 WILLIAM WHITE BOULEVARD SUITE 100,PUEBLO,CO,81001,Cert 3DOR530B; Designator 3DOR,,,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
CENTENNIAL AIRCRAFT INTERIORS CORPORATION,,7405 SOUTH PEORIA STREET,ENGLEWOOD,CO,80112,Cert DYHR613K; Designator DYHR,,3036499296,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
CENTRI-LUBE TECHNOLOGIES LLC,,5212 CESSNA DR.,LOVELAND,CO,80538,Cert 5LBR346D; Designator 5LBR,,9702183758,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
CENTURY HELICOPTERS INC,,2001 AIRWAY AVENUE,FORT COLLINS,CO,80524,Cert PN5R125N; Designator PN5R,,9704846804,philip.glasgow@centuryhelicopters.com,high,FAA-AVINFO-DOWNLOAD-2026-03-07
COLORADO AIRWORKS LLC,,7312 BELL DR.,COLORADO SPRINGS,CO,80920,Cert HA6R580N; Designator HA6R,,,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
CUTTER AVIATION DENVER CO-APA,,12260 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,Cert CUTR877D; Designator CUTR,,3037999999,,high,FAA-AVINFO-DOWNLOAD-2026-03-07
D & J AVIATION INC,,1945 AVIATION WAY,COLORADO SPRINGS,CO,80916,Cert 4JDR353D; Designator 4JDR,,7196591017,jim.schwab@djaviation.aero,high,FAA-AVINFO-DOWNLOAD-2026-03-07
DENVER HOT AIR REPAIR,DBA A DIVISION OF OF DEKOEVEND ENTERPRISES C.,24201 M-5 RD,SAN LUIS,CO,81152,Cert GL6R565N; Designator GL6R,,7207373534,terrysm@earthlink.net,high,FAA-AVINFO-DOWNLOAD-2026-03-07
