Accountable Manager,Accountable Manager Email,Accountable Manager Phone Number,Address Line 1,Address Line 2,Address Line 3,Agency Email,Agency Name,Agency Phone Number,Cert_No,City,Country ,DBA,DSGN_CODE,Email,Liaison,Liaison Email,Liaison Phone Number,Postal Code,State/Province,Update_Date
,,,,,,,AEROELITE INTERIORS LLC,,6ELR651C,,,,6ELR,,,,,,,3/2/2026
,,,,,,,RECAERO,,RCRY357E,,,,RCRY,,,,,,,3/2/2026
,,,,,,,REGENT AEROSPACE CORPORATION,,PA82131J,,,,PA82,,,,,,,3/2/2026
,,,"3, RUE GUSTAVE MADIOT",,,,GENERAL MAINTENANCE AERO,,6N3Y760D,BONDOUFLE,FRANCE,,6N3Y,,"DELARUELLE, SYLVAIN",sdelaruelle@gmafrance.com,,91070,,3/2/2026
,,,VIA CARLO DEL PRETE  1,,,,SECONDO MONA SPA,,1E8Y986C,SOMMA LOMBARDO,ITALY,,1E8Y,,"RINALDUZZI, FRANCESCA",francesca.rinalduzzi@secondomona.com,,21019,,3/2/2026
,,,"1582 EAST GOODRICK ROAD, UNIT 8A",,,,VINTAGE RADIALS INC,,VDDR067B,TEHACHAPI,UNITED STATES,,VDDR,,,,,93561,CA,3/2/2026
,,,1610 S AIRPORT ROAD,,,,GUARDIAN FLIGHT LLC,,7AJ6299N,WICHITA,UNITED STATES,"DBA GMR CERTIFIED REPAIR
   REPAIR STATION",7AJ6,,RYAN BENDER,ryan.bender@gmr.net,8016194900,67209,KS,3/2/2026
,,,"1 KAHULUI AIRPORT ROAD, # 105",,,,"AIR REPAIR, LLC",8088716657,13IR077C,KAHULUI,UNITED STATES,,13IR,,"MARZKE, MICHAEL",michaelm@bluehawaiian.com,8082831370,96732,HI,3/2/2026
,,,16592 NW 16TH STREET,,,felipegarcia340@aol.com,AIRCRAFT COMPONENT REPAIR SERVICES CORP,9542576151,CRAR287E,PEMBROKE PINES,UNITED STATES,,CRAR,felipegarcia340@aol.com,,,,33028,FL,3/2/2026
,,,1744 COUNTY ROAD N,,,jseg1987@yahoo.com,POOR BOY AVIONICS OF SAN ANGELO,8062005108,OYOR041J,LAMESA,UNITED STATES,DBA REBEL RED'S AVIATION,OYOR,jseg1987@yahoo.com,JUSTIN SEGOVIA,jseg1987@yahoo.com,8062005108,79331,TX,3/2/2026
,,,"UNITS 1, 3, 4, 6,& 8 FISHPONDS ESTA",FISHPONDS ROAD,,,AVIA TECHNIQUE LIMITED,+441189789789,I8QY183X,WOKINGHAM,UNITED KINGDOM,,I8QY,,,,,RG41 2QJ,ENG,3/2/2026
,,,NO. 1259 JINDU ROAD,MINHANG DISTRICT,,,"SHANGHAI AML AVIATION TECHNOLOGIES CO., LTD",+86 898 699635,AM1Y471E,SHANGHAI,CHINA,,AM1Y,,,,,200137,,3/2/2026
,,,"E OF WUXUAN AVE, W OF HANGKONG RD 4","S OF YONGTAI RD, N OF HANGKONG RD 3",,quality@skyaero.com.cn,"CHINA SKYAERO ENGINE MAINTENANCE CO., LTD",86-13816089198,CNSY516E,WUHU CITY,CHINA,,CNSY,quality@skyaero.com.cn,FREDA ZHANG,zhangp@skyaero.com.cn,,Anhui Prv,,3/2/2026
