legal_name,dba_name,city,state,website_presence,website_presence_source_ref,news_signal_12m,news_signal_12m_source_ref,directory_presence,directory_presence_source_ref,contact_discoverability,contact_discoverability_source_ref,observability_score,score_explain
ADVANCED AEROTECHNOLOGIES GROUP LLC,,GREELEY,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
AEROFIELD SERVICES LLC,,AURORA,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
"AIR COMM CORPORATION, LLC",,THORNTON,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
AIR METHODS LLC,DBA UNITED ROTORCRAFT,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
AIRCAM NATIONAL HELICOPTER SERVICES INC,,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
AIRCRAFT MAINTENANCE AND MANAGEMENT COMPANY,DBA HAGGAN AVIATION,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
ALLEN AVIATION LLC,,LAMAR,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
ALLOY METALWORKS LLC,,SHERIDAN,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
AOG-ASAP AVIONICS INC,,WATKINS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
ARAPAHOE AERO AVIONICS,,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
"AVEX AVIATION, LLC",,BROOMFIELD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
AVIATION WINDOW SERVICES,,BOULDER,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
AVTRONICS INC,,PAGOSA SPRINGS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
BAE SYSTEMS SPACE & MISSION SYSTEMS INC,,WESTMINSTER,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
BEEGLES AIRCRAFT SERVICE LLC,,GREELEY,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,high,round-1/team-a-registry/OUTPUT.csv,38,"website=none, news_12m=unknown, directory=medium, contact=high; conservative OSINT score from Round-1 artifacts."
BODE AVIATION INC,,ENGLEWOOD,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,low,,23,"website=none, news_12m=unknown, directory=medium, contact=low; conservative OSINT score from Round-1 artifacts."
"C7 AEROWERKS, LLC",,COLORADO SPRINGS,CO,none,,unknown,,medium,round-1/team-a-registry/OUTPUT.csv;round-1/team-c-geo/OUTPUT.csv,medium,round-1/team-a-registry/OUTPUT.csv,30,"website=none, news_12m=unknown, directory=medium, contact=medium; conservative OSINT score from Round-1 artifacts."
