entity_id,legal_name,dba_name,street,city,state,zip,phone,email,website,cert_no,part145_indicator,certificate_hints,shop_size_class,aircraft_worked_on,airport_proximity_profile,nearest_airport_name,nearest_airport_icao,observability_score,observability_score_method,profile_archetype,overall_confidence,identity_ambiguity_flag,provenance_legal_name,provenance_part145,provenance_shop_size_class,provenance_aircraft_worked_on,provenance_airport_proximity_profile,provenance_observability_score,source_refs
27OD157C,ADVANCED AEROTECHNOLOGIES GROUP LLC,,631 BUSS AVE.,GREELEY,CO,80631,9705900906,,,27OD157C,yes,Cert 27OD157C; Designator 27OD,,,near-airport,Northern Colorado Regional Airport,KGXY,0.30,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
3FOR298C,AEROFIELD SERVICES LLC,,19501 E. 23RD AVE,AURORA,CO,80011,7205423173,,,3FOR298C,yes,Cert 3FOR298C; Designator 3FOR,,,near-airport,Denver International Airport,KDEN,0.30,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
KP7R699J,"AIR COMM CORPORATION, LLC",,14903 GRANT STREET SUITE 110,THORNTON,CO,80023,2047287618,,,KP7R699J,yes,Cert KP7R699J; Designator KP7R,,,near-airport,Rocky Mountain Metropolitan Airport,KBJC,,,,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
QMLR253U,AIR METHODS LLC,DBA UNITED ROTORCRAFT,7301 SOUTH PEORIA STREET,ENGLEWOOD,CO,80112,,,,QMLR253U,yes,Cert QMLR253U; Designator QMLR,,,near-airport,Centennial Airport,KAPA,0.23,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
VMIR360T,AIRCAM NATIONAL HELICOPTER SERVICES INC,,12951 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,,,,VMIR360T,yes,Cert VMIR360T; Designator VMIR,,,on-airport,Centennial Airport,KAPA,0.23,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
H51R588Y,AIRCRAFT MAINTENANCE AND MANAGEMENT COMPANY,DBA HAGGAN AVIATION,12420 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,,,,H51R588Y,yes,Cert H51R588Y; Designator H51R,medium,business_aircraft;maintenance;avionics;engine;structural;ndt;paint;interior,on-airport,Centennial Airport,KAPA,0.23,team-d:OUTPUT.csv(observability_score),full_service_mro,0.98,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),team-b:OUTPUT.csv(shop_size_class),team-b:OUTPUT.csv(aircraft_worked_on),team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;S4;team-d-observability/OUTPUT.csv
AAVR958D,ALLEN AVIATION LLC,,3652 CR GG. 2,LAMAR,CO,81052,,,,AAVR958D,yes,Cert AAVR958D; Designator AAVR,,,near-airport,Lamar Municipal Airport,KLAA,0.23,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
ALWR453E,ALLOY METALWORKS LLC,,"1865 W. UNION AVE. UNITS R,S,T",SHERIDAN,CO,80110,7207440807,,,ALWR453E,yes,Cert ALWR453E; Designator ALWR,,,near-airport,Centennial Airport,KAPA,0.30,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
O0AR682Y,AOG-ASAP AVIONICS INC,,37451 BEECHCRAFT WAY HANGAR 1,WATKINS,CO,80137,3035206988,wheiss@msn.com,,O0AR682Y,yes,Cert O0AR682Y; Designator O0AR,,,near-airport,Colorado Air and Space Port,KCFO,,,,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
ZL6R006Y,ARAPAHOE AERO AVIONICS,,12780 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,3037998386,scott@arapahoeaero.com,,ZL6R006Y,yes,Cert ZL6R006Y; Designator ZL6R,,,on-airport,Centennial Airport,KAPA,0.38,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
X1IR595Y,"AVEX AVIATION, LLC",,11804 CORPORATE WAY,BROOMFIELD,CO,80021,7203998008,,,X1IR595Y,yes,Cert X1IR595Y; Designator X1IR,,,near-airport,Rocky Mountain Metropolitan Airport,KBJC,,,,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
VW6R328Y,AVIATION WINDOW SERVICES,,7114 RUSTIC TRAIL,BOULDER,CO,80301,3034442171,tim@aviationwindows.com,,VW6R328Y,yes,Cert VW6R328Y; Designator VW6R,,,near-airport,Boulder Municipal Airport,KBDU,0.38,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
3AXR823B,AVTRONICS INC,,685 CONDOR DRIVE STEVENS FIELD,PAGOSA SPRINGS,CO,81147,,,,3AXR823B,yes,Cert 3AXR823B; Designator 3AXR,,,near-airport,Stevens Field,KPSO,0.23,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
B4CR228J,BAE SYSTEMS SPACE & MISSION SYSTEMS INC,,9675 WEST 108TH CIRCLE,WESTMINSTER,CO,80021,3035337848,,,B4CR228J,yes,Cert B4CR228J; Designator B4CR,,,near-airport,Rocky Mountain Metropolitan Airport,KBJC,,,,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
BX4R092M,BEEGLES AIRCRAFT SERVICE LLC,,635 AIRPORT ROAD,GREELEY,CO,80631,9703539200,info@beeglesair.com,,BX4R092M,yes,Cert BX4R092M; Designator BX4R,,,on-airport,Northern Colorado Regional Airport,KGXY,0.38,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
J7BD555Y,BODE AVIATION INC,,7935 S. PEORIA ST.,ENGLEWOOD,CO,80112,,,,J7BD555Y,yes,Cert J7BD555Y; Designator J7BD,,,near-airport,Centennial Airport,KAPA,0.23,team-d:OUTPUT.csv(observability_score),,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv
NW6R094J,"C7 AEROWERKS, LLC",,1727 AVIATION WAY,COLORADO SPRINGS,CO,80916,7193090430,,,NW6R094J,yes,Cert NW6R094J; Designator NW6R,,,on-airport,City of Colorado Springs Municipal Airport,KCOS,,,,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),,,team-c:OUTPUT.csv(distance_band),,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1
