entity_id,legal_name,dba_name,street,city,state,zip,phone,email,website,cert_no,part145_indicator,certificate_hints,shop_size_class,aircraft_worked_on,airport_proximity_profile,airport_distance_band,nearest_airport_name,nearest_airport_icao,observability_score,observability_score_method,profile_archetype,overall_confidence,identity_ambiguity_flag,provenance_legal_name,provenance_part145,provenance_shop_size_class,provenance_aircraft_worked_on,provenance_airport_proximity_profile,provenance_observability_score,source_refs
GO2R846D,"GOGO BUSINESS AVIATION, LLC",DBA GOGO FLIGHT SERVICES,105 EDGEVIEW DRIVE SUITE 300,BROOMFIELD,CO,80021,3033013441,,https://www.gogoair.com,GO2R846D,yes,"Cert GO2R846D; Designator GO2R",medium,"avionics;inflight_connectivity;business_aviation",near-airport,near-airport,Rocky Mountain Metropolitan Airport,KBJC,0.72,"direct:web+industry-listing (official site + AEA/chamber presence)",specialty,0.90,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:gogo site + chamber + AEA,direct:gogo business aviation descriptors,team-c:OUTPUT.csv(distance_band),direct:multi-source digital footprint,"FAA-AVINFO-DOWNLOAD-2026-03-07; https://www.gogoair.com; https://members.broomfieldchamber.com/list/member/gogo-business-aviation-6765; https://aea.net/memberdetails.asp?ID=7337"
PAZ3068H,"PREMIER AIR CENTER, LLC",DBA WEST STAR AVIATION,12000 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,7204867140,,https://www.weststaraviation.com/denver/,PAZ3068H,yes,"Cert PAZ3068H; Designator PAZ3",large,"business_jets;airframe;engines;avionics;modifications",on-airport,on-airport,Centennial Airport,KAPA,0.88,"direct:official facility/service pages + strong market footprint",full_service_mro,0.98,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:west star corporate/facility pages,direct:west star service capability statements,team-c:OUTPUT.csv(distance_band),direct:web signals + retained high confidence,"FAA-AVINFO-DOWNLOAD-2026-03-07; https://www.weststaraviation.com/denver/; https://www.weststaraviation.com/"
WTXR173J,"WEST STAR AVIATION, LLC",DBA WEST STAR AVIATION,796 HERITAGE WAY,GRAND JUNCTION,CO,81506,,,,WTXR173J,yes,"Cert WTXR173J; Designator WTXR",large,"business_jets;turboprop;airframe;engines;avionics;interior;paint",near-airport,near-airport,Grand Junction Regional Airport,KGJT,0.90,"direct:official grand junction page + enterprise scale indicators",full_service_mro,0.99,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:west star grand junction page,direct:west star capability description,team-c:OUTPUT.csv(distance_band),direct:web signals + enterprise scale,"FAA-AVINFO-DOWNLOAD-2026-03-07; https://www.weststaraviation.com/grand-junction/"
OMKR399L,STRAIGHT FLIGHT LLC,,13251 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,3037998906,,https://www.straightflight.com,OMKR399L,yes,"Cert OMKR399L; Designator OMKR",medium,"aircraft_under_12500lbs;metal_airframe;composite_airframe;avionics;paint",near-airport,near-airport,Centennial Airport,KAPA,0.82,"direct:official about/contact pages with facility and capability detail",airframe_restoration_specialist,0.97,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:straightflight about page (3x18k sq ft hangars),direct:straightflight capability text,team-c:OUTPUT.csv(distance_band),direct:web+facility detail,"FAA-AVINFO-DOWNLOAD-2026-03-07; https://www.straightflight.com/about-straight-flight/; https://www.straightflight.com/contact-us/"
CUTR877D,CUTTER AVIATION DENVER CO-APA,,12260 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,3037999999,,https://cutteraviation.com,CUTR877D,yes,"Cert CUTR877D; Designator CUTR",medium,"pilatus_pc12;pilatus_pc24;airframe;avionics;interior_refurbishment",on-airport,on-airport,Centennial Airport,KAPA,0.79,"direct:official maintenance facility page + third-party OEM service-center listing",specialty,0.95,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:cutter denver maintenance page,direct:cutter + Pilatus service-center descriptions,team-c:OUTPUT.csv(distance_band),direct:web signals (strong but local facility scope),"FAA-AVINFO-DOWNLOAD-2026-03-07; https://cutteraviation.com/aircraft-service-avionics-support-2/aircraft-maintenance-facility-denver-colorado-apa/; https://www.pilatus-aircraft.com/en/service-centers/cutter-aviation-denver"
ZL6R006Y,ARAPAHOE AERO AVIONICS,,12780 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,3037998386,scott@arapahoeaero.com,https://arapahoeaero.com,ZL6R006Y,yes,"Cert ZL6R006Y; Designator ZL6R",small,"avionics_installation;panel_upgrade;bench_repair;piston_single;piston_twin",on-airport,on-airport,Centennial Airport,KAPA,0.66,"direct:official site + AEA listing",specialty,0.92,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:arapahoeaero services/positioning,direct:site manufacturer/service descriptions,team-c:OUTPUT.csv(distance_band),direct:web signals upgraded from prior heuristic,"FAA-AVINFO-DOWNLOAD-2026-03-07; https://arapahoeaero.com/; https://aea.net/memberdetails.asp?ID=5351"
VW6R328Y,AVIATION WINDOW SERVICES,,7114 RUSTIC TRAIL,BOULDER,CO,80301,3034442171,tim@aviationwindows.com,https://aviationwindows.com,VW6R328Y,yes,"Cert VW6R328Y; Designator VW6R",small,"aircraft_windows;transparency_repair;inspection;prebuy_evaluation",near-airport,near-airport,Boulder Municipal Airport,KBDU,0.74,"direct:official site + marketplace profile",specialty,0.95,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:aviationwindows positioning,direct:aviationwindows capability text,team-c:OUTPUT.csv(distance_band),direct:web signals upgraded,"FAA-AVINFO-DOWNLOAD-2026-03-07; https://aviationwindows.com/; https://marketplace.aviationweek.com/company/aviation-window-services/"
BX4R092M,BEEGLES AIRCRAFT SERVICE LLC,,635 AIRPORT ROAD,GREELEY,CO,80631,9703539200,info@beeglesair.com,https://www.beeglesaircraft.com,BX4R092M,yes,"Cert BX4R092M; Designator BX4R",medium,"airframe_class_iii;structural_repairs;powerplant_limited;propellers_limited;landing_gear",on-airport,on-airport,Northern Colorado Regional Airport,KGXY,0.76,"direct:official about/facility pages with staffing and ratings",general-mro,0.97,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:beegles about page (21 employees),direct:beegles published ratings/capabilities,team-c:OUTPUT.csv(distance_band),direct:web signals upgraded,"FAA-AVINFO-DOWNLOAD-2026-03-07; https://www.beeglesaircraft.com/about/; https://www.beeglesaircraft.com/facility/"
PN5R125N,CENTURY HELICOPTERS INC,,2001 AIRWAY AVENUE,FORT COLLINS,CO,80524,9704846804,philip.glasgow@centuryhelicopters.com,https://centuryhelicopters.com,PN5R125N,yes,"Cert PN5R125N; Designator PN5R",medium,"rotorcraft;helicopter_mro;completions;isr_mods",on-airport,on-airport,Northern Colorado Regional Airport,KFNL,0.71,"direct:official site + AEA member listing",specialty,0.93,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:centuryhelicopters positioning,direct:rotorcraft/completions cues,team-c:OUTPUT.csv(distance_band),direct:web presence upgraded,"FAA-AVINFO-DOWNLOAD-2026-03-07; https://centuryhelicopters.com/; http://aea.net/memberdetails.asp?ID=5435"
GL6R565N,DENVER HOT AIR REPAIR,"DBA A DIVISION OF OF DEKOEVEND ENTERPRISES C.",24201 M-5 RD,SAN LUIS,CO,81152,7207373534,terrysm@earthlink.net,,GL6R565N,yes,"Cert GL6R565N; Designator GL6R",unknown,unknown,near-airport,near-airport,San Luis Valley Regional Airport,KALS,0.12,"downgraded:no reliable current direct web presence discovered; FAA identity only",specialty,0.60,no,FAA repair station contacts dataset,FAA repair station contacts dataset,downgraded:insufficient direct evidence,downgraded:insufficient direct evidence,team-c:OUTPUT.csv(distance_band),downgraded:minimal observability,FAA-AVINFO-DOWNLOAD-2026-03-07
GM6R566N,DEPOT AVIONICS INC,,2550 STATE AVENUE,ALAMOSA,CO,81101,7195896777,ashleyv@depotavionics.com,https://depotavionics.com,GM6R566N,yes,"Cert GM6R566N; Designator GM6R",small,"avionics_installation;avionics_repair;single_engine;piston_twin",near-airport,near-airport,San Luis Valley Regional Airport,KALS,0.73,"direct:official site + AEA presence",specialty,0.95,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:depotavionics service description,direct:aircraft scope on official site,team-c:OUTPUT.csv(distance_band),direct:web presence upgraded,"FAA-AVINFO-DOWNLOAD-2026-03-07; https://depotavionics.com/; https://aea.net/memberdetails.asp?ID=5106"
6DNR881C,DNT AVIONICS,,2845 AVIATORS WAY,GRAND JUNCTION,CO,81506,9702438890,dntpins_313@yahoo.com,https://www.dntavionics.com,6DNR881C,yes,"Cert 6DNR881C; Designator 6DNR",small,"avionics;piston_fixed_wing;inspection;transponder",on-airport,on-airport,Grand Junction Regional Airport,KGJT,0.69,"direct:official site (cert number + airport location) + social/industry traces",specialty,0.94,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:dnt site organizational detail,direct:dnt service scope text,team-c:OUTPUT.csv(distance_band),direct:web signals upgraded,"FAA-AVINFO-DOWNLOAD-2026-03-07; https://www.dntavionics.com/; https://www.facebook.com/p/DNT-Avionics-100057356833714/"
K4LR032E,ELEVATE MRO,DBA ELEVATE MRO,9586 METRO AIRPORT AVENUE HANGAR E,BROOMFIELD,CO,80021,7208001612,sam.sandifer@elevate-mro.com,https://eag.aero/elevate-mro/denver/,K4LR032E,yes,"Cert K4LR032E; Designator K4LR",medium,"gulfstream;hawker;dassault;bombardier;hondajet;textron;turbine_fixed_wing",on-airport,on-airport,Rocky Mountain Metropolitan Airport,KBJC,0.78,"direct:official Denver facility pages + brand continuity",full_service_mro,0.96,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:eag/elevate facility pages,direct:retained from prior round + no contradiction,team-c:OUTPUT.csv(distance_band),direct:web signals upgraded,"FAA-AVINFO-DOWNLOAD-2026-03-07; https://eag.aero/elevate-mro/denver-facility/; https://eag.aero/elevate-mro/contact-elevate-mro/"
F42R979Y,FRONT RANGE TRANSPONDER SERVICE,DBA MOUNTAIN AIR AVIATION,11750 AIRPORT WAY HANGAR B-12-D,BROOMFIELD,CO,80021,3034691380,gb3maa@gmail.com,,F42R979Y,yes,"Cert F42R979Y; Designator F42R",small,"transponder;altimeter;encoder;pitot_static",on-airport,on-airport,Rocky Mountain Metropolitan Airport,KBJC,0.42,"direct:FAA145 listing + niche legacy web trace; limited modern footprint",specialty,0.82,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:limited niche evidence,direct:blog + FAA145 profile content,team-c:OUTPUT.csv(distance_band),direct-but-thin signal set,FAA-AVINFO-DOWNLOAD-2026-03-07;https://www.faa145search.com/repair_station/profile/FRONT-RANGE-TRANSPONDER-SERVICE-F42R979Y;http://frtrangexpndr.blogspot.com/
ZYJR157B,JETTECH LLC,,10122 AIRPORT COURT,BROOMFIELD,CO,80021,3036974262,rob@jettechllc.net,https://www.jettechllc.net,ZYJR157B,yes,"Cert ZYJR157B; Designator ZYJR",small,"avionics;stc_kits;garmin_upgrades;citation_focus",on-airport,on-airport,Rocky Mountain Metropolitan Airport,KBJC,0.70,"direct:official contact page (CRS match) + AEA membership",specialty,0.95,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:jettech official site positioning,direct:jettech product/service cues,team-c:OUTPUT.csv(distance_band),direct:web signals upgraded,"FAA-AVINFO-DOWNLOAD-2026-03-07; https://www.jettechllc.net/contact/; https://aea.net/memberdetails.asp?ID=7638"
