entity_id,legal_name,dba_name,street,city,state,zip,phone,email,website,cert_no,part145_indicator,certificate_hints,shop_size_class,aircraft_worked_on,airport_proximity_profile,airport_distance_band,nearest_airport_name,nearest_airport_icao,observability_score,observability_score_method,profile_archetype,overall_confidence,identity_ambiguity_flag,provenance_legal_name,provenance_part145,provenance_shop_size_class,provenance_aircraft_worked_on,provenance_airport_proximity_profile,provenance_observability_score,source_refs,selected_source,selected_source_precedence,selected_source_rank,selected_round,cert_validation_status,direct_verification_status,confidence_label,contact_completeness,has_phone,has_email,has_website,manual_review_flag,manual_review_reason,provenance_selected_source,provenance_precedence_rule,outreach_tier
27OD157C,ADVANCED AEROTECHNOLOGIES GROUP LLC,,631 BUSS AVE.,GREELEY,CO,80631,9705900906,,,27OD157C,yes,Cert 27OD157C; Designator 27OD,unknown,unknown,near-airport,near-airport,Northern Colorado Regional Airport,KGXY,0.30,team-d:OUTPUT.csv(observability_score),general-mro,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,partial,yes,no,no,no,,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,B
3FOR298C,AEROFIELD SERVICES LLC,,19501 E. 23RD AVE,AURORA,CO,80011,7205423173,,,3FOR298C,yes,Cert 3FOR298C; Designator 3FOR,medium,unknown,near-airport,near-airport,Denver International Airport,KDEN,0.30,team-d:OUTPUT.csv(observability_score),general-mro,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,partial,yes,no,no,no,,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,B
KP7R699J,"AIR COMM CORPORATION, LLC",,14903 GRANT STREET SUITE 110,THORNTON,CO,80023,2047287618,,,KP7R699J,yes,Cert KP7R699J; Designator KP7R,unknown,avionics-components,near-airport,near-airport,Rocky Mountain Metropolitan Airport,KBJC,0.20,fallback-default-low-no-direct-evidence,specialty,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),derived:fallback-default,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,partial,yes,no,no,no,,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,B
QMLR253U,AIR METHODS LLC,DBA UNITED ROTORCRAFT,7301 SOUTH PEORIA STREET,ENGLEWOOD,CO,80112,,,,QMLR253U,yes,Cert QMLR253U; Designator QMLR,unknown,unknown,near-airport,near-airport,Centennial Airport,KAPA,0.23,team-d:OUTPUT.csv(observability_score),general-mro,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,none,no,no,no,yes,no_contact_channels,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,C
VMIR360T,AIRCAM NATIONAL HELICOPTER SERVICES INC,,12951 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,,,,VMIR360T,yes,Cert VMIR360T; Designator VMIR,medium,rotorcraft,on-airport,on-airport,Centennial Airport,KAPA,0.23,team-d:OUTPUT.csv(observability_score),specialty,0.85,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,high,none,no,no,no,yes,no_contact_channels,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,C
H51R588Y,AIRCRAFT MAINTENANCE AND MANAGEMENT COMPANY,DBA HAGGAN AVIATION,12420 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,,,,H51R588Y,yes,Cert H51R588Y; Designator H51R,medium,business_aircraft;maintenance;avionics;engine;structural;ndt;paint;interior,on-airport,on-airport,Centennial Airport,KAPA,0.23,team-d:OUTPUT.csv(observability_score),full_service_mro,0.98,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),team-b:OUTPUT.csv(shop_size_class),team-b:OUTPUT.csv(aircraft_worked_on),team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;S4;team-d-observability/OUTPUT.csv,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,very_high,none,no,no,no,yes,no_contact_channels,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,C
AAVR958D,ALLEN AVIATION LLC,,3652 CR GG. 2,LAMAR,CO,81052,,,,AAVR958D,yes,Cert AAVR958D; Designator AAVR,medium,unknown,near-airport,near-airport,Lamar Municipal Airport,KLAA,0.23,team-d:OUTPUT.csv(observability_score),general-mro,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,none,no,no,no,yes,no_contact_channels,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,C
ALWR453E,ALLOY METALWORKS LLC,,"1865 W. UNION AVE. UNITS R,S,T",SHERIDAN,CO,80110,7207440807,,,ALWR453E,yes,Cert ALWR453E; Designator ALWR,unknown,unknown,near-airport,near-airport,Centennial Airport,KAPA,0.30,team-d:OUTPUT.csv(observability_score),general-mro,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),team-d:OUTPUT.csv(observability_score),FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1;team-d-observability/OUTPUT.csv,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,partial,yes,no,no,no,,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,B
O0AR682Y,AOG-ASAP AVIONICS INC,,37451 BEECHCRAFT WAY HANGAR 1,WATKINS,CO,80137,3035206988,wheiss@msn.com,,O0AR682Y,yes,Cert O0AR682Y; Designator O0AR,unknown,avionics-components,near-airport,near-airport,Colorado Air and Space Port,KCFO,0.20,fallback-default-low-no-direct-evidence,specialty,0.75,no,team-a:OUTPUT.csv,team-a:OUTPUT.csv(certificate_hints),derived:name-keyword-heuristic-v1,derived:name-keyword-heuristic-v1,team-c:OUTPUT.csv(distance_band),derived:fallback-default,FAA-AVINFO-DOWNLOAD-2026-03-07;Repair Station Contacts with Ratings (Download).xlsx / Sheet 1,team-h,team-g>team-h>team-e,2,round-3,validated_by_team_h,not_verified_in_round3,medium,good,yes,yes,no,no,,team-h:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,B
ZL6R006Y,ARAPAHOE AERO AVIONICS,,12780 EAST CONTROL TOWER ROAD,ENGLEWOOD,CO,80112,3037998386,scott@arapahoeaero.com,https://arapahoeaero.com,ZL6R006Y,yes,Cert ZL6R006Y; Designator ZL6R,small,avionics_installation;panel_upgrade;bench_repair;piston_single;piston_twin,on-airport,on-airport,Centennial Airport,KAPA,0.66,direct:official site + AEA listing,specialty,0.92,no,FAA repair station contacts dataset,FAA repair station contacts dataset,direct:arapahoeaero services/positioning,direct:site manufacturer/service descriptions,team-c:OUTPUT.csv(distance_band),direct:web signals upgraded from prior heuristic,FAA-AVINFO-DOWNLOAD-2026-03-07; https://arapahoeaero.com/; https://aea.net/memberdetails.asp?ID=5351,team-g,team-g>team-h>team-e,1,round-3,validated_by_team_h,verified_by_team_g,high,full,yes,yes,yes,no,,team-g:OUTPUT.csv,team-g direct verification > team-h cert validation > team-e baseline,A
