BB - SUPER KING AIR 200/B200 SERIES, ,,,
Valid for Models BB  BC  BD  BJ  BL  BN  BP  BT  BU  BV  BW  BY  FE  GR, ,,,
s/s from pn# 100-384118-25, ,,,
Includes required static test., ,,,
8-5-08 Matt Wise, ,,,
Changed 8/28/08 DW, ,,,
for qty of 2 ea., ,,,
Decowl rmove duct trim 1hr ea.Drill intsl 2 ea reinst cowl 1 hr, ,,,
Decowl rmove duct trim 1hr ea.Drill intsl 2 ea reinst cowl 1 hr, ,,,
Decowl rmove duct trim 1hr ea.Drill intsl 2 ea reinst cowl 1 hr, ,,,
Entered 2/1/09 per Workflow notif, ,,,
8hrs pr BL incls defuel &amp; calibrate, ,,,
Troubleshooting to locate may be extensive., ,,,
8/21/07 per RC - Per inspection BB052123, ,,,
see tech support, ,,,
wl-tm 10/23/07, ,,,
FRCR #122 11/9/07, ,,,
aft(2.0)---forward (6.0), ,,,
time to bleed brake is included, ,,,
includes static test time, ,,,
6hrs total=2hrs r&amp;r 4hrs for pitot/static test, ,,,
to change tube, ,,,
Includes static system check, ,,,
chgd Matt Wise 8/24/07 was 2.0, ,,,
01-0770024-25, ,,,
Includes both proline &amp; non-proline a/c, ,,,
Proline cabin/rear fuselage insp  12/1/07 sl, ,,,
Includes both proline &amp; non-proline a/c, ,,,
Proline Ops Insp Phase II  12/1/07 sl, ,,,
Includes both proline &amp; non-proline a/c, ,,,
Proline phase III Ops insp  12/1/07 sl, ,,,
Includes both proline &amp; non-proline a/c, ,,,
Proline phase IV Ops insp  12/1/07 sl, ,,,
**To be claimed at initial 200 phase inspect only** For additional items, ,,,
rod clark 10/20/08, ,,,
Includes both proline &amp; non-proline a/c, ,,,
Includes both proline &amp; non-proline a/c, ,,,
FAR 91.411 &amp; 91.413 OK to + 2hrs for RVSM check @ insp., ,,,
Flat Rate to R&amp;R  Allow O/S invoice  for test., ,,,
11/9/07 FRCR #123, ,,,
includes all 3 actuators  *TM 8/14/08, ,,,
3 yrs fr to R&amp;R  Allow o/s inv for test. lightweight comp(see Rod Clark), ,,,
5 yrs fr to R&amp;R  Allow o/s inv for test. Std. weight (see Rod Clark), ,,,
3 yrs fr to R&amp;R  Allow o/s inv for test. Lightweight (see Rod Clark), ,,,
ref: pn# RG-380/44K, ,,,
ref: pn# RG-380/44K, ,,,
ref: pn# 501-1228, ,,,
Proline Spec.Autopilot Insp, ,,,
Proline Spec.ESIS Periodic, ,,,
Proline Spec.ESIS Cap Test, ,,,
do no use, ,,,
Includes both proline &amp; non-proline a/c, ,,,
Includes both proline &amp; non-proline a/c, ,,,
Proline Complete Insp  12/1/07 sl, ,,,
allow for tbs per narrative &amp; a/c, ,,,
see tech support, ,,,
see tech support, ,,,
check with dave r. 6/26/07, ,,,
BB052134, 2  YR  ALT / TRANSPONDER ATC INSPECTION,10,,
101-555214-3, COMPRESSOR ASSY-        AIR CONDITIONIN,4,,
31-3376-3,* LENS ASSY,1,,
CCA-4850,1/8 PIPE DRAIN VALVE INSTALLATION,1,,
301-392-640,22X6.75-10 10P TL,2,,
A-7512-24,28 VOLT LIGHT LIGHT,0.5,,
101-555211-7,A/C COMPRESSOR ASSEM.,3,,
114-110053-3,ACCESS DOOR - FUEL  WET WING,1,,
101-388009-5,ACCUMULATOR *RA-N,2.5,,
101-389006-11,ACTUATOR,1,,
101-389006-7,ACTUATOR,1,,
106-384001-5,ACTUATOR,2,,
106-384001-6,ACTUATOR,2,,
112-380022-21,ACTUATOR,3,,
58-380080-3,ACTUATOR,2,,
106-384001-3,ACTUATOR ASSEM,2,,
50-524161-607,ACTUATOR ASSEM,10,,
101-521016-2,ACTUATOR ASSEMBLY - FLAP  INBOARD,3,,
129-521050-2,ACTUATOR ASSEMBLY - FLAP  INBOARD,2,,
129-521050-6002,ACTUATOR ASSEMBLY - FLAP  INBOARD,5,,
129-521051-1,ACTUATOR ASSEMBLY - FLAP  INBOARD,2,,
129-521051-2,ACTUATOR ASSEMBLY - FLAP  INBOARD,4,,
129-521051-6001,ACTUATOR ASSEMBLY - FLAP  INBOARD L/H,1,,
129-521051-6002,ACTUATOR ASSEMBLY - FLAP  INBOARD R/H,2,,
129-521050-6001,ACTUATOR ASSEMBLY  INBOARD FLAP,5,,
101-524079-3,ACTUATOR ASSEMBLY - RUDDER TRIM TAB,3.5,,
101-524072-1,ACTUATOR ASSEMBLY ELEVATOR TAB,4,,
114-389039-23,ACTUATOR ASSEMBLY ICE VANE,2,,
50-820208-5,ACTUATOR ASSEMBLY-NOS,6,,
106-384001-15,ACTUATOR ASSY,2,,
106-384001-16,ACTUATOR ASSY,2,,
130-524052-17,ACTUATOR ASSY - LH,5,,
112-380022-9,ACTUATOR CYLINDER-NOSE,6,,
101-388014-11,ACTUATOR HI FLO,16,,
101-388014-15,ACTUATOR HI FLO,6,,
101-388014-3,ACTUATOR MG FLOT,6,,
JV-5,ACTUATOR SWITCH,2,,
