FL - SUPER KING AIR 300/B300 SERIES, ,,,
Valid for Models FA  FF  FL  FM  FN, ,,,
Changed 8/28/08 DW, ,,,
0.5 hrs during inspection  1.0 stand alone squawk, ,,,
jack deservice service bleed rig down jack., ,,,
see tech, ,,,
Troubleshooting to locate may be extensive., ,,,
Chgd 6-29-4 per Tech Support HC/mm, ,,,
wl-tm 10/23/07, ,,,
2/9/06 Roger Matthews  was 2.0, ,,,
n/a 2 to 8 hrs, ,,,
Collins part, ,,,
aft(2.0)---forward (6.0), ,,,
ok per tech support time to bleed brake is included, ,,,
includes static test time, ,,,
6hrs total=2hrs r&amp;r 4hrs for pitot/static test, ,,,
Includes static system check, ,,,
Phase 1 Op Insp  12/1/07 sl, ,,,
Phase 2 Op Insp   12/1/07 sl, ,,,
Phase 3 Op Insp    12/1/07 sl, ,,,
Phase 4 Op Insp  12/1/07 sl, ,,,
**To be claimed at initial 200 phase inspect only** For additional items, ,,,
rod clark 10/20/08, ,,,
12 MONTH WING BOLT LUBE, ,,,
ON AIRCRAFT WITH WING LOCKERS, ,,,
ON AIRCRAFT WITH WING LOCKERS, ,,,
FAR 91.411 &amp; 91.413 OK to + 2hrs for RVSM check @ insp., ,,,
Flat Rate to R&amp;R  Allow O/S invoice  for test., ,,,
Flat Rate to R&amp;R  Allow O/S invoice  for test., ,,,
*includes both lh/rh sides, ,,,
ref: pn# RG-380/44K, ,,,
ref: pn# RG-380/44K, ,,,
ref: pn# 501-1228, ,,,
changed 12/3/08 FR comm, ,,,
changed 12/3/05 FR Comm, ,,,
na, ,,,
na, ,,,
Proline Spec.Autopilot Insp, ,,,
Proline Spec.ESIS Periodic, ,,,
Proline Spec.ESIS Cap Test, ,,,
.01 see Rod Clark, ,,,
Includes both proline &amp; non-proline a/c, ,,,
Proline Complete Insp  12/1/07 sl, ,,,
DONOT USE, ,,,
allow for tbs per narrative &amp; a/c, ,,,
per committee 6/26/07, ,,,
FL055019, KA350 PHASE 2  3 & 4 INSPECTION,97,,
31-3376-3,* LENS ASSY,1,,
CCA-4850,1/8 PIPE DRAIN VALVE INSTALLATION,1,,
90-21-335-1711,19.5X6.75-8P10R160,1,,
90-61-335-1711,19.5X6.75-8P10R160,1,,
301-361-030,195X675-8 10PTLRB,1,,
90-21-335-0711,195X675-810P RB160,1,,
FL052131,2 YR ALT/TRANSPONDER ADC INSPECTION,10,,
90-21-523-0711,22X6.75-10PL8RB160,2,,
FL052160,24 MO PAX OXY SHUT OFF VLV O'RING REPLAC,2,,
A-7512-24,28 VOLT LIGHT LIGHT,0.5,,
453-5000-366,406 MHZ ELT - UNITED STATES *RA,1,,
101-555211-9,A/C COMPRESSOR          ASSEM.,4,,
101-555211-7,A/C COMPRESSOR ASSEM.,3,,
106127-1,AC OUTLET/DATA PORT ASSEMBLY,2,,
101-388009-5,ACCUMULATOR *RA-N,2.5,,
106-384001-5,ACTUATOR,2,,
106-384001-6,ACTUATOR,2,,
112-380022-21,ACTUATOR,5.5,,
58-380080-3,ACTUATOR,2,,
50-524161-607,ACTUATOR ASSEM,10,,
101-521016-2,ACTUATOR ASSEMBLY - FLAP  INBOARD,3,,
129-521050-2,ACTUATOR ASSEMBLY - FLAP  INBOARD,2,,
129-521050-6002,ACTUATOR ASSEMBLY - FLAP  INBOARD,5,,
129-521051-1,ACTUATOR ASSEMBLY - FLAP  INBOARD,2,,
129-521051-6001,ACTUATOR ASSEMBLY - FLAP  INBOARD L/H,1,,
129-521051-6002,ACTUATOR ASSEMBLY - FLAP  INBOARD R/H,2,,
129-521050-6001,ACTUATOR ASSEMBLY  INBOARD FLAP,5,,
114-389039-23,ACTUATOR ASSEMBLY ICE VANE,2,,
50-820208-5,ACTUATOR ASSEMBLY-NOS,3,,
130-524052-13,ACTUATOR ASSY,5,,
130-524052-7,ACTUATOR ASSY - ELEVATOR TRIM TAB,5,,
130-524052-8,ACTUATOR ASSY - ELEVATOR TRIM TAB,5,,
130-524052-17,ACTUATOR ASSY - LH,5,,
130-524052-19,ACTUATOR ASSY - RH,5,,
101-388014-13,ACTUATOR CYL ASSEM,8,,
112-380022-9,ACTUATOR CYLINDER-NOSE,6,,
JV-5,ACTUATOR SWITCH,2,,
NYLC50427,ACTUATOR-ELECTRO-MECHANICAL,3.5,,
50-921604-26,ADAPTER ASSEMBLY - FUEL SYSTEM,2,,
AD32.32.53F.28.1RA,ADDU,0.5,,
43-1-13-0,ADJUSTABLE GRIP LATCH MIDGET SIZE,3,,
(D)622-5797-001,ADS65  AIR SENSOR,2,,
101-440042-3,AFT CABIN WINDOW,8,,
101-440042-4,AFT CABIN WINDOW,8,,
99-130000-622,AILERON ASSEMBLY -RH,8,,
9D-80130-31,AIR DATA DISPLAY UNIT,5,,
101-380039-1,AIR FILTER,0.5,,
3024906,AIR FILTER KIT,0.8,,
3055-03,AIR OUTLET VALVE,0.5,,
101-388005-13,AIRIG PWR PACK ASY,10,,
101-388005-15,AIRIG PWR PACK ASY,10,,
101-380068-5,AIRSPEED INDICATOR,2,,
90-380028-9,AIRSPEED INDICATOR,6,,
130-380005-3,AIRSPEED INDICATOR (MAX ALLOWABLE),6.5,,
130-380039-3,AIRSPEED INDICATOR MAXIMUM ALLOWABLE,3,,
101-380029-1,ALTIMETER,2.5,,
58-380069-3,ALTIMETER,2,,
101-8027-5,ALUM NOSE WHEEL,2,,
3E1872-5,AM METER,1.5,,
240 AMPLIFIER,AMPLIFIER,1,,
9B-81040-20,ANALOG INTERFACE UNIT,2,,
101-120116-87,ANGLE - LE ASSY,1,,
101-910119-87,ANGLE-COWLING ASSEMBLY-FORWARD-LOWER,3,,
FL052505,ANNUAL CHECK OF OXYGEN SYSTEM,2,,
99-21P6B1-28949,ANNUNCIATOR,1,,
99-530-6C3-14344,ANNUNCIATOR ASSEMBLY,4,,
101-384080-1,ANNUNCIATOR BOX ASSEM 36 CHANNEL LOWER,8,,
101-384152-3,ANNUNCIATOR BOX ASSEMBLY,4,,
101-384084-161,ANNUNCIATOR LEGEND ASSEMBLY,1,,
90-43701-1,ANNUNCIATOR LIGHT ASSEMBLY,1,,
99-21P6B1-28948,ANNUNCIATOR SWITCH,1.5,,
10704,ANTENNA,1.5,,
110-320,ANTENNA  406 ROD,1,,
10706,ANTENNA  GPS,2,,
071-01550-0101,ANTENNA  RECEIVER TRANSMITTER (ART 2100),4,,
16390,ANTENNA LEAD THRU,2,,
90033-4,ANTI COLLISION LIGHT ASSY,2,,
90033-8,ANTI COLLISION LIGHT ASSY,2,,
01-0790033-04,ANTI-COLLISION LIGHT ASSEM.,2,,
101-920061-37,ANTI-SIPHON ASSEMBLY  FUEL FILLER,7,,
90-5062-1 S,ANTI-SIPHON INSTL       (COMM KIT),2,,
99-384026-1,ARM ASSEM,1.5,,
50-524326-34,ARM ASSY,4,,
99-384026,ARM ASSY,1,,
1292-601,ARMREST ASSEM,2,,
101-531000-13,ARMREST ASSEM CREW,4,,
1292-602,ARMREST ASSEMBLY,2,,
305541-2,ARMREST ASSEMBLY  LH,2,,
2021-1P/O,ASHTRAY,1,,
1U367-233-6,ATTITUDE INDICATOR,1,,
501-1828-01,ATTITUDE INDICATOR STBY,2,,
438,AUDIO AMPLIFIER,1.5,,
DB438,AUDIO AMPLIFIER,2,,
700-006,AUDIO AMPLIIFIER,2,,
600-001,AURAL WARN TONE GENERATOR,1,,
630-004,AURAL WARNING GENERATOR,2,,
101-810045-601,AXLE & PISTON ASSE      GR,5,,
129-910031-1,B.D. SHIELD ASSY,1,,
130-000000-603,B300 PLASTIC RADIO PANEL,4,,
130-530202-7007,BACK COVER ASSEMBLY,1,,
130-530202-7008,BACK COVER ASSEMBLY,1,,
130-530204-7009,Back cover assembly,1,,
101-384028-1,BAROMETRIC PRESS SWITCH,3.5,,
101-384028-25,BAROMETRIC PRESSURE SWITCH,2,,
50-820007-3,BARREL-NOSE GEAR SHIMMY DAMPER,3,,
C452,BATA RING,14,,
101-381008-7,BATTERY  36AH Saft  Model # 4057  *RA,1.5,,
452-0133,BATTERY  ELT *RA,1,,
RG380E/44K,BATTERY (USE RG-380E/44K)  *RA,1,,
14A,BATTERY *RA-N,0.3,,
DMU158-1,BATTERY *RA-N,1,,
RG-380E/44,BATTERY *RA-N,1,,
RG-380E/60K,BATTERY L-A - 48 AMP HOUR *RA-N,1,,
RG-380/44K,BATTERY LEAD ACID 24 VOLT**RA-N,1,,
810-2007/K,BATTERY REPLACEMENT KIT *RA,1.5,,
101-381008-1,BATTERY see md04 note,1.5,,
RG-380E/44K,BATTERY VRSLA 24 VOLT  *RA,1,,
RG-380E/40B,BATTERY-SEAL ACID*RA-N,1,,
102-364031-3,BEACON ASSEMBLY-LWR ANTI-COLLISION,1,,
19268,BEARING - CUP,0.5,,
19150,BEARING  TAPERED ROLLER,1,,
13621,BEARING CUP,1,,
CA 8800/F17865,BEECH WHITE PAINT*RA,0.01,,
50-430042-15,BELLCRANK - FOLDING STEP  AIR STAIR DOOR,4,,
101-524030-1,BELLCRANK ASSEMBLY,6,,
50-430042-7,BELLCRANK-FOLDING       DOOR ASSEM-MAIN,2.5,,
50-430042-9,BELLCRANK-FOLDING AIRSTEP DOOR ASSY-MAIN,4,,
115-389009-3,BELT,1,,
ES20173-4,BELT,0.5,,
VO-4017,BIRCH LEATHER,0.01,,
23T3-90,BLACK 595B-37038 #716999*RA,0.01,,
35C01000-19,BLANKET PANEL,1,,
101-910150-61,BLEED AIR - WELD ASSEMBLY - ENGINE,0.5,,
101-381015-3,BLEED AIR VALVE ASSEMBLY,2,,
3103174-04,BLEED VALVE,1.5,,
3117032-01,BLEEDER VALVE ASSY,2,,
A3026,BLOCK UNIT,1,,
101-384135-3,BLOWER,2,,
AI-BA128A-1,BLOWER,2.5,,
101-384004-13,BLOWER ASSEMBLY,3,,
101-384004-5,BLOWER ASSEMBLY,3,,
98-0907-1,BLOWER ASSEMBLY,6,,
101-810154-5,BOLT,1.5,,
B3339-1,BOLT,0.01,,
130909B175,BOLT  MACHINE  MAG INSPECTED,1,,
81786-10-18,BOLT  TENSION  INTERNAL WRENCHING,1,,
81786-10-20,BOLT  TENSION  INTERNAL WRENCHING,2,,
35-825005,BOLT ASSEMBLY - STEERIN ATTACH,0.5,,
50-820106,BOLT-NOSE GEAR STE      LINK,4,,
101-120076-601,BOND ASSEMBLY,2,,
101-120076-602,BOND ASSEMBLY-ACCESS  FULL CELL,2,,
101-380001-19,BOOT,16,,
101-380001-12,BOOT - DEICE,16,,
101-380001-30,BOOT - DEICE,16,,
101-120071-41,BOOT ASSEM-MOISTURE SEALWHEEL WELL,1,,
101-120091-37,BOOT ASSY,1,,
101-380001-20,BOOT VPN 25S-7D5041-18,16,,
295664-002,BOSE HEADSET-MODEL AHX-32-01,0.5,,
101-531280-3,BOTTOM - BOX ASSEMBLY - ACCESSORY,1,,
101-531145-2,BOTTOM CUSHION          CREW,1,,
130-530146-3,BOTTOM FRAME ASSEMBLY-TOILET,5,,
101-531219-3,BOTTOM FRAME WELD ASSEMBLY TOILET,3,,
101-384145-1,BOX ASSEMBLY,4,,
101-384152-1,BOX ASSY ANNUNCIATOR 42 STATION,3,,
101-820024-5,BRACE ASSEMBLY,10,,
99-810028-15,BRACE ASSEMBLY-MAIN GEAR-STD,6,,
101-820035-1,BRACE ASSEM-N.G. DRAG   LOWER,2,,
101-920095-1,BRACKET,2,,
101-531166-13,BRACKET ASSEM,1,,
101-531186-5,BRACKET ASSEMBLY RELIEF TUBE - COCKPIT,1,,
101-380096-1,BRAKE ASSY-NON-ASBESTOS VPN 2-1576,2,,
164-20900,BRAKE DISC,3,,
90-380001-23,BRAKE MASTER CYLINDER,2,,
SM50D7,BRAKE RELAY,2,,
4500S-A1,BRAKE VALVE,3,,
50-384082-1,BRIDGE & BLADE ASSEMBLY,0.5,,
3E2011-1,BRUSH,1,,
3E2011-3,BRUSH,0.5,,
3E2011-2,BRUSH MODULE ASSEMBLY,0.5,,
